"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1958
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1958;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;05.01.;36 ;15 ;21 ;44 ;10 ;6 ;8 ;16.278.801,00 ;4  x  ;500.000,00 ;13  x  ;5.438,00 ;725  x     ;2.757,25 ;34.396  x    ;59,15 ;574.144  x;3,50  
2.;12.01.;19 ;36 ;9 ;37 ;23 ;22 ;13 ;16.762.872,00 ;5  x  ;419.071,80 ;entfällt;;749  x     ;2.797,50 ;44.731  x    ;46,80 ;803.267  x;2,60  
3.;19.01.;30 ;32 ;12 ;34 ;14 ;3 ;5 ;17.051.895,00 ;7  x  ;304.498,10 ;entfällt;;912  x     ;2.337,15 ;38.692  x    ;55,05 ;693.716  x;3,05  
4.;26.01.;7 ;4 ;23 ;41 ;6 ;27 ;14 ;16.748.757,00 ;2  x  ;500.000,00 ;7  x  ;159.728,75 ;591  x     ;3.500,95 ;39.017  x    ;53,65 ;749.986  x;2,75  
5.;02.02.;34 ;46 ;4 ;48 ;38 ;39 ;31 ;17.108.222,50 ;1  x  ;500.000,00 ;7  x  ;246.958,05 ;159  x     ;12.882,65 ;15.263  x    ;140,10 ;377.857  x;5,65  
6.;09.02.;30 ;45 ;40 ;43 ;25 ;37 ;12 ;17.054.991,00 ;3  x  ;500.000,00 ;12  x  ;58.627,75 ;345  x     ;5.971,60 ;21.419  x    ;99,50 ;412.706  x;5,15  
7.;16.02.;36 ;37 ;8 ;45 ;15 ;21 ;12 ;17.265.478,00 ;3  x  ;500.000,00 ;14  x  ;50.937,15 ;536  x     ;3.923,95 ;27.521  x    ;78,40 ;507.700  x;4,25  
8.;23.02.;19 ;2 ;26 ;3 ;17 ;12 ;36 ;17.059.274,50 ;4  x  ;500.000,00 ;21  x  ;7.876,60 ;1.336  x     ;1.571,40 ;64.769  x    ;32,90 ;968.442  x;2,20  
9.;02.03.;24 ;9 ;11 ;27 ;48 ;21 ;42 ;18.283.902,50 ;1  x  ;500.000,00 ;12  x  ;151.423,70 ;856  x     ;2.633,05 ;49.657  x    ;46,00 ;835.438  x;2,70  
10.;09.03.;11 ;20 ;49 ;5 ;10 ;36 ;38 ;18.245.786,00 ;4  x  ;500.000,00 ;10  x  ;32.359,35 ;522  x     ;4.287,05 ;31.254  x    ;72,95 ;624.806  x;3,65  
11.;16.03.;18 ;6 ;2 ;8 ;17 ;35 ;11 ;18.262.244,50 ;5  x  ;456.556,10 ;entfällt;;776  x     ;2.941,70 ;45.883  x    ;49,75 ;812.222  x;2,80  
12.;23.03.;39 ;20 ;27 ;5 ;22 ;43 ;17 ;17.753.959,50 ;unbesetzt;;12  x  ;184.937,05 ;407  x     ;5.452,65 ;26.992  x    ;82,20 ;555.144  x;3,95  
13.;30.03.;30 ;38 ;46 ;28 ;22 ;34 ;13 ;17.592.001,00 ;1  x  ;500.000,00 ;17  x  ;103.426,10 ;614  x     ;3.484,90 ;27.128  x    ;81,05 ;492.540  x;4,45  
14.;07.04.;44 ;36 ;29 ;49 ;24 ;23 ;40 ;16.667.345,50 ;2  x  ;500.000,00 ;9  x  ;126.025,90 ;360  x     ;5.646,10 ;24.014  x    ;86,75 ;498.227  x;4,15  
15.;13.04.;16 ;10 ;29 ;13 ;28 ;47 ;18 ;17.698.410,50 ;1  x  ;500.000,00 ;17  x  ;104.314,95 ;599  x     ;3.591,35 ;32.226  x    ;68,60 ;580.505  x;3,80  
16.;20.04.;27 ;25 ;5 ;3 ;22 ;49 ;7 ;17.971.307,00 ;unbesetzt;;17  x  ;132.141,95 ;506  x     ;4.439,55 ;30.840  x    ;72,80 ;634.978  x;3,50  
17.;27.04.;1 ;21 ;38 ;30 ;25 ;9 ;6 ;17.601.905,50 ;2  x  ;500.000,00 ;10  x  ;124.424,25 ;490  x     ;4.400,45 ;31.589  x    ;69,65 ;619.177  x;3,55  
18.;04.05.;31 ;10 ;48 ;32 ;38 ;15 ;17 ;17.210.374,00 ;1  x  ;500.000,00 ;7  x  ;243.610,25 ;272  x     ;7.710,70 ;19.244  x    ;111,75 ;460.978  x;4,65  
19.;11.05.;2 ;7 ;32 ;36 ;25 ;38 ;27 ;17.578.750,00 ;1  x  ;500.000,00 ;14  x  ;126.830,00 ;379  x     ;5.591,20 ;28.415  x    ;77,30 ;593.744  x;3,70  
20.;18.05.;49 ;26 ;18 ;34 ;41 ;21 ;8 ;17.375.042,50 ;3  x  ;500.000,00 ;19  x  ;40.389,60 ;413  x     ;5.027,50 ;23.288  x    ;93,25 ;488.976  x;4,40  
21.;25.05.;37 ;29 ;3 ;8 ;38 ;6 ;35 ;17.175.330,00 ;unbesetzt;;10  x  ;214.691,60 ;380  x     ;5.649,75 ;27.131  x    ;79,10 ;581.241  x;3,65  
22.;01.06.;25 ;33 ;24 ;43 ;30 ;31 ;6 ;17.147.743,00 ;1  x  ;500.000,00 ;3  x  ;500.000,00 ;329  x     ;6.951,15 ;21.509  x    ;99,65 ;518.520  x;4,10  
23.;08.06.;34 ;8 ;32 ;46 ;48 ;9 ;15 ;17.363.642,50 ;2  x  ;500.000,00 ;7  x  ;173.805,00 ;322  x     ;6.597,10 ;22.849  x    ;94,95 ;515.935  x;4,20  
24.;15.06.;46 ;13 ;33 ;30 ;32 ;24 ;23 ;17.524.035,50 ;1  x  ;500.000,00 ;8  x  ;216.503,80 ;414  x     ;5.190,75 ;32.364  x    ;67,65 ;652.289  x;3,35  
25.;22.06.;17 ;24 ;26 ;32 ;30 ;37 ;49 ;17.159.876,00 ;2  x  ;500.000,00 ;7  x  ;166.889,60 ;639  x     ;3.320,40 ;37.145  x    ;57,70 ;662.097  x;3,20  
26.;29.06.;9 ;8 ;36 ;27 ;10 ;15 ;19 ;17.693.077,00 ;2  x  ;500.000,00 ;28  x  ;46.182,70 ;732  x     ;2.910,00 ;46.929  x    ;47,10 ;795.355  x;2,75  
27.;06.07.;28 ;33 ;6 ;31 ;46 ;39 ;49 ;18.143.501,00 ;1  x  ;500.000,00 ;2  x  ;500.000,00 ;344  x     ;8.825,20 ;26.152  x    ;86,70 ;557.832  x;4,05  
28.;13.07.;19 ;18 ;17 ;36 ;21 ;49 ;48 ;17.688.792,50 ;2  x  ;500.000,00 ;17  x  ;75.066,55 ;561  x     ;3.825,40 ;32.955  x    ;67,05 ;630.329  x;3,50  
29.;20.07.;4 ;29 ;44 ;3 ;49 ;30 ;24 ;17.972.088,00 ;1  x  ;500.000,00 ;12  x  ;152.629,35 ;305  x     ;7.086,75 ;18.491  x    ;121,45 ;437.720  x;5,10  
30.;27.07.;42 ;48 ;41 ;47 ;17 ;35 ;18 ;17.786.217,50 ;1  x  ;500.000,00 ;2  x  ;500.000,00 ;346  x     ;8.516,05 ;21.411  x    ;103,80 ;434.162  x;5,10  
31.;03.08.;46 ;48 ;24 ;10 ;14 ;18 ;3 ;17.901.774,50 ;1  x  ;500.000,00 ;8  x  ;223.329,20 ;358  x     ;6.113,95 ;25.380  x    ;88,15 ;558.340  x;4,00  
32.;10.08.;14 ;9 ;22 ;36 ;26 ;34 ;37 ;18.057.032,50 ;75  x  ;30.095,05 ;entfällt;;4.052  x     ;557,00 ;85.882  x    ;26,25 ;905.526  x;2,45  
33.;17.08.;1 ;39 ;20 ;17 ;29 ;10 ;36 ;17.844.573,00 ;1  x  ;500.000,00 ;19  x  ;95.720,05 ;462  x     ;4.637,35 ;27.200  x    ;82,00 ;542.229  x;4,10  
34.;24.08.;18 ;28 ;35 ;45 ;42 ;37 ;19 ;17.719.090,50 ;1  x  ;500.000,00 ;16  x  ;111.214,75 ;533  x     ;4.034,40 ;29.656  x    ;74,65 ;579.841  x;3,80  
