"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1965
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;1. öffentliche Ziehung im Deutschen Fernsehen erfolgte am 04.09.
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1965;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;03.01.;23 ;33 ;43 ;7 ;13 ;25 ;45 ;24.621.289,50 ;48  x  ;51.294,35 ;145  x  ;4.245,00 ;6.624  x     ;464,60 ;159.327  x    ;19,30 ;1.459.388  x;2,10  
2.;10.01.;35 ;8 ;15 ;4 ;10 ;12 ;22 ;28.341.579,00 ;1  x  ;500.000,00 ;26  x  ;117.026,80 ;993  x     ;3.567,65 ;58.711  x    ;60,30 ;1.021.267  x;3,45  
3.;17.01.;27 ;9 ;18 ;47 ;17 ;7 ;11 ;28.720.278,00 ;4  x  ;500.000,00 ;33  x  ;48.182,85 ;2.868  x     ;1.251,75 ;130.636  x    ;27,45 ;1.570.807  x;2,25  
4.;24.01.;46 ;38 ;18 ;13 ;31 ;24 ;4 ;29.283.759,50 ;9  x  ;325.375,10 ;44  x  ;16.638,45 ;1.270  x     ;2.882,25 ;61.550  x    ;59,45 ;1.084.657  x;3,35  
5.;31.01.;29 ;34 ;32 ;42 ;26 ;10 ;22 ;29.686.891,50 ;2  x  ;500.000,00 ;27  x  ;100.402,25 ;664  x     ;5.588,60 ;54.421  x    ;68,15 ;1.005.358  x;3,65  
6.;07.02.;29 ;23 ;49 ;13 ;8 ;5 ;16 ;30.283.427,50 ;6  x  ;500.000,00 ;19  x  ;41.338,30 ;1.086  x     ;3.485,65 ;62.747  x    ;60,30 ;1.120.244  x;3,35  
7.;14.02.;33 ;42 ;3 ;13 ;47 ;37 ;19 ;30.549.719,00 ;2  x  ;500.000,00 ;49  x  ;57.524,75 ;3.028  x     ;1.261,95 ;80.346  x    ;47,50 ;1.222.615  x;3,10  
8.;21.02.;46 ;36 ;28 ;49 ;6 ;9 ;11 ;30.543.119,50 ;8  x  ;381.788,95 ;38  x  ;20.094,15 ;1.526  x     ;2.501,85 ;73.553  x    ;51,90 ;1.195.880  x;3,15  
9.;28.02.;35 ;8 ;18 ;30 ;27 ;15 ;39 ;30.558.684,50 ;6  x  ;500.000,00 ;46  x  ;17.822,50 ;1.429  x     ;2.673,05 ;67.864  x    ;56,25 ;1.156.083  x;3,30  
10.;07.03.;18 ;38 ;42 ;33 ;14 ;27 ;2 ;30.610.255,50 ;10  x  ;306.102,55 ;56  x  ;13.665,25 ;1.884  x     ;2.032,00 ;85.242  x    ;44,85 ;1.287.162  x;2,95  
11.;14.03.;3 ;49 ;4 ;19 ;43 ;34 ;36 ;30.592.703,00 ;11  x  ;278.115,45 ;22  x  ;34.764,40 ;1.301  x     ;2.941,60 ;65.392  x    ;58,45 ;1.150.248  x;3,30  
12.;21.03.;39 ;45 ;9 ;33 ;43 ;29 ;8 ;30.282.211,50 ;unbesetzt;;11  x  ;344.116,00 ;935  x     ;4.048,40 ;59.242  x    ;63,85 ;1.102.250  x;3,40  
13.;28.03.;13 ;37 ;36 ;9 ;34 ;16 ;45 ;30.236.663,00 ;5  x  ;500.000,00 ;29  x  ;44.123,50 ;916  x     ;4.130,65 ;60.977  x    ;61,95 ;1.128.711  x;3,30  
14.;04.04.;46 ;34 ;15 ;28 ;6 ;27 ;25 ;30.144.239,50 ;4  x  ;500.000,00 ;15  x  ;117.868,65 ;1.121  x     ;3.361,30 ;52.348  x    ;71,95 ;959.608  x;3,90  
15.;11.04.;26 ;4 ;16 ;23 ;2 ;30 ;11 ;29.819.490,00 ;2  x  ;500.000,00 ;39  x  ;69.934,25 ;1.101  x     ;3.388,55 ;62.076  x    ;60,00 ;1.037.704  x;3,55  
16.;19.04.;2 ;1 ;48 ;3 ;5 ;47 ;37 ;29.247.927,00 ;4  x  ;500.000,00 ;9  x  ;183.998,95 ;4.469  x     ;818,05 ;43.787  x    ;83,45 ;732.079  x;4,95  
17.;25.04.;22 ;42 ;14 ;30 ;1 ;27 ;9 ;29.383.046,00 ;1  x  ;500.000,00 ;37  x  ;85.753,50 ;857  x     ;4.285,70 ;48.671  x    ;75,45 ;907.667  x;4,00  
18.;02.05.;34 ;45 ;49 ;23 ;10 ;31 ;22 ;30.412.199,00 ;4  x  ;500.000,00 ;8  x  ;225.190,60 ;828  x     ;4.596,75 ;47.632  x    ;79,80 ;911.346  x;4,15  
19.;09.05.;37 ;36 ;31 ;29 ;49 ;4 ;48 ;30.578.927,50 ;unbesetzt;;6  x  ;500.000,00 ;311  x     ;14.934,80 ;32.827  x    ;116,40 ;796.818  x;4,75  
20.;16.05.;47 ;41 ;12 ;37 ;21 ;11 ;30 ;30.054.880,50 ;6  x  ;500.000,00 ;11  x  ;68.805,45 ;901  x     ;4.183,55 ;57.980  x    ;64,75 ;1.052.988  x;3,55  
21.;23.05.;45 ;23 ;2 ;39 ;31 ;27 ;25 ;29.949.328,50 ;3  x  ;500.000,00 ;20  x  ;112.183,30 ;1.088  x     ;3.440,85 ;59.249  x    ;63,15 ;1.075.641  x;3,45  
22.;30.05.;31 ;11 ;4 ;24 ;9 ;29 ;28 ;29.554.850,00 ;7  x  ;422.212,10 ;39  x  ;18.945,40 ;1.734  x     ;2.130,50 ;80.571  x    ;45,95 ;1.270.161  x;2,90  
23.;07.06.;38 ;33 ;1 ;15 ;29 ;5 ;24 ;30.415.241,00 ;1  x  ;500.000,00 ;24  x  ;137.579,35 ;836  x     ;4.547,70 ;49.365  x    ;77,00 ;1.002.823  x;3,75  
24.;13.06.;47 ;23 ;12 ;6 ;27 ;15 ;29 ;29.569.473,00 ;2  x  ;500.000,00 ;19  x  ;141.904,40 ;1.313  x     ;2.815,05 ;69.364  x    ;53,25 ;1.181.671  x;3,10  
25.;20.06.;21 ;20 ;32 ;3 ;29 ;16 ;23 ;29.747.470,00 ;3  x  ;500.000,00 ;2  x  ;500.000,00 ;773  x     ;6.386,60 ;49.030  x    ;75,80 ;969.784  x;3,80  
26.;27.06.;3 ;47 ;49 ;24 ;38 ;37 ;41 ;29.121.665,50 ;1  x  ;500.000,00 ;9  x  ;348.912,00 ;716  x     ;5.084,05 ;50.052  x    ;72,70 ;923.887  x;3,90  
27.;04.07.;8 ;12 ;19 ;17 ;21 ;25 ;10 ;30.107.659,00 ;13  x  ;231.597,35 ;71  x  ;10.601,25 ;1.985  x     ;1.895,90 ;91.728  x    ;41,00 ;1.457.917  x;2,55  
28.;11.07.;47 ;33 ;17 ;9 ;10 ;46 ;25 ;29.965.886,00 ;5  x  ;500.000,00 ;41  x  ;30.383,75 ;701  x     ;5.343,40 ;53.601  x    ;69,75 ;1.076.304  x;3,45  
29.;18.07.;46 ;38 ;7 ;9 ;25 ;15 ;11 ;29.381.792,50 ;3  x  ;500.000,00 ;43  x  ;50.528,45 ;1.273  x     ;2.885,05 ;66.264  x    ;55,40 ;1.149.788  x;3,15  
30.;25.07.;19 ;32 ;20 ;40 ;27 ;4 ;23 ;29.312.699,50 ;4  x  ;500.000,00 ;25  x  ;66.563,45 ;1.077  x     ;3.402,10 ;63.834  x    ;57,50 ;1.144.538  x;3,20  
31.;01.08.;13 ;31 ;44 ;8 ;41 ;17 ;34 ;29.609.853,00 ;13  x  ;227.768,10 ;30  x  ;24.674,85 ;1.453  x     ;2.547,30 ;64.680  x    ;57,20 ;1.106.235  x;3,30  
32.;08.08.;32 ;22 ;44 ;19 ;31 ;48 ;4 ;29.096.976,50 ;3  x  ;500.000,00 ;29  x  ;73.693,85 ;892  x     ;4.077,45 ;51.884  x    ;70,10 ;985.082  x;3,65  
33.;15.08.;32 ;48 ;3 ;5 ;12 ;25 ;35 ;29.210.032,00 ;5  x  ;500.000,00 ;44  x  ;26.164,85 ;1.705  x     ;2.141,45 ;78.779  x    ;46,30 ;1.253.080  x;2,90  
