"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1966
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1966;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;01.01.;47 ;30 ;6 ;24 ;20 ;39 ;2 ;31.530.187,00 ;3  x  ;500.000,00 ;23  x  ;106.142,30 ;800  x     ;4.926,55 ;45.487  x    ;86,60 ;923.293  x;4,25  
2.;08.01.;5 ;46 ;37 ;20 ;9 ;10 ;44 ;32.794.682,50 ;unbesetzt;;13  x  ;315.333,45 ;720  x     ;5.693,50 ;51.018  x    ;80,35 ;1.073.964  x;3,80  
3.;15.01.;28 ;8 ;40 ;19 ;39 ;36 ;42 ;33.264.551,50 ;3  x  ;500.000,00 ;49  x  ;54.246,30 ;1.957  x     ;2.124,70 ;85.495  x    ;48,60 ;1.337.590  x;3,10  
4.;22.01.;49 ;38 ;25 ;30 ;5 ;36 ;23 ;33.355.362,00 ;5  x  ;500.000,00 ;9  x  ;185.491,10 ;671  x     ;6.213,70 ;50.521  x    ;82,50 ;1.064.080  x;3,90  
5.;29.01.;47 ;8 ;5 ;39 ;29 ;32 ;7 ;33.875.376,00 ;6  x  ;500.000,00 ;6  x  ;205.737,00 ;1.259  x     ;3.363,30 ;65.340  x    ;64,80 ;1.114.015  x;3,80  
6.;05.02.;39 ;8 ;2 ;19 ;1 ;26 ;9 ;34.093.192,00 ;12  x  ;284.109,90 ;81  x  ;10.522,55 ;2.420  x     ;1.761,00 ;94.739  x    ;44,95 ;1.398.628  x;3,00  
7.;12.02.;42 ;46 ;34 ;33 ;19 ;41 ;47 ;33.725.627,00 ;2  x  ;500.000,00 ;16  x  ;200.981,45 ;503  x     ;8.381,10 ;41.116  x    ;102,50 ;1.044.740  x;4,00  
8.;19.02.;44 ;7 ;47 ;39 ;18 ;3 ;4 ;33.960.818,50 ;4  x  ;500.000,00 ;22  x  ;102.050,10 ;1.711  x     ;2.481,05 ;87.143  x    ;48,70 ;1.462.446  x;2,90  
9.;26.02.;34 ;29 ;9 ;24 ;30 ;45 ;41 ;34.041.915,00 ;1  x  ;500.000,00 ;12  x  ;312.936,60 ;607  x     ;7.010,25 ;47.766  x    ;89,05 ;1.045.853  x;4,05  
