"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1975
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1975;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;04.01.;41 ;24 ;28 ;3 ;40 ;45 ;7 ;58.704.406,00 ;3  x  ;1.467.610,15 ;75  x  ;29.352,20 ;1.688  x     ;3.912,45 ;99.972  x    ;66,05 ;1.957.220  x;4,85  
2.;11.01.;13 ;38 ;43 ;1 ;42 ;37 ;35 ;60.491.231,00 ;6  x  ;756.140,35 ;22  x  ;103.110,05 ;1.014  x     ;6.711,30 ;71.651  x    ;94,95 ;1.626.715  x;6,00  
3.;18.01.;33 ;14 ;4 ;1 ;27 ;30 ;7 ;61.030.236,50 ;4  x  ;1.144.316,90 ;50  x  ;45.772,65 ;1.611  x     ;4.261,85 ;95.102  x    ;72,15 ;1.921.950  x;5,15  
4.;25.01.;23 ;42 ;1 ;32 ;48 ;6 ;3 ;61.067.820,00 ;12  x  ;381.673,85 ;49  x  ;46.735,55 ;1.755  x     ;3.914,60 ;98.180  x    ;69,95 ;1.962.780  x;5,05  
5.;01.02.;26 ;18 ;33 ;36 ;20 ;47 ;28 ;61.974.867,00 ;unbesetzt;;17  x  ;410.127,75 ;1.549  x     ;4.501,05 ;103.348  x    ;67,45 ;2.120.296  x;4,70  
6.;08.02.;7 ;47 ;27 ;30 ;37 ;25 ;20 ;60.847.672,50 ;4  x  ;1.140.893,85 ;42  x  ;54.328,25 ;2.848  x     ;2.403,55 ;147.572  x    ;46,35 ;2.145.332  x;4,60  
7.;15.02.;49 ;40 ;18 ;34 ;28 ;4 ;10 ;61.535.831,50 ;10  x  ;461.518,70 ;74  x  ;31.183,65 ;1.973  x     ;3.508,75 ;111.835  x    ;61,90 ;2.116.461  x;4,70  
