Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1985
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1985;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;05.01.;21 ;34 ;27 ;10 ;40 ;37 ;32 ;76.724.924,00 ;3  x  ;1.918.123,10 ;35  x  ;82.205,20 ;1.139  x     ;7.578,10 ;67.996  x    ;126,90 ;1.315.113  x;9,40  
2.;12.01.;39 ;11 ;1 ;38 ;14 ;37 ;22 ;80.323.671,00 ;2  x  ;3.000.000,00 ;28  x  ;108.443,30 ;884  x     ;10.222,10 ;53.701  x    ;168,20 ;1.150.681  x;11,30  
3.;19.01.;49 ;48 ;21 ;44 ;41 ;40 ;29 ;80.933.104,00 ;5  x  ;1.213.996,50 ;24  x  ;126.457,90 ;2.238  x     ;4.068,30 ;76.844  x    ;118,40 ;1.256.729  x;10,40  
4.;26.01.;38 ;39 ;29 ;34 ;1 ;20 ;35 ;81.158.020,00 ;unbesetzt;;12  x  ;760.856,40 ;529  x     ;17.259,50 ;44.020  x    ;207,40 ;1.029.029  x;12,80  
5.;02.02.;10 ;42 ;17 ;43 ;16 ;31 ;7 ;85.664.217,00 ;2  x  ;3.000.000,00 ;22  x  ;165.328,30 ;1.091  x     ;8.833,30 ;63.073  x    ;152,70 ;1.346.131  x;10,30  
6.;09.02.;6 ;15 ;27 ;7 ;34 ;20 ;36 ;83.192.154,00 ;1  x  ;3.000.000,00 ;61  x  ;104.247,80 ;1.121  x     ;8.348,90 ;70.966  x    ;131,80 ;1.336.275  x;10,10  
7.;16.02.;8 ;17 ;2 ;11 ;19 ;39 ;7 ;82.583.831,00 ;10  x  ;619.378,70 ;73  x  ;42.423,20 ;2.666  x     ;3.484,80 ;132.012  x    ;70,30 ;2.042.308  x;6,50  
