Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1991
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;(6 Treffer und Superzahl);;(6 Treffer);;(5 Treffer + Zusatzzahl);;(5 Treffer);;(4 Treffer);;(3 Treffer u. Zusatzzahl);;(3 Treffer);
VA;1991;gezogener Reihenfolge;;;;;;satz-;per-;;Einführung 49. VA 1991;;bis zur 49. VA 1991 Gewinnklasse 1;;bis zur 49. VA 1991 Gewinnklasse 2;;bis zur 49. VA Gewinnklasse 3;;bis zur 49. VA Gewinnklasse 4;;Einführung 49. VA 1991;;bis zur 49. VA 1991 Gewinnklasse 5;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
1.;05.01.;17 ;47 ;23 ;5 ;8 ;40 ;20 ;;103.285.759,00 ;;;8  x  ;968.303,90 ;36  x;107.589,30 ;1.814  x     ;6.405,50 ;99.220  x    ;117,10 ;;;1.831.883  x;9,10  
2.;12.01.;2 ;15 ;22 ;39 ;41 ;37 ;46 ;;105.096.350,00 ;;;6  x  ;1.313.704,30 ;20  x;197.055,60 ;1.270  x     ;9.309,70 ;75.525  x    ;156,50 ;;;1.522.120  x;11,20  
3.;19.01.;8 ;16 ;10 ;2 ;5 ;6 ;41 ;;104.689.383,00 ;;;28  x  ;280.417,90 ;20  x;196.292,50 ;4.560  x     ;2.582,70 ;148.938  x    ;79,00 ;;;2.051.782  x;8,20  
4.;26.01.;47 ;9 ;19 ;34 ;26 ;43 ;25 ;;104.455.330,00 ;;;15  x  ;522.276,60 ;58  x;67.535,70 ;2.725  x     ;4.312,30 ;120.051  x    ;97,80 ;;;1.990.723  x;8,50  
5.;02.02.;33 ;15 ;49 ;43 ;5 ;48 ;4 ;;106.647.969,00 ;;;12  x  ;666.549,80 ;21  x;190.442,80 ;1.431  x     ;8.384,20 ;81.378  x    ;147,40 ;;;1.655.641  x;10,40  
6.;09.02.;34 ;49 ;4 ;31 ;38 ;8 ;20 ;;103.072.933,00 ;;;4  x  ;1.932.617,40 ;43  x;89.889,10 ;1.072  x     ;10.816,80 ;71.732  x    ;161,60 ;;;1.604.114  x;10,40  
7.;16.02.;11 ;42 ;37 ;5 ;44 ;38 ;39 ;;102.438.205,00 ;;;6  x  ;1.280.477,50 ;16  x;240.089,50 ;966  x     ;11.929,90 ;76.745  x    ;150,10 ;;;1.659.935  x;10,00  
8.;23.02.;5 ;33 ;30 ;15 ;6 ;19 ;31 ;;104.076.396,00 ;;;11  x  ;709.611,70 ;46  x;84.844,80 ;2.452  x     ;4.775,10 ;126.297  x    ;92,70 ;;;2.173.136  x;7,70  
9.;02.03.;2 ;33 ;36 ;6 ;40 ;4 ;31 ;;110.241.764,00 ;;;6  x  ;1.378.022,00 ;21  x;196.860,20 ;1.250  x     ;9.921,70 ;78.543  x    ;157,90 ;;;1.682.033  x;10,60  
10.;09.03.;21 ;13 ;27 ;16 ;43 ;22 ;39 ;;103.524.168,00 ;;;7  x  ;1.109.187,50 ;38  x;102.162,00 ;1.121  x     ;10.389,30 ;80.493  x    ;144,60 ;;;1.649.405  x;10,10  
11.;16.03.;49 ;20 ;36 ;24 ;3 ;5 ;28 ;;102.629.144,00 ;;;5  x  ;1.539.437,10 ;27  x;142.540,40 ;1.538  x     ;7.507,00 ;90.047  x    ;128,20 ;;;1.762.390  x;9,40  
12.;23.03.;37 ;24 ;18 ;49 ;31 ;43 ;45 ;;102.157.027,00 ;;;23  x  ;333.120,70 ;38  x;100.812,80 ;2.481  x     ;4.632,20 ;102.177  x    ;112,40 ;;;1.788.319  x;9,20  
13.;30.03.;5 ;42 ;20 ;4 ;47 ;49 ;15 ;;101.591.348,00 ;;;1  x  ;7.619.351,10 ;18  x;211.648,60 ;1.068  x     ;10.701,30 ;70.044  x    ;163,10 ;;;1.523.420  x;10,80  
