Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1994;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;;
VA;1994;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;
1.;08.01.;43;10;32;35;19;13;37;5;125.636.192,50;JP;5.069.182,80;6  x  ;1.256.361,90;47  x;80.193,30;1.917  x     ;6.553,70;100.550  x    ;124,9;158.365  x  ;55,5;1.727.374  x;8,7;
2.;15.01.;32;22;39;43;41;13;47;0;143.246.535,00;JP;7.934.113,50;3  x  ;2.864.930,70;28  x;153.478,40;1.646  x     ;8.702,70;96.235  x    ;148,8;128.301  x  ;78,1;1.724.180  x;9,9;
3.;22.01.;30;13;3;17;44;37;16;4;132.341.606,25;1  x;10.580.945,60;6  x  ;1.323.416,00;32  x;124.070,20;2.426  x     ;5.455,10;118.742  x    ;111,4;121.988  x  ;75,9;1.879.004  x;8,4;
4.;29.01.;48;10;37;20;28;46;21;9;127.430.627,50;JP;2.548.612,50;8  x  ;955.729,70;26  x;147.035,30;2.862  x     ;4.452,50;80.291  x    ;158,7;84.770  x  ;105,2;1.395.587  x;10,9;
5.;05.02.;5;10;34;29;18;21;6;9;130.568.398,75;JP;5.159.980,40;6  x  ;1.305.683,90;40  x;97.926,20;2.187  x     ;5.970,20;112.001  x    ;116,5;143.450  x  ;63,7;1.795.400  x;8,7;
6.;12.02.;40;16;17;2;34;39;35;3;127.162.180,00;JP;7.703.224,00;2  x  ;3.814.865,40;30  x;127.162,10;1.475  x     ;8.621,10;86.905  x    ;146,3;90.840  x  ;97,9;1.640.492  x;9,3;
7.;19.02.;12;31;2;39;15;24;4;7;129.415.940,00;JP;10.291.542,80;4  x  ;1.941.239,10;55  x;70.590,50;2.175  x     ;5.950,10;114.666  x    ;112,8;159.284  x  ;56,8;1.849.294  x;8,3;
8.;26.02.;44;7;39;9;48;31;30;4;139.508.277,50;2  x;6.540.854,10;8  x  ;1.046.312,00;32  x;130.789,00;3.177  x     ;4.391,10;110.274  x    ;126,5;130.860  x  ;74,6;1.924.473  x;8,6;
9.;05.03.;46;32;4;49;11;7;23;2;132.775.206,25;JP;2.655.504,10;10  x  ;796.651,20;101  x;39.438,10;2.481  x     ;5.351,60;138.495  x    ;95,8;200.882  x  ;46,2;2.061.616  x;7,7;
10.;12.03.;42;37;29;46;7;19;32;5;127.383.690,00;1  x;5.203.177,90;14  x  ;545.930,10;53  x;72.103,90;2.161  x     ;5.894,60;102.677  x    ;124;153.296  x  ;58,1;1.699.505  x;8,9;
11.;19.03.;14;24;32;42;36;11;43;0;124.974.765,00;JP;2.499.495,30;12  x  ;624.873,80;42  x;89.267,60;2.372  x     ;5.268,70;107.713  x    ;116;99.034  x  ;88,3;1.699.037  x;8,8;
12.;26.03.;44;40;27;4;25;33;30;9;124.085.856,25;JP;4.981.212,40;8  x  ;930.643,90;48  x;77.553,60;1.597  x     ;7.769,90;94.822  x    ;130,8;139.499  x  ;62,2;1.677.352  x;8,8;
13.;02.04.;37;49;19;48;21;32;43;6;122.079.047,50;4  x;1.855.698,30;51  x  ;143.622,40;46  x;79.616,70;13.980  x     ;873,2;178.888  x    ;68,2;129.097  x  ;66,1;1.872.381  x;7,8;
14.;09.04.;39;47;37;3;25;9;27;0;121.014.961,25;2  x;1.210.149,60;7  x  ;1.037.271,00;104  x;34.908,10;2.960  x     ;4.088,30;134.523  x    ;89,9;186.419  x  ;45,4;1.907.895  x;7,6;
15.;16.04.;6;17;21;46;1;24;34;4;122.298.612,50;JP;2.445.972,20;2  x  ;3.668.958,30;43  x;85.324,60;1.251  x     ;9.776,00;85.498  x    ;143;122.977  x  ;69,6;1.597.028  x;9,1;
16.;23.04.;35;11;16;44;17;41;5;2;120.136.933,75;JP;4.848.710,80;4  x  ;1.802.054,00;33  x;109.215,30;1.220  x     ;9.847,20;76.206  x    ;157,6;136.472  x  ;61,6;1.419.012  x;10,1;
17.;30.04.;17;44;36;2;29;14;48;8;120.939.476,25;1  x;7.267.500,30;8  x  ;907.046,00;46  x;78.873,50;1.546  x     ;7.822,70;75.745  x    ;159,6;87.895  x  ;96,3;1.324.979  x;10,9;
18.;07.05.;6;47;8;16;33;20;10;2;129.831.295,00;JP;2.596.625,90;4  x  ;1.947.469,40;26  x;149.805,30;1.425  x     ;9.110,90;84.138  x    ;154,3;127.956  x  ;71;1.503.539  x;10,3;
19.;14.05.;39;11;8;4;17;38;35;1;118.564.281,25;1  x;4.967.911,50;8  x  ;889.232,10;18  x;197.607,10;1.824  x     ;6.500,20;105.495  x    ;112,3;104.540  x  ;79,3;1.833.983  x;7,7;
20.;21.05.;17;39;47;44;26;6;11;2;119.024.172,50;2  x;1.190.241,70;17  x  ;420.085,30;120  x;29.756,00;2.784  x     ;4.275,20;111.868  x    ;106,3;158.158  x  ;52,6;1.599.362  x;8,9;
21.;28.05.;19;2;38;49;16;46;44;6;117.473.847,50;2  x;1.174.738,40;6  x  ;1.174.738,40;35  x;100.691,80;1.793  x     ;6.551,80;96.488  x    ;121,7;101.514  x  ;81;1.635.924  x;8,6;
22.;04.06.;46;27;32;25;15;48;31;0;116.587.387,50;2  x;2.331.747,70;2  x  ;2.331.747,70;25  x;139.904,80;1.236  x     ;9.432,60;77.099  x    ;151,2;98.647  x  ;82,7;1.468.693  x;9,5;
23.;11.06.;9;29;49;16;4;39;8;8;119.504.205,00;1  x;2.390.084,10;17  x  ;421.779,50;56  x;64.020,10;3.989  x     ;2.995,80;152.035  x    ;78,6;110.297  x  ;75,8;1.614.623  x;8,8;
24.;18.06.;26;20;45;13;42;44;33;6;118.428.880,00;JP;2.368.577,60;2  x  ;3.552.866,40;29  x;122.512,60;802  x     ;14.766,60;57.606  x    ;205,5;100.942  x  ;82,1;1.193.782  x;11,9;
25.;25.06.;10;1;2;35;30;29;14;7;116.402.407,50;1  x;4.696.625,70;3  x  ;2.328.048,10;20  x;174.603,60;1.103  x     ;10.553,20;73.068  x    ;159,3;88.065  x  ;92,5;1.357.571  x;10,2;
26.;02.07.;25;8;35;22;49;3;10;2;115.451.881,25;JP;2.309.037,60;5  x  ;1.385.422,50;32  x;108.236,10;1.283  x     ;8.998,50;76.564  x    ;150,7;108.979  x  ;74,1;1.368.899  x;10,1;
27.;09.07.;17;36;28;27;18;25;45;4;115.661.411,25;JP;4.622.265,80;3  x  ;2.313.228,20;22  x;157.720,10;1.214  x     ;9.527,20;73.215  x    ;157,9;110.673  x  ;73,1;1.480.785  x;9,3;
28.;16.07.;2;22;15;28;24;35;14;0;115.167.458,75;JP;6.925.614,90;4  x  ;1.727.511,80;15  x;230.334,90;1.237  x     ;9.310,20;70.758  x    ;162,7;90.862  x  ;88,7;1.252.091  x;11;
29.;23.07.;5;45;7;48;20;40;10;3;115.566.886,25;JP;9.236.952,60;6  x  ;1.155.668,80;66  x;52.530,40;1.315  x     ;8.788,30;81.363  x    ;142;154.706  x  ;52,2;1.403.085  x;9,8;
30.;30.07.;42;49;18;35;40;20;39;3;122.591.881,25;JP;11.688.790,20;5  x  ;1.471.102,50;22  x;167.170,70;1.130  x     ;10.848,80;70.509  x    ;173,8;87.392  x  ;98,1;1.361.041  x;10,8;
31.;06.08.;20;42;39;27;44;7;33;7;130.822.421,25;JP;14.305.238,60;4  x  ;1.962.336,30;39  x;100.632,60;1.260  x     ;10.382,70;84.897  x    ;154;129.223  x  ;70,8;1.573.680  x;9,9;
32.;13.08.;40;16;17;43;26;3;27;7;168.305.308,75;JP;17.671.344,70;4  x  ;2.524.579,60;33  x;153.004,80;2.324  x     ;7.242,00;145.753  x    ;115,4;169.898  x  ;69,3;2.377.918  x;8,4;
33.;20.08.;41;4;33;36;40;27;18;3;251.930.870,00;JP;22.709.962,10;2  x  ;7.557.926,10;86  x;87.882,80;1.772  x     ;14.217,30;143.995  x    ;174,9;323.124  x  ;54,5;2.827.865  x;10,6;
34.;27.08.;9;24;38;10;5;8;6;9;290.248.293,75;JP;28.514.927,90;9  x  ;1.934.988,60;137  x;63.558,00;4.803  x     ;6.043,00;312.492  x    ;92,8;401.709  x  ;50,5;4.899.795  x;7,1;
35.;03.09.;30;17;16;5;42;24;39;5;342.344.147,50;JP;35.361.810,80;10  x  ;2.054.064,80;118  x;87.036,60;3.991  x     ;8.577,90;258.694  x    ;132,3;407.085  x  ;58,8;4.652.219  x;8,8;
36.;10.09.;42;18;34;3;45;37;1;7;345.455.790,00;4  x;10.567.731,60;26  x  ;797.205,60;57  x;181.818,80;5.189  x     ;6.657,40;266.729  x    ;129,5;222.567  x  ;108,6;4.528.899  x;9,1;
37.;17.09.;37;27;15;48;41;14;40;2;163.185.163,75;1  x;3.263.703,20;3  x  ;3.263.703,20;24  x;203.981,40;1.609  x     ;10.142,00;95.740  x    ;170,4;109.439  x  ;104,3;1.775.791  x;11;
38.;24.09.;47;23;44;6;7;16;17;4;146.931.572,50;JP;2.938.631,40;4  x  ;2.203.973,50;43  x;102.510,30;1.647  x     ;8.921,10;98.202  x    ;149,6;152.919  x  ;67,2;1.876.511  x;9,3;
