LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2010
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2010;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
1.;06.01.;MI;48;17;20;24;14;2;1;1;23.428.287,75;JP;5.050.944,50;1  x  ;937.131,50;9  x  ;65.078,50;392  x  ;3.884,70;892  x  ;262,6;22.858  x  ;51,2;31.785  x  ;29,4;459.704  x  ;11,2
;09.01.;SA;2;22;33;24;37;46;10;9;52.379.219,25;JP;7.669.905,40;JP;2.095.168,70;70  x  ;18.706,80;1.561  x  ;2.181,00;4.851  x  ;107,9;66.042  x  ;39,6;104.938  x  ;19,9;1.089.010  x  ;10,5
2.;13.01.;MI;38;2;13;40;43;34;48;8;26.511.477,00;JP;8.995.479,20;JP;3.155.627,70;7  x  ;94.683,80;435  x  ;3.961,40;1.289  x  ;205,6;25.868  x  ;51,2;38.786  x  ;27,3;513.946  x  ;11,3
;16.01.;SA;12;7;6;34;18;17;33;4;57.412.774,50;1  x  ;11.866.117,90;3  x  ;1.817.379,50;116  x  ;12.373,40;1.717  x  ;2.173,40;5.200  x  ;110,4;92.543  x  ;31;126.495  x  ;18,1;1.614.154  x  ;7,8
3.;20.01.;MI;46;47;15;28;11;9;44;9;22.437.913,50;JP;1.121.895,60;JP;897.516,50;6  x  ;93.491,30;379  x  ;3.848,10;891  x  ;251,8;21.517  x  ;52,1;28.262  x  ;31,7;442.895  x  ;11,1
;23.01.;SA;39;28;31;21;16;14;27;5;50.718.964,50;JP;3.657.843,80;1  x  ;2.926.275,00;23  x  ;55.129,30;1.038  x  ;3.176,00;2.646  x  ;191,6;53.295  x  ;47,5;80.423  x  ;25,2;1.006.679  x  ;11
4.;27.01.;MI;39;43;7;46;10;5;42;5;23.096.811,00;JP;4.812.684,30;JP;923.872,40;4  x  ;144.355,00;381  x  ;3.940,40;1.047  x  ;220,5;23.576  x  ;48,9;34.748  x  ;26,5;501.758  x  ;10,1
;30.01.;SA;17;49;46;13;11;34;32;7;52.972.822,50;JP;7.461.325,40;8  x  ;380.348,10;49  x  ;27.026,90;1.217  x  ;2.829,20;4.520  x  ;117,1;64.079  x  ;41,3;112.305  x  ;18,8;1.157.332  x  ;10
5.;03.02.;MI;8;43;4;10;16;37;22;6;26.573.691,00;JP;8.790.009,90;JP;1.062.947,60;25  x  ;26.573,60;522  x  ;3.308,90;1.975  x  ;134,5;29.506  x  ;45;48.807  x  ;21,7;562.529  x  ;10,3
;06.02.;SA;15;10;22;34;41;49;36;2;57.592.710,00;JP;11.669.645,40;3  x  ;1.122.218,60;9  x  ;159.979,70;878  x  ;4.263,60;1.752  x  ;328,7;47.078  x  ;61,1;59.589  x  ;38,6;999.258  x  ;12,6
6.;10.02.;MI;9;29;44;6;49;12;40;7;30.540.524,25;JP;13.196.671,60;4  x  ;305.405,20;10  x  ;76.351,30;781  x  ;2.541,70;1.751  x  ;174,4;40.638  x  ;37,5;48.456  x  ;25,2;705.334  x  ;9,5
;13.02.;SA;11;36;15;5;20;48;17;2;61.503.838,50;1  x  ;16.271.863,50;1  x  ;2.460.153,50;13  x  ;118.276,60;1.081  x  ;3.698,10;2.724  x  ;225,7;60.950  x  ;50,4;90.124  x  ;27,2;1.172.867  x  ;11,5
7.;17.02.;MI;17;35;31;22;38;44;30;5;22.720.234,50;1  x  ;1.136.011,70;1  x  ;908.809,30;6  x  ;94.667,60;331  x  ;4.461,60;764  x  ;297,3;23.096  x  ;49,1;27.325  x  ;33,2;458.257  x  ;10,9
;20.02.;SA;10;24;25;20;47;2;38;3;50.033.807,25;JP;2.501.690,30;4  x  ;500.338,00;65  x  ;19.243,70;1.371  x  ;2.372,10;5.501  x  ;90,9;72.074  x  ;34,7;117.914  x  ;16,9;1.224.153  x  ;8,9
8.;24.02.;MI;25;3;12;6;22;41;27;2;23.146.570,50;3  x  ;1.528.293,80;unbesetzt;;22  x  ;26.302,90;818  x  ;1.839,20;2.034  x  ;113,7;43.320  x  ;26,7;51.464  x  ;17,9;606.584  x  ;8,3
;27.02.;SA;45;30;6;33;26;4;47;7;50.852.040,00;1  x  ;2.542.602,00;3  x  ;678.027,20;16  x  ;79.456,30;1.022  x  ;3.234,20;2.430  x  ;209,2;63.094  x  ;40,2;72.700  x  ;27,9;1.158.211  x  ;9,6
9.;03.03.;MI;45;3;9;17;47;37;12;1;22.391.151,00;1  x  ;1.119.557,50;4  x  ;223.911,50;22  x  ;25.444,40;794  x  ;1.833,00;1.704  x  ;131,4;37.594  x  ;29,7;46.728  x  ;19,1;581.697  x  ;8,4
;06.03.;SA;38;39;35;27;13;18;21;2;50.029.562,25;1  x  ;2.501.478,10;3  x  ;667.060,80;24  x  ;52.114,10;1.149  x  ;2.830,20;2.603  x  ;192,1;67.485  x  ;37;75.179  x  ;26,6;1.188.881  x  ;9,2
10.;10.03.;MI;49;16;46;18;45;27;1;7;22.902.051,00;JP;1.145.102,50;JP;916.082,00;6  x  ;95.425,20;318  x  ;4.681,20;962  x  ;238;21.166  x  ;54,1;31.583  x  ;29;439.999  x  ;11,4
;13.03.;SA;10;23;27;15;35;24;13;9;51.827.681,25;JP;3.736.486,50;2  x  ;1.494.594,60;15  x  ;86.379,40;837  x  ;4.024,80;3.693  x  ;140,3;51.286  x  ;50,5;94.067  x  ;22;1.069.585  x  ;10,6
11.;17.03.;MI;23;19;25;20;34;30;38;0;23.911.827,00;JP;4.932.077,80;1  x  ;956.473,00;14  x  ;42.699,60;409  x  ;3.800,10;1.707  x  ;140;27.383  x  ;43,6;45.432  x  ;21;531.955  x  ;9,8
;20.03.;SA;30;21;24;6;20;22;45;0;52.305.777,75;JP;7.547.366,60;3  x  ;697.410,30;10  x  ;130.764,40;908  x  ;3.744,30;1.647  x  ;317,5;55.662  x  ;46,9;59.023  x  ;35,4;1.043.216  x  ;11
12.;24.03.;MI;9;15;40;47;25;19;3;7;25.913.159,25;JP;8.843.024,50;JP;1.036.526,30;23  x  ;28.166,40;502  x  ;3.355,20;2.198  x  ;117,8;30.603  x  ;42,3;58.988  x  ;17,5;590.551  x  ;9,6
;27.03.;SA;10;14;49;36;45;4;33;8;55.672.103,25;JP;11.626.629,60;3  x  ;1.087.803,40;20  x  ;69.590,10;834  x  ;4.338,90;3.001  x  ;185,5;47.442  x  ;58,6;83.562  x  ;26,6;978.066  x  ;12,5
13.;31.03.;MI;46;41;49;14;25;47;48;3;30.813.343,50;2  x  ;7.199.915,20;unbesetzt;;24  x  ;32.097,20;472  x  ;4.243,30;2.581  x  ;119,3;31.486  x  ;48,9;61.145  x  ;20,1;595.786  x  ;11,3
;03.04.;SA;48;40;24;13;32;12;19;8;51.830.363,25;JP;2.591.518,10;13  x  ;159.478,00;50  x  ;25.915,10;2.751  x  ;1.224,60;4.253  x  ;121,8;104.127  x  ;24,8;103.451  x  ;20;1.299.240  x  ;8,7
14.;07.04.;MI;18;14;35;32;26;24;48;2;22.293.198,75;JP;3.706.178,00;1  x  ;891.727,90;8  x  ;69.666,20;557  x  ;2.601,50;1.141  x  ;195,3;30.051  x  ;37;34.150  x  ;26,1;489.056  x  ;10
;10.04.;SA;37;3;2;47;34;8;41;9;51.017.388,00;JP;6.257.047,40;JP;2.040.695,50;13  x  ;98.110,30;784  x  ;4.229,70;2.036  x  ;250,5;52.721  x  ;48,3;63.543  x  ;32,1;1.063.788  x  ;10,5
15.;14.04.;MI;35;42;13;18;37;5;7;1;25.752.955,50;JP;7.544.695,10;1  x  ;3.070.813,70;18  x  ;35.767,90;518  x  ;3.231,50;1.623  x  ;158,6;26.381  x  ;48,8;48.102  x  ;21,4;498.481  x  ;11,3
;17.04.;SA;10;11;35;38;17;16;37;1;56.387.230,50;JP;10.364.056,60;3  x  ;751.829,70;24  x  ;58.736,60;942  x  ;3.890,80;2.473  x  ;228;59.056  x  ;47,7;75.692  x  ;29,7;1.254.149  x  ;9,8
16.;21.04.;MI;41;40;23;33;13;5;28;7;28.936.774,50;JP;11.810.895,30;JP;1.157.470,90;8  x  ;90.427,40;798  x  ;2.357,00;1.513  x  ;191,2;39.900  x  ;36,2;44.238  x  ;26,1;699.859  x  ;9
;24.04.;SA;45;29;12;26;7;46;11;1;60.854.320,50;1  x  ;14.853.611,30;1  x  ;3.591.643,70;30  x  ;50.711,90;1.180  x  ;3.352,10;3.516  x  ;173;66.224  x  ;45,9;100.846  x  ;24,1;1.248.996  x  ;10,7
17.;28.04.;MI;40;3;30;39;19;26;8;1;26.868.179,25;JP;1.343.408,90;3  x  ;358.242,30;27  x  ;24.877,90;780  x  ;2.239,00;2.242  x  ;119,8;40.928  x  ;32,8;51.765  x  ;20,7;680.253  x  ;8,6
;01.05.;SA;19;16;10;37;20;49;29;4;47.067.726,75;JP;3.696.795,20;1  x  ;1.882.709,00;10  x  ;117.669,30;739  x  ;4.139,90;1.823  x  ;258,1;50.077  x  ;46,9;59.255  x  ;31,7;1.047.832  x  ;9,8
