"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1961
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1961;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;01.01.;15 ;8 ;27 ;49 ;11 ;42 ;33 ;21.748.723,50 ;1  x  ;500.000,00 ;18  x  ;127.741,10 ;588  x     ;4.486,10 ;33.549  x    ;81,00 ;666.028  x;4,05  
2.;08.01.;20 ;10 ;30 ;13 ;39 ;38 ;2 ;22.257.671,50 ;1  x  ;500.000,00 ;12  x  ;194.565,50 ;623  x     ;4.381,40 ;35.530  x    ;78,30 ;702.075  x;3,95  
3.;15.01.;10 ;35 ;14 ;16 ;37 ;23 ;21 ;22.828.408,50 ;2  x  ;500.000,00 ;17  x  ;112.686,10 ;764  x     ;3.653,70 ;39.500  x    ;72,20 ;726.480  x;3,90  
4.;22.01.;15 ;47 ;6 ;4 ;49 ;38 ;2 ;22.505.172,50 ;2  x  ;500.000,00 ;5  x  ;369.769,25 ;389  x     ;7.139,95 ;29.037  x    ;96,85 ;599.371  x;4,65  
5.;29.01.;18 ;45 ;10 ;6 ;47 ;37 ;5 ;22.409.912,00 ;1  x  ;500.000,00 ;8  x  ;291.567,20 ;708  x     ;3.912,30 ;36.596  x    ;76,50 ;701.385  x;3,95  
6.;05.02.;15 ;16 ;18 ;25 ;37 ;43 ;36 ;23.253.148,00 ;1  x  ;500.000,00 ;6  x  ;407.481,45 ;450  x     ;6.374,20 ;32.671  x    ;88,95 ;705.649  x;4,10  
7.;12.02.;41 ;38 ;5 ;32 ;16 ;42 ;9 ;22.809.602,50 ;unbesetzt;;13  x  ;219.323,10 ;434  x     ;6.569,55 ;30.819  x    ;92,50 ;652.670  x;4,35  
8.;19.02.;5 ;15 ;13 ;49 ;44 ;36 ;8 ;22.583.257,00 ;1  x  ;500.000,00 ;10  x  ;237.647,25 ;517  x     ;5.356,55 ;34.546  x    ;81,70 ;701.763  x;4,00  
9.;26.02.;26 ;13 ;6 ;36 ;35 ;18 ;48 ;22.826.482,00 ;6  x  ;475.551,70 ;entfällt;;1.116  x     ;2.556,70 ;56.171  x    ;50,75 ;935.946  x;3,00  
10.;05.03.;1 ;25 ;9 ;28 ;2 ;8 ;44 ;23.549.478,00 ;9  x  ;327.076,05 ;entfällt;;1.329  x     ;2.214,95 ;57.033  x    ;51,60 ;953.542  x;3,05  
11.;12.03.;24 ;28 ;21 ;13 ;26 ;8 ;2 ;22.751.542,00 ;3  x  ;500.000,00 ;26  x  ;54.889,10 ;863  x     ;3.199,00 ;47.835  x    ;59,45 ;870.162  x;3,25  
12.;19.03.;48 ;41 ;34 ;32 ;2 ;40 ;35 ;22.875.904,00 ;2  x  ;500.000,00 ;7  x  ;273.327,90 ;365  x     ;7.686,75 ;28.389  x    ;100,70 ;632.790  x;4,50  
13.;26.03.;6 ;7 ;40 ;9 ;15 ;12 ;36 ;22.812.897,50 ;1  x  ;500.000,00 ;15  x  ;160.325,30 ;788  x     ;3.551,15 ;49.758  x    ;57,30 ;870.259  x;3,25  
14.;03.04.;32 ;38 ;9 ;40 ;6 ;33 ;18 ;22.317.967,50 ;5  x  ;500.000,00 ;17  x  ;23.121,75 ;442  x     ;6.077,85 ;32.414  x    ;86,05 ;736.963  x;3,75  
15.;09.04.;20 ;3 ;31 ;17 ;26 ;21 ;45 ;22.380.736,00 ;3  x  ;500.000,00 ;17  x  ;79.511,60 ;862  x     ;3.182,65 ;52.132  x    ;53,65 ;885.243  x;3,15  
16.;16.04.;4 ;23 ;28 ;27 ;38 ;29 ;5 ;22.680.286,50 ;4  x  ;500.000,00 ;10  x  ;89.548,40 ;459  x     ;6.044,85 ;43.450  x    ;65,20 ;870.427  x;3,25  
17.;23.04.;30 ;38 ;17 ;16 ;15 ;40 ;47 ;22.733.642,00 ;3  x  ;500.000,00 ;11  x  ;125.045,30 ;914  x     ;3.072,10 ;35.812  x    ;79,35 ;678.953  x;4,15  
18.;30.04.;1 ;19 ;23 ;40 ;46 ;8 ;34 ;23.314.845,00 ;2  x  ;500.000,00 ;13  x  ;151.451,40 ;682  x     ;4.193,30 ;37.265  x    ;78,20 ;761.899  x;3,80  
19.;07.05.;27 ;39 ;18 ;22 ;3 ;34 ;48 ;22.617.272,00 ;10  x  ;282.715,90 ;entfällt;;1.306  x     ;2.164,70 ;66.248  x    ;42,65 ;1.028.712  x;2,70  
20.;14.05.;7 ;5 ;22 ;43 ;18 ;21 ;14 ;22.341.942,00 ;3  x  ;500.000,00 ;22  x  ;61.467,15 ;1.010  x     ;2.706,10 ;54.073  x    ;51,60 ;963.801  x;2,85  
21.;22.05.;7 ;21 ;9 ;45 ;35 ;31 ;40 ;22.621.732,00 ;2  x  ;500.000,00 ;17  x  ;110.686,35 ;874  x     ;3.173,60 ;45.502  x    ;62,10 ;882.923  x;3,20  
22.;28.05.;45 ;24 ;14 ;48 ;43 ;41 ;11 ;21.952.779,00 ;4  x  ;500.000,00 ;19  x  ;42.126,40 ;907  x     ;2.963,35 ;47.671  x    ;57,55 ;688.364  x;3,95  
23.;04.06.;15 ;1 ;41 ;36 ;2 ;11 ;3 ;22.485.778,00 ;unbesetzt;;14  x  ;200.765,85 ;373  x     ;7.535,40 ;29.225  x    ;96,15 ;647.325  x;4,30  
24.;11.06.;47 ;39 ;5 ;25 ;29 ;2 ;27 ;22.327.591,00 ;unbesetzt;;9  x  ;310.105,40 ;522  x     ;5.346,60 ;35.013  x    ;79,70 ;707.695  x;3,90  
25.;18.06.;47 ;5 ;34 ;9 ;22 ;21 ;6 ;21.729.989,50 ;2  x  ;500.000,00 ;21  x  ;85.042,65 ;798  x     ;3.316,50 ;42.373  x    ;64,10 ;772.725  x;3,50  
26.;25.06.;23 ;29 ;36 ;40 ;28 ;14 ;10 ;21.797.204,50 ;1  x  ;500.000,00 ;10  x  ;226.924,35 ;601  x     ;4.459,30 ;36.164  x    ;75,30 ;707.568  x;3,85  
27.;02.07.;37 ;42 ;1 ;25 ;29 ;17 ;40 ;21.977.801,00 ;3  x  ;500.000,00 ;7  x  ;183.063,30 ;555  x     ;4.888,30 ;34.450  x    ;79,70 ;703.981  x;3,90  
28.;09.07.;1 ;11 ;26 ;33 ;25 ;18 ;5 ;21.990.689,50 ;1  x  ;500.000,00 ;42  x  ;55.782,15 ;1.186  x     ;2.238,45 ;53.686  x    ;51,20 ;885.620  x;3,10  
29.;16.07.;2 ;48 ;42 ;1 ;32 ;19 ;35 ;22.265.526,00 ;2  x  ;500.000,00 ;8  x  ;228.476,35 ;491  x     ;5.577,50 ;34.317  x    ;81,10 ;704.203  x;3,95  
30.;23.07.;5 ;28 ;3 ;43 ;42 ;15 ;13 ;22.041.251,50 ;3  x  ;500.000,00 ;23  x  ;58.959,20 ;605  x     ;4.387,15 ;38.711  x    ;71,15 ;750.468  x;3,65  
31.;30.07.;12 ;49 ;35 ;2 ;41 ;47 ;37 ;22.037.777,50 ;3  x  ;500.000,00 ;4  x  ;320.147,00 ;422  x     ;6.466,45 ;32.067  x    ;85,90 ;627.637  x;4,35  
32.;06.08.;28 ;15 ;12 ;32 ;25 ;43 ;49 ;22.095.353,50 ;3  x  ;500.000,00 ;10  x  ;129.448,85 ;838  x     ;3.256,95 ;41.261  x    ;66,90 ;759.414  x;3,60  
33.;13.08.;9 ;31 ;12 ;23 ;28 ;38 ;21 ;21.799.529,50 ;1  x  ;500.000,00 ;23  x  ;99.264,30 ;1.055  x     ;2.527,75 ;53.535  x    ;50,90 ;915.408  x;2,95  
34.;20.08.;25 ;48 ;33 ;34 ;31 ;9 ;49 ;21.892.017,00 ;5  x  ;500.000,00 ;7  x  ;38.761,45 ;543  x     ;4.975,45 ;40.944  x    ;66,80 ;813.928  x;3,35  
35.;27.08.;18 ;17 ;44 ;15 ;11 ;33 ;38 ;21.738.763,00 ;1  x  ;500.000,00 ;7  x  ;321.292,50 ;593  x     ;4.528,90 ;39.983  x    ;67,95 ;816.047  x;3,30  
