"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1979
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1979;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;06.01.;37 ;39 ;41 ;43 ;8 ;10 ;36 ;75.906.225,00 ;12  x  ;474.413,90 ;30  x  ;94.882,70 ;1.688  x     ;5.058,90 ;111.337  x    ;76,60 ;2.247.463  x;5,40  
2.;13.01.;8 ;9 ;12 ;16 ;45 ;5 ;42 ;79.088.642,00 ;6  x  ;988.608,00 ;40  x  ;74.145,60 ;2.491  x     ;3.576,10 ;150.275  x    ;59,20 ;2.958.154  x;4,30  
3.;20.01.;32 ;6 ;43 ;11 ;20 ;1 ;24 ;79.671.844,00 ;13  x  ;459.645,20 ;80  x  ;37.346,10 ;2.390  x     ;3.750,20 ;132.838  x    ;67,40 ;2.560.707  x;5,00  
4.;27.01.;26 ;38 ;33 ;2 ;31 ;20 ;35 ;79.193.740,00 ;6  x  ;989.921,70 ;49  x  ;60.607,40 ;2.486  x     ;3.583,70 ;154.429  x    ;57,60 ;3.031.550  x;4,20  
5.;03.02.;29 ;23 ;48 ;33 ;5 ;18 ;46 ;80.869.217,00 ;8  x  ;758.148,90 ;74  x  ;40.981,00 ;2.805  x     ;3.242,20 ;151.747  x    ;59,90 ;2.809.024  x;4,60  
6.;10.02.;39 ;14 ;27 ;19 ;1 ;2 ;41 ;81.263.781,50 ;10  x  ;609.478,30 ;72  x  ;42.324,80 ;2.815  x     ;3.247,60 ;160.543  x    ;56,90 ;2.930.540  x;4,50  
7.;17.02.;32 ;19 ;21 ;47 ;5 ;17 ;3 ;80.318.528,50 ;27  x  ;223.107,00 ;222  x  ;13.567,30 ;5.199  x     ;1.737,90 ;230.121  x    ;39,20 ;3.594.397  x;3,60  
8.;24.02.;14 ;41 ;42 ;23 ;24 ;9 ;6 ;80.081.679,50 ;9  x  ;667.347,30 ;69  x  ;43.522,60 ;2.019  x     ;4.462,20 ;125.159  x    ;71,90 ;2.614.376  x;4,90  
9.;03.03.;32 ;24 ;17 ;42 ;1 ;44 ;41 ;83.093.014,00 ;9  x  ;692.441,70 ;35  x  ;89.028,20 ;2.590  x     ;3.609,20 ;146.658  x    ;63,70 ;2.823.998  x;4,70  
10.;10.03.;21 ;39 ;43 ;25 ;41 ;42 ;31 ;80.754.680,00 ;4  x  ;1.500.000,00 ;46  x  ;67.063,00 ;1.891  x     ;4.804,20 ;133.012  x    ;68,30 ;2.622.390  x;5,00  
11.;17.03.;45 ;16 ;27 ;49 ;21 ;38 ;7 ;81.768.219,00 ;5  x  ;1.226.523,20 ;77  x  ;39.822,10 ;3.066  x     ;3.000,30 ;162.747  x    ;56,50 ;2.856.331  x;4,60  
12.;24.03.;42 ;39 ;11 ;4 ;8 ;7 ;12 ;80.768.190,00 ;16  x  ;378.600,80 ;60  x  ;50.480,10 ;2.324  x     ;3.909,80 ;143.312  x    ;63,40 ;2.839.355  x;4,60  
13.;31.03.;9 ;16 ;26 ;7 ;5 ;43 ;19 ;81.165.336,50 ;9  x  ;676.377,80 ;75  x  ;40.582,60 ;3.031  x     ;3.012,50 ;182.255  x    ;50,10 ;3.261.752  x;4,00  
14.;07.04.;27 ;16 ;12 ;45 ;15 ;20 ;10 ;80.262.426,50 ;1  x  ;1.500.000,00 ;31  x  ;242.887,80 ;1.559  x     ;5.791,80 ;113.395  x    ;79,60 ;2.441.417  x;5,30  
15.;14.04.;25 ;11 ;26 ;21 ;41 ;7 ;36 ;78.806.812,50 ;7  x  ;844.358,70 ;66  x  ;44.776,50 ;3.418  x     ;2.593,80 ;186.744  x    ;47,40 ;3.313.308  x;3,80  
16.;21.04.;23 ;18 ;24 ;45 ;35 ;6 ;32 ;79.136.448,50 ;8  x  ;741.904,20 ;81  x  ;36.637,20 ;2.369  x     ;3.758,00 ;145.185  x    ;61,30 ;2.821.610  x;4,50  
