Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1983
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1983;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;08.01.;5 ;16 ;41 ;20 ;6 ;28 ;26 ;78.940.504,00 ;4  x  ;1.480.134,40 ;70  x  ;42.289,50 ;1.331  x     ;6.672,20 ;59.066  x    ;150,30 ;1.199.374  x;10,60  
2.;15.01.;4 ;34 ;37 ;24 ;2 ;42 ;38 ;80.790.888,00 ;8  x  ;757.414,50 ;23  x  ;131.724,20 ;1.443  x     ;6.298,60 ;85.170  x    ;106,70 ;1.489.594  x;8,80  
3.;22.01.;38 ;4 ;10 ;1 ;48 ;9 ;44 ;79.661.546,00 ;3  x  ;1.991.538,60 ;22  x  ;135.786,70 ;967  x     ;9.267,70 ;68.044  x    ;131,70 ;1.383.018  x;9,30  
4.;29.01.;10 ;43 ;19 ;6 ;47 ;30 ;14 ;79.721.826,00 ;4  x  ;1.494.784,20 ;37  x  ;80.799,10 ;1.758  x     ;5.101,60 ;86.367  x    ;103,80 ;1.486.397  x;8,70  
5.;05.02.;38 ;47 ;2 ;19 ;44 ;43 ;14 ;79.365.343,00 ;1  x  ;3.000.000,00 ;25  x  ;237.144,00 ;936  x     ;9.539,10 ;64.373  x    ;138,70 ;1.278.852  x;10,00  
6.;12.02.;17 ;44 ;13 ;33 ;6 ;19 ;26 ;79.071.847,00 ;7  x  ;847.198,30 ;54  x  ;54.911,00 ;2.012  x     ;4.421,20 ;100.599  x    ;88,40 ;1.692.202  x;7,50  
7.;19.02.;12 ;39 ;22 ;26 ;29 ;3 ;23 ;78.520.105,00 ;7  x  ;841.286,80 ;38  x  ;77.486,90 ;1.554  x     ;5.684,30 ;85.209  x    ;103,60 ;1.503.363  x;8,40  
8.;26.02.;36 ;5 ;17 ;13 ;44 ;48 ;32 ;78.813.956,00 ;7  x  ;844.435,20 ;76  x  ;38.888,40 ;1.488  x     ;5.958,70 ;73.447  x    ;120,70 ;1.315.134  x;9,70  
9.;05.03.;18 ;39 ;37 ;26 ;20 ;27 ;7 ;86.620.514,00 ;1  x  ;3.000.000,00 ;15  x  ;449.653,80 ;947  x     ;10.290,10 ;69.586  x    ;140,00 ;1.468.308  x;9,50  
10.;12.03.;1 ;32 ;44 ;31 ;15 ;29 ;7 ;79.575.343,00 ;4  x  ;1.492.037,60 ;25  x  ;119.363,00 ;638  x     ;14.031,70 ;44.055  x    ;203,20 ;1.016.437  x;12,70  
11.;19.03.;37 ;48 ;22 ;34 ;9 ;45 ;19 ;78.893.062,00 ;8  x  ;739.622,40 ;59  x  ;50.143,80 ;1.284  x     ;6.912,30 ;68.629  x    ;129,30 ;1.225.452  x;10,40  
12.;26.03.;42 ;1 ;27 ;26 ;11 ;7 ;19 ;78.465.494,00 ;4  x  ;1.471.228,00 ;44  x  ;66.874,00 ;1.488  x     ;5.932,30 ;86.052  x    ;102,50 ;1.565.920  x;8,10  
13.;02.04.;46 ;15 ;39 ;4 ;5 ;32 ;31 ;76.080.484,00 ;3  x  ;1.902.012,10 ;9  x  ;317.002,00 ;967  x     ;8.851,10 ;59.182  x    ;144,60 ;1.155.281  x;10,70  
14.;09.04.;40 ;8 ;35 ;42 ;18 ;46 ;27 ;77.003.949,00 ;3  x  ;1.925.098,70 ;40  x  ;72.191,20 ;788  x     ;10.993,50 ;58.451  x    ;148,20 ;1.239.324  x;10,00  
15.;16.04.;6 ;44 ;10 ;32 ;12 ;15 ;4 ;79.323.801,00 ;5  x  ;1.189.857,00 ;20  x  ;148.732,10 ;1.252  x     ;7.127,70 ;76.710  x    ;116,30 ;1.437.337  x;8,90  
16.;23.04.;30 ;12 ;34 ;39 ;32 ;4 ;22 ;76.975.924,00 ;2  x  ;2.886.597,10 ;26  x  ;111.022,90 ;1.361  x     ;6.362,80 ;82.028  x    ;105,50 ;1.435.332  x;8,70  
