Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1990
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1990;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;06.01.;44 ;45 ;48 ;12 ;46 ;30 ;2 ;104.514.786,00 ;5  x  ;1.567.721,70 ;18  x  ;217.739,10 ;949  x     ;12.389,70 ;120.914  x    ;97,20 ;1.607.023  x;10,50  
2.;13.01.;37 ;33 ;12 ;6 ;42 ;15 ;9 ;105.488.116,00 ;12  x  ;659.300,70 ;55  x  ;71.923,70 ;2.217  x     ;5.352,90 ;102.278  x    ;116,00 ;1.772.874  x;9,60  
3.;20.01.;8 ;42 ;40 ;1 ;17 ;18 ;10 ;104.143.682,00 ;6  x  ;1.301.796,00 ;42  x  ;92.985,40 ;1.490  x     ;7.863,10 ;83.043  x    ;141,00 ;1.648.051  x;10,20  
4.;27.01.;12 ;10 ;42 ;6 ;9 ;37 ;44 ;103.208.216,00 ;9  x  ;860.068,40 ;26  x  ;148.858,00 ;2.171  x     ;5.348,10 ;117.530  x    ;98,70 ;1.999.733  x;8,30  
5.;03.02.;29 ;46 ;48 ;42 ;35 ;20 ;45 ;112.148.490,00 ;3  x  ;2.803.712,20 ;26  x  ;161.752,60 ;1.156  x     ;10.914,10 ;71.328  x    ;176,80 ;1.446.763  x;12,50  
6.;10.02.;49 ;46 ;10 ;20 ;21 ;38 ;7 ;104.556.768,00 ;3  x  ;2.613.919,20 ;35  x  ;112.025,10 ;1.203  x     ;9.777,70 ;79.271  x    ;148,30 ;1.668.901  x;10,10  
7.;17.02.;7 ;25 ;1 ;49 ;32 ;15 ;5 ;103.535.165,00 ;19  x  ;408.691,40 ;75  x  ;51.767,50 ;7.066  x     ;1.648,40 ;147.374  x    ;79,00 ;1.900.483  x;8,80  
