Lotto am Samstag 6 aus 49;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 01. - 52. Veranstaltung 1992
(Alle Zahlenangaben ohne Gewähr);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
VA;1992;Gewinnzahlen in ;;;;;;Zu-;Su-;Spieleinsatz; 6 Treffer und Superzahl;;       6 Treffer;;     5 Treffer +;;         5 Treffer;;         4 Treffer;; 3 Treffer u. Zusatzzahl ;;       3 Treffer;
;;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;     Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
1.;04.01.;27;11;18;16;32;39;41;0;131.549.476,25;3;4.562.979,20;8;986.621,00;77;51.253,00;3.227;4.076,50;173.905;75,60;176.185;52,20;2.104.945;7,40
2.;11.01.;45;39;1;3;21;18;49;6;138.690.556,25;1;3.698.414,80;2;3.698.414,80;42;99.064,60;1.252;11.077,50;86.337;160,60;137.199;70,70;1.624.449;10,20
3.;18.01.;4;32;9;48;31;14;5;3;130.164.127,50;JP;2.603.282,50;2;3.904.923,80;21;185.948,70;1.611;8.079,70;100.513;129,40;125.849;72,40;1.790.345;8,70
4.;25.01.;31;40;20;41;22;47;29;7;128.584.715,00;1;5.174.976,80;3;2.571.694,30;18;214.307,80;1.360;9.454,70;87.153;147,50;89.656;100,30;1.579.167;9,70
5.;01.02.;14;35;47;30;22;16;12;9;129.815.180,00;JP;2.596.303,60;2;3.894.455,40;22;177.020,70;987;13.152,50;64.616;200,90;88.613;102,50;1.193.089;13,00
6.;08.02.;41;16;25;40;6;37;18;8;130.688.286,25;1;5.210.069,30;10;784.129,70;49;80.013,20;2.602;5.022,60;116.277;112,30;128.714;71,00;1.756.124;8,90
7.;15.02.;41;32;48;17;35;4;37;2;128.026.023,75;2;1.280.260,20;11;698.323,70;63;60.964,70;2.306;5.551,80;118.374;108,10;154.021;58,10;1.814.965;8,40
8.;22.02.;46;4;3;39;40;11;6;0;127.067.221,25;JP;2.541.345,00;5;1.524.806,60;27;141.185,80;1.403;9.056,80;92.228;137,70;103.486;85,90;1.649.494;9,20
9.;29.02.;30;11;19;27;13;25;5;6;127.146.063,75;JP;5.084.502,00;17;448.750,80;195;19.560,90;3.607;3.524,90;147.690;86,00;224.157;39,70;2.129.093;7,10
10.;07.03.;42;9;31;15;28;43;4;1;125.496.686,25;JP;7.594.436,00;6;1.254.966,80;56;67.230,30;1.816;6.910,60;91.652;136,90;117.253;74,90;1.521.685;9,80
11.;14.03.;45;36;2;18;16;46;42;6;134.540.617,50;JP;10.285.247,70;JP;8.072.437,00;17;237.424,60;1.415;9.508,10;78.754;170,80;99.769;94,30;1.504.441;10,70
12.;21.03.;19;21;20;47;14;35;3;1;160.151.796,25;JP;13.488.283,60;3;5.893.848,20;35;137.272,90;1.059;15.122,90;83.053;192,80;170.182;65,80;1.745.261;11,00
13.;28.03.;1;42;36;37;5;21;43;4;146.338.281,25;1;16.415.049,20;3;2.926.765,60;18;243.897,10;1.163;12.582,80;77.567;188,60;96.337;106,30;1.543.901;11,30
14.;04.04.;1;5;27;3;17;30;47;9;134.803.955,00;JP;2.696.079,00;15;539.215,80;80;50.551,40;3.678;3.665,10;153.670;87,70;152.567;61,80;2.260.042;7,10
15.;11.04.;11;29;49;37;14;31;30;1;127.838.692,50;JP;5.252.852,90;6;1.278.386,90;19;201.850,50;980;13.044,70;68.507;186,60;79.210;112,90;1.433.342;10,70
16.;18.04.;49;10;41;40;24;31;12;6;123.668.641,25;1;7.726.225,70;4;1.855.029,60;54;68.704,80;1.822;6.787,50;107.587;114,90;157.582;54,90;1.828.622;8,10
17.;25.04.;22;25;39;5;4;15;12;0;122.633.225,00;JP;2.452.665,00;3;2.452.664,50;35;105.114,10;1.557;7.876,20;95.721;128,10;148.831;57,60;1.651.932;8,90
18.;02.05.;29;39;2;46;5;22;38;7;118.221.060,00;JP;4.817.086,00;5;1.418.652,70;27;131.356,70;1.208;9.786,50;67.779;174,40;83.535;99,00;1.297.048;10,90
19.;09.05.;19;32;3;4;15;41;46;9;128.675.603,75;JP;7.390.597,70;10;772.053,60;54;71.486,40;2.912;4.418,80;131.095;98,10;139.931;64,30;2.049.067;7,50
20.;16.05.;7;44;17;1;28;49;2;4;120.498.130,00;2;4.900.280,10;17;425.287,50;36;100.415,10;3.179;3.790,40;138.714;86,80;119.246;70,70;1.879.037;7,60
21.;23.05.;9;21;38;36;26;29;6;5;117.185.317,50;2;1.562.470,90;4;1.562.470,90;65;54.085,50;1.787;6.557,60;101.236;115,70;147.896;55,40;1.595.133;8,80
22.;30.05.;21;33;19;32;8;36;6;2;115.329.150,00;1;4.613.166,00;1;4.613.166,00;46;75.214,60;1.578;7.308,50;97.370;118,40;137.013;58,90;1.639.564;8,40
23.;06.06.;36;11;26;29;24;6;13;6;119.663.886,25;JP;2.393.277,70;6;1.196.638,80;46;78.041,60;1.778;6.730,20;98.666;121,20;128.338;65,20;1.656.835;8,60
24.;13.06.;43;17;2;35;23;46;44;1;117.377.177,50;1;4.740.821,20;5;1.408.526,10;12;293.442,90;1.815;6.467,00;89.586;131,00;82.210;99,90;1.505.102;9,30
25.;20.06.;27;41;2;46;28;44;25;9;115.869.733,75;JP;2.317.395,00;6;1.158.697,30;24;144.837,10;810;14.304,90;57.229;202,40;83.562;97,00;1.209.717;11,40
26.;27.06.;14;19;42;3;15;24;37;5;118.334.006,25;JP;4.684.075,00;4;1.775.010,00;42;84.524,20;1.468;8.060,80;90.092;131,30;133.006;62,20;1.598.072;8,80
27.;04.07.;39;16;32;12;35;28;7;2;117.293.666,25;JP;7.029.948,00;9;781.957,70;56;62.835,80;1.726;6.795,60;90.737;129,20;139.420;58,80;1.517.585;9,20
28.;11.07.;24;5;19;1;48;16;18;5;119.290.710,00;JP;9.415.762,00;3;2.385.814,20;25;143.148,80;1.662;7.177,50;96.364;123,70;105.367;79,20;1.703.887;8,40
29.;18.07.;36;37;25;20;8;30;38;1;121.333.571,25;JP;11.842.433,60;6;1.213.335,70;34;107.059,00;1.312;9.247,90;75.693;160,20;92.286;92,00;1.419.055;10,20
30.;25.07.;48;1;5;45;35;18;22;9;123.723.520,00;2;7.158.452,00;5;1.484.682,20;43;86.318,70;1.411;8.768,40;78.687;157,20;92.911;93,20;1.398.116;10,60
31.;01.08.;15;10;6;25;41;17;47;1;116.194.032,50;JP;2.323.881,00;2;3.485.820,90;23;151.557,40;1.556;7.467,40;96.415;120,50;102.808;79,10;1.736.425;8,00
32.;08.08.;10;5;26;25;9;45;12;7;116.734.400,00;1;4.658.569,00;9;778.229,30;45;77.822,90;2.257;5.172,10;122.277;95,40;153.878;53,10;1.831.302;7,60
33.;15.08.;11;43;14;35;37;12;5;5;116.363.591,25;JP;2.327.271,80;3;2.327.271,80;9;387.878,60;809;14.383,60;55.165;210,90;96.273;84,60;1.200.557;11,60
34.;22.08.;5;45;39;32;40;36;46;4;115.540.970,00;JP;4.638.091,00;1;6.932.458,20;16;216.639,30;846;13.657,30;67.764;170,50;93.588;86,40;1.371.960;10,10
35.;29.08.;25;47;49;10;41;12;9;0;117.737.607,50;JP;6.992.844,00;4;1.766.064,10;60;58.868,80;1.786;6.592,20;96.160;122,40;148.862;55,30;1.619.386;8,70
36.;05.09.;12;32;8;38;35;30;33;1;131.804.806,25;JP;9.628.939,00;2;3.954.144,10;24;164.756,00;1.450;9.089,90;89.566;147,10;120.739;76,40;1.644.197;9,60
37.;12.09.;14;25;19;20;33;15;16;1;130.802.685,00;JP;12.244.993,10;4;1.962.040,20;19;206.530,50;991;13.199,00;74.903;174,60;107.901;84,80;1.581.097;9,90
38.;19.09.;5;42;46;3;35;24;48;4;136.974.800,00;2;7.492.244,50;7;1.174.069,70;40;102.731,10;1.929;7.100,80;102.146;134,00;123.307;77,70;1.790.926;9,10
39.;26.09.;18;28;12;19;37;13;43;7;123.578.251,25;1;2.471.565,00;3;2.471.565,00;15;247.156,50;976;12.661,70;81.961;150,70;128.950;67,00;1.702.098;8,70
40.;03.10.;8;7;18;19;32;49;36;9;129.637.992,50;1;2.592.759,80;5;1.555.655,90;61;63.756,30;2.334;5.554,30;128.765;100,60;132.850;68,30;2.108.008;7,30
41.;10.10.;33;41;42;11;22;12;13;4;127.544.435,00;2;1.275.444,30;10;765.266,60;58;65.971,20;1.812;7.038,80;92.767;137,40;104.060;85,70;1.654.543;9,20
42.;17.10.;26;39;16;24;45;28;8;4;129.689.882,50;JP;2.593.797,60;2;3.890.696,40;49;79.401,90;1.678;7.728,80;103.947;124,70;122.768;73,90;1.695.882;9,10
43.;24.10.;7;45;18;22;5;16;24;9;124.904.162,50;2;2.545.940,40;3;2.498.083,20;43;87.142,40;1.237;10.097,30;82.714;151,00;118.669;73,60;1.553.752;9,60
44.;31.10.;5;46;24;34;14;48;40;8;126.139.975,00;1;2.522.799,50;9;840.933,10;56;67.574,90;1.867;6.756,20;90.870;138,80;109.456;80,60;1.477.117;10,20
45.;07.11.;19;28;27;12;48;15;13;5;130.172.808,75;JP;2.603.456,10;4;1.952.592,10;14;278.941,70;1.177;11.059,70;82.536;157,70;102.590;88,80;1.637.441;9,50
46.;14.11.;46;17;18;48;19;34;31;1;127.716.647,50;1;5.157.789,00;7;1.094.714,10;95;40.331,50;1.906;6.700,70;97.926;130,40;168.028;53,20;1.645.577;9,30
47.;21.11.;15;3;43;33;38;28;40;9;125.004.970,00;3;833.366,40;10;750.029,80;20;187.507,40;2.065;6.053,50;96.405;129,60;86.393;101,20;1.569.582;9,50
