Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;       Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;  6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1997;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
1.;04.01.;48 ;6 ;10 ;31 ;44 ;46 ;17 ;2 ;126.592.440,00 ;2  x;1.446.770,70  ;5  x  ;1.446.770,70 ;46  x;82.560,20 ;1.532  x     ;8.263,20 ;87.451  x    ;144,70 ;128.220  x  ;69,10 ;1.541.230  x;9,80  
2.;11.01.;35 ;33 ;28 ;29 ;3 ;40 ;11 ;1 ;138.546.840,00 ;JP;2.770.936,80  ;3  x  ;2.770.936,80 ;29  x;143.324,30 ;985  x     ;14.065,60 ;73.811  x    ;187,70 ;139.720  x  ;69,40 ;1.542.786  x;10,70  
3.;18.01.;19 ;44 ;36 ;28 ;47 ;10 ;32 ;1 ;129.787.288,75 ;2  x;2.683.341,20  ;7  x  ;1.112.462,40 ;71  x;54.839,60 ;1.717  x     ;7.558,90 ;85.689  x    ;151,40 ;153.286  x  ;59,20 ;1.469.087  x;10,60  
4.;25.01.;36 ;1 ;11 ;29 ;7 ;14 ;17 ;2 ;128.366.625,00 ;2  x;1.711.555,00  ;4  x  ;1.711.555,00 ;47  x;81.936,10 ;1.862  x     ;6.894,00 ;105.884  x    ;121,20 ;148.890  x  ;60,30 ;1.655.859  x;9,30  
5.;01.02.;22 ;26 ;39 ;31 ;10 ;24 ;28 ;5 ;129.017.672,50 ;1  x;2.580.353,40  ;4  x  ;1.935.265,00 ;63  x;62.427,90 ;2.050  x     ;6.293,50 ;120.912  x    ;106,70 ;133.381  x  ;67,70 ;1.908.100  x;8,10  
6.;08.02.;10 ;33 ;26 ;49 ;15 ;5 ;19 ;1 ;128.134.747,50 ;1  x;2.562.694,90  ;6  x  ;1.281.347,40 ;70  x;54.914,80 ;2.132  x     ;6.010,00 ;98.841  x    ;129,60 ;177.540  x  ;50,50 ;1.630.257  x;9,40  
7.;15.02.;27 ;47 ;38 ;34 ;16 ;30 ;46 ;1 ;127.839.658,75 ;1  x;2.556.793,10  ;7  x  ;1.095.768,50 ;41  x;93.541,20 ;2.267  x     ;5.639,10 ;108.449  x    ;117,80 ;119.352  x  ;74,90 ;1.700.053  x;9,00  
8.;22.02.;15 ;30 ;8 ;39 ;2 ;27 ;29 ;1 ;127.867.045,00 ;2  x;1.278.670,40  ;11  x  ;697.456,60 ;36  x;106.555,80 ;2.214  x     ;5.775,30 ;106.189  x    ;120,40 ;111.032  x  ;80,60 ;1.670.867  x;9,10  
9.;01.03.;20 ;5 ;7 ;44 ;22 ;13 ;24 ;0 ;137.610.692,50 ;3  x;1.572.693,60  ;4  x  ;1.572.693,60 ;49  x;84.251,40 ;1.814  x     ;7.586,00 ;105.779  x    ;130,00 ;138.980  x  ;69,30 ;1.787.638  x;9,20  
10.;08.03.;3 ;43 ;31 ;49 ;46 ;9 ;33 ;0 ;129.530.877,50 ;1  x;2.590.617,50  ;8  x  ;971.481,50 ;48  x;80.956,70 ;1.963  x     ;6.598,60 ;105.028  x    ;123,30 ;164.143  x  ;55,20 ;1.785.768  x;8,70  
11.;15.03.;7 ;31 ;2 ;8 ;41 ;27 ;32 ;0 ;127.881.973,75 ;1  x;2.557.639,40  ;5  x  ;1.534.583,60 ;34  x;112.837,00 ;2.254  x     ;5.673,50 ;119.354  x    ;107,10 ;124.807  x  ;71,70 ;1.938.981  x;7,90  
12.;22.03.;32 ;15 ;8 ;6 ;31 ;11 ;45 ;3 ;127.353.171,25 ;1  x;2.547.063,40  ;4  x  ;1.910.297,50 ;26  x;146.945,90 ;1.458  x     ;8.734,70 ;94.207  x    ;135,10 ;104.066  x  ;85,60 ;1.736.137  x;8,80  
13.;29.03.;28 ;26 ;23 ;18 ;44 ;49 ;35 ;9 ;125.737.421,25 ;1  x;2.514.748,40  ;7  x  ;1.077.749,30 ;27  x;139.708,20 ;1.069  x     ;11.762,10 ;71.310  x    ;176,30 ;98.364  x  ;89,40 ;1.445.354  x;10,40  
14.;05.04.;38 ;26 ;33 ;27 ;46 ;40 ;8 ;7 ;125.610.360,00 ;JP;2.512.207,20  ;5  x  ;1.507.324,30 ;18  x;209.350,60 ;1.533  x     ;8.193,70 ;87.404  x    ;143,70 ;94.941  x  ;92,60 ;1.585.019  x;9,50  
15.;12.04.;18 ;7 ;36 ;13 ;22 ;26 ;10 ;2 ;127.340.193,75 ;1  x;5.059.011,00  ;8  x  ;955.051,40 ;74  x;51.624,40 ;2.444  x     ;5.210,30 ;112.374  x    ;113,30 ;148.234  x  ;60,10 ;1.771.136  x;8,60  
