Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1998
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1998;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
1.;03.01.;20;16;15;45;29;12;26;7;135.897.661,25 ;JP;12.103.622,70  ;2  x  ;3.397.441,50 ;15  x  ;271.795,30 ;982  x  ;13.838,80 ;69.700  x  ;194,90 ;110.695  x  ;85,90 ;1.446.362  x  ;11,20  
2.;10.01.;19;49;29;2;36;43;34;1;149.874.610,00 ;2  x  ;8.299.930,50  ;7  x  ;1.070.532,90 ;12  x  ;374.686,50 ;1.752  x  ;8.554,40 ;103.649  x  ;144,50 ;109.716  x  ;95,60 ;1.830.988  x  ;9,80  
3.;17.01.;41;31;32;15;30;48;9;5;143.065.938,75 ;JP;4.291.978,10  ;3  x  ;2.384.432,30 ;33  x  ;130.059,90 ;1.194  x  ;11.982,00 ;81.754  x  ;174,90 ;130.764  x  ;76,50 ;1.599.146  x  ;10,70  
4.;24.01.;44;35;14;22;48;25;33;8;135.449.680,00 ;1  x  ;8.355.468,50  ;9  x  ;752.498,20 ;30  x  ;135.449,60 ;1.618  x  ;8.371,40 ;80.219  x  ;168,80 ;113.965  x  ;83,10 ;1.373.042  x  ;11,80  
5.;31.01.;23;47;27;17;6;5;18;6;134.753.308,75 ;JP;4.042.599,20  ;8  x  ;842.208,10 ;48  x  ;84.220,80 ;2.550  x  ;5.284,40 ;140.897  x  ;95,60 ;165.567  x  ;56,90 ;2.177.914  x  ;7,40  
6.;07.02.;12;48;44;42;40;36;39;6;135.533.801,25 ;1  x  ;8.108.613,20  ;1  x  ;6.776.690,00 ;65  x  ;62.554,00 ;2.342  x  ;5.787,00 ;111.088  x  ;122,00 ;126.544  x  ;74,90 ;1.582.912  x  ;10,20  
7.;14.02.;17;49;32;36;10;11;35;3;137.574.638,75 ;JP;4.127.239,10  ;4  x  ;1.719.682,90 ;35  x  ;117.921,10 ;1.794  x  ;7.668,50 ;111.546  x  ;123,30 ;124.890  x  ;77,10 ;1.978.913  x  ;8,30  
8.;21.02.;2;49;37;29;47;13;21;0;133.948.350,00 ;JP;8.145.689,60  ;2  x  ;3.348.708,70 ;56  x  ;71.758,00 ;1.633  x  ;8.202,50 ;92.069  x  ;145,40 ;124.115  x  ;75,50 ;1.663.210  x  ;9,60  
9.;28.02.;45;33;44;49;36;24;16;7;141.891.021,25 ;JP;12.402.420,20  ;6  x  ;1.182.425,10 ;36  x  ;118.242,50 ;1.614  x  ;8.791,20 ;98.040  x  ;144,70 ;127.590  x  ;77,80 ;1.770.251  x  ;9,60  
10.;07.03.;23;25;40;44;18;12;38;5;154.241.428,75 ;JP;17.029.663,00  ;3  x  ;2.570.690,40 ;92  x  ;50.296,10 ;2.442  x  ;6.316,10 ;130.863  x  ;117,80 ;189.399  x  ;57,00 ;2.137.379  x  ;8,60  
11.;14.03.;12;39;22;1;45;31;30;2;189.138.608,75 ;4  x  ;5.675.955,30  ;15  x  ;630.462,00 ;41  x  ;138.394,10 ;2.264  x  ;8.354,10 ;118.987  x  ;158,90 ;142.127  x  ;93,10 ;2.189.411  x  ;10,30  
12.;21.03.;16;38;5;9;40;41;44;1;141.825.943,75 ;JP;4.254.778,30  ;7  x  ;1.013.042,40 ;25  x  ;170.191,10 ;1.802  x  ;7.870,40 ;104.628  x  ;135,50 ;119.369  x  ;83,10 ;1.934.946  x  ;8,70  
13.;28.03.;22;11;8;35;10;2;46;0;140.740.176,25 ;1  x  ;8.476.983,50  ;4  x  ;1.759.252,20 ;41  x  ;102.980,60 ;2.004  x  ;7.022,90 ;114.913  x  ;122,40 ;112.731  x  ;87,30 ;1.937.744  x  ;8,70  
14.;04.04.;48;39;17;42;3;41;32;8;138.152.330,00 ;JP;4.144.569,90  ;2  x  ;3.453.808,20 ;55  x  ;75.355,80 ;1.523  x  ;9.071,00 ;110.253  x  ;125,30 ;191.408  x  ;50,50 ;1.873.914  x  ;8,80  
15.;11.04.;23;39;8;31;33;35;44;0;135.412.487,50 ;JP;8.206.944,50  ;3  x  ;2.256.874,70 ;34  x  ;119.481,60 ;1.582  x  ;8.559,50 ;109.615  x  ;123,50 ;128.604  x  ;73,70 ;1.740.370  x  ;9,30  
16.;18.04.;45;46;24;11;3;49;29;0;141.543.377,50 ;JP;12.453.245,80  ;3  x  ;2.359.056,20 ;35  x  ;121.322,80 ;2.078  x  ;6.811,50 ;106.507  x  ;132,80 ;117.827  x  ;84,00 ;1.916.978  x  ;8,80  
17.;25.04.;47;33;8;49;38;44;9;4;151.128.256,25 ;1  x  ;16.987.093,40  ;2  x  ;3.778.206,40 ;33  x  ;137.389,30 ;2.227  x  ;6.786,10 ;119.608  x  ;126,30 ;149.028  x  ;70,90 ;1.996.391  x  ;9,00  
18.;02.05.;40;38;48;18;32;34;9;5;133.995.655,00 ;2  x  ;2.009.934,80  ;10  x  ;669.978,20 ;75  x  ;53.598,20 ;3.204  x  ;4.182,10 ;150.386  x  ;89,10 ;181.959  x  ;51,50 ;2.038.048  x  ;7,80  
19.;09.05.;47;21;22;1;14;3;35;1;141.993.033,75 ;JP;4.259.791,00  ;7  x  ;1.014.235,90 ;31  x  ;137.412,60 ;1.242  x  ;11.432,60 ;80.765  x  ;175,80 ;110.093  x  ;90,20 ;1.555.712  x  ;10,90  
20.;16.05.;37;22;43;5;36;15;17;2;133.638.957,50 ;JP;8.268.959,70  ;4  x  ;1.670.486,90 ;32  x  ;125.286,50 ;1.659  x  ;8.055,30 ;93.644  x  ;142,70 ;112.710  x  ;82,90 ;1.462.153  x  ;10,90  
21.;23.05.;33;22;13;48;11;27;35;9;136.372.811,25 ;JP;12.360.144,00  ;3  x  ;2.272.880,10 ;39  x  ;104.902,10 ;2.082  x  ;6.550,00 ;117.252  x  ;116,30 ;117.751  x  ;81,00 ;1.904.071  x  ;8,50  
22.;30.05.;15;4;9;38;22;45;41;0;148.521.465,00 ;1  x  ;16.815.787,90  ;7  x  ;1.060.867,60 ;39  x  ;114.247,20 ;2.085  x  ;7.123,30 ;98.868  x  ;150,20 ;121.390  x  ;85,60 ;1.708.897  x  ;10,40  
23.;06.06.;15;35;32;21;5;34;38;9;132.894.255,00 ;JP;3.986.827,60  ;2  x  ;3.322.356,30 ;34  x  ;117.259,60 ;1.475  x  ;9.009,70 ;91.430  x  ;145,30 ;120.464  x  ;77,20 ;1.639.328  x  ;9,70  
24.;13.06.;20;14;8;27;6;34;38;8;133.472.151,25 ;JP;7.990.992,10  ;9  x  ;741.511,90 ;53  x  ;75.550,20 ;2.100  x  ;6.355,80 ;99.062  x  ;134,70 ;111.208  x  ;84,00 ;1.534.643  x  ;10,40  
25.;20.06.;19;29;27;44;31;38;36;4;138.322.672,50 ;8  x  ;1.517.584,00  ;54  x  ;141.869,40 ;24  x  ;141.869,40 ;1.515  x  ;9.130,20 ;97.202  x  ;142,30 ;107.453  x  ;90,10 ;1.841.960  x  ;9,00  
