Lotto 6 aus 49 am Samstag;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1999
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;1999;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;;;;;Einführung 20. VA 1999;;bis zur 19. VA Gewinnklasse V;;bis zur 19. VA Gewinnklasse VI;;bis zur 19. VA Gewinnklasse VII;
;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
1.;09.01.;11;17;6;48;20;4;23;2;141.195.316,25 ;JP;4.235.859,40  ;7  x  ;1.008.537,90 ;34  x  ;124.584,10 ;1.708  x  ;8.266,70 ;;;110.991  x  ;127,20 ;157.994  x  ;62,50 ;1.934.188  x  ;8,70  
2.;16.01.;40;46;26;18;30;32;33;0;143.695.916,25 ;2  x  ;4.273.368,40  ;23  x  ;312.382,40 ;50  x  ;86.217,50 ;4.977  x  ;2.887,10 ;;;172.181  x  ;83,40 ;152.673  x  ;65,80 ;2.325.775  x  ;7,40  
3.;23.01.;15;32;10;27;46;25;49;7;146.338.853,75 ;1  x  ;4.390.165,60  ;4  x  ;1.829.235,60 ;44  x  ;99.776,40 ;2.235  x  ;6.547,50 ;;;114.996  x  ;127,20 ;134.436  x  ;76,10 ;2.056.695  x  ;8,50  
4.;30.01.;18;4;20;22;5;41;40;9;142.733.535,00 ;JP;4.282.006,00  ;6  x  ;1.189.446,10 ;53  x  ;80.792,50 ;1.386  x  ;10.298,20 ;;;90.324  x  ;158,00 ;120.423  x  ;82,90 ;1.734.794  x  ;9,80  
5.;06.02.;38;45;29;48;13;37;33;4;143.359.455,00 ;JP;8.582.789,60  ;3  x  ;2.389.324,20 ;30  x  ;143.359,40 ;1.233  x  ;11.626,80 ;;;86.373  x  ;165,90 ;153.222  x  ;65,40 ;1.587.481  x  ;10,80  
6.;13.02.;3;43;38;35;29;49;37;5;150.001.477,50 ;2  x  ;6.541.416,90  ;7  x  ;1.071.439,10 ;19  x  ;236.844,40 ;2.925  x  ;5.128,20 ;;;111.189  x  ;134,90 ;113.501  x  ;92,50 ;1.903.426  x  ;9,40  
7.;20.02.;46;13;48;1;23;9;36;0;141.734.656,25 ;JP;4.252.039,60  ;5  x  ;1.417.346,50 ;38  x  ;111.895,70 ;1.543  x  ;9.185,60 ;;;95.100  x  ;149,00 ;120.111  x  ;82,60 ;1.805.528  x  ;9,40  
8.;27.02.;20;22;26;32;12;15;4;6;143.392.635,00 ;JP;8.553.818,60  ;14  x  ;512.116,50 ;48  x  ;89.620,30 ;1.774  x  ;8.083,00 ;;;110.207  x  ;130,10 ;169.339  x  ;59,20 ;1.803.956  x  ;9,50  
9.;06.03.;49;38;44;27;3;18;36;7;152.235.491,25 ;1  x  ;13.120.883,30  ;11  x  ;691.979,50 ;81  x  ;56.383,50 ;3.493  x  ;4.358,30 ;;;153.088  x  ;99,40 ;177.262  x  ;60,10 ;2.286.803  x  ;7,90  
10.;13.03.;24;19;20;11;1;34;6;6;150.076.718,75 ;1  x  ;4.502.301,50  ;8  x  ;937.979,40 ;92  x  ;48.938,00 ;2.002  x  ;7.496,30 ;;;123.302  x  ;121,70 ;207.966  x  ;50,50 ;2.032.829  x  ;8,80  
11.;20.03.;25;29;44;15;12;30;7;8;141.398.005,00 ;1  x  ;4.241.940,10  ;3  x  ;2.356.633,40 ;57  x  ;74.420,00 ;1.371  x  ;10.313,40 ;;;89.126  x  ;158,60 ;151.476  x  ;65,30 ;1.646.011  x  ;10,30  
12.;27.03.;32;29;18;38;1;8;20;4;139.317.633,75 ;JP;4.179.529,00  ;9  x  ;773.986,80 ;23  x  ;181.718,60 ;1.944  x  ;7.166,50 ;;;111.666  x  ;124,70 ;118.504  x  ;82,20 ;1.898.624  x  ;8,80  
13.;03.04.;20;46;35;2;29;11;47;6;139.234.327,50 ;JP;8.356.558,80  ;20  x  ;348.085,80 ;32  x  ;130.532,10 ;2.167  x  ;6.425,20 ;;;97.192  x  ;143,20 ;96.215  x  ;101,20 ;1.584.779  x  ;10,50  
14.;10.04.;3;6;4;2;5;26;16;4;144.406.542,50 ;3  x  ;4.229.585,00  ;31  x  ;232.913,70 ;148  x  ;29.271,50 ;38.008  x  ;379,90 ;;;154.633  x  ;93,30 ;176.708  x  ;57,20 ;1.991.937  x  ;8,60  
15.;17.04.;46;7;39;36;42;6;17;3;141.597.115,00 ;JP;4.247.913,40  ;4  x  ;1.769.963,90 ;36  x  ;117.997,50 ;1.077  x  ;13.147,30 ;;;93.396  x  ;151,60 ;160.509  x  ;61,70 ;1.710.845  x  ;9,90  
16.;24.04.;36;4;29;18;25;34;35;0;142.906.232,50 ;1  x  ;8.535.100,30  ;7  x  ;1.020.758,80 ;33  x  ;129.914,70 ;1.728  x  ;8.270,00 ;;;98.021  x  ;145,70 ;110.320  x  ;90,60 ;1.778.598  x  ;9,60  
17.;01.05.;26;12;24;13;9;48;27;0;132.859.172,50 ;JP;3.985.775,10  ;1  x  ;6.642.958,60 ;43  x  ;92.692,40 ;2.347  x  ;5.660,80 ;;;131.813  x  ;100,70 ;159.439  x  ;58,30 ;2.062.338  x  ;7,70  
18.;08.05.;17;47;39;16;23;3;24;8;138.977.896,25 ;2  x  ;5.034.668,90  ;1  x  ;5.034.668,90 ;43  x  ;96.961,30 ;2.304  x  ;6.032,00 ;;;129.896  x  ;106,90 ;136.435  x  ;71,30 ;2.148.933  x  ;7,70  
19.;15.05.;28;11;40;49;42;46;44;3;134.695.637,50 ;1  x  ;4.040.869,10  ;5  x  ;1.346.956,30 ;38  x  ;106.338,60 ;1.209  x  ;11.141,00 ;;;94.326  x  ;142,70 ;138.038  x  ;68,30 ;1.599.448  x  ;10,10  
20.;22.05.;33;39;35;14;41;18;24;1;164.739.832,50 ;JP;4.942.194,90  ;7  x  ;941.370,40 ;47  x  ;87.627,50 ;1.860  x  ;5.757,00 ;5.387  x  ;305,80 ;94.821  x  ;95,50 ;152.125  x  ;59,50 ;1.726.270  x  ;20,90  
21.;29.05.;11;43;12;42;1;13;37;2;160.563.619,50 ;JP;9.759.103,40  ;7  x  ;917.506,30 ;41  x  ;97.904,60 ;1.506  x  ;6.930,00 ;3.099  x  ;518,10 ;72.373  x  ;122,00 ;94.054  x  ;93,80 ;1.461.646  x  ;24,10  
22.;05.06.;19;48;5;21;43;31;32;9;172.359.268,50 ;2  x  ;7.464.940,70  ;8  x  ;861.796,30 ;84  x  ;51.297,40 ;2.852  x  ;3.928,20 ;8.363  x  ;206,00 ;128.480  x  ;73,70 ;197.961  x  ;47,80 ;2.110.000  x  ;17,90  
23.;12.06.;13;42;24;25;12;41;49;9;162.264.675,00 ;3  x  ;1.622.646,70  ;36  x  ;180.294,00 ;47  x  ;86.310,90 ;2.221  x  ;4.748,80 ;3.978  x  ;407,90 ;93.398  x  ;95,50 ;120.038  x  ;74,30 ;1.852.070  x  ;19,20  
