Lotto 6 aus 49 am Samstag / Lotto 6 aus 49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 2000
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2000;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
1.;08.01.;;37;20;4;6;29;31;33;8;169.815.015,00 ;JP;5.094.450,40  ;3  x  ;2.264.200,20 ;34  x  ;124.863,90 ;1.476  x  ;7.478,30 ;3.755  x  ;452,20 ;82.630  x  ;113,00 ;128.811  x  ;72,50 ;1.647.144  x  ;22,60  
2.;15.01.;;38;22;33;35;31;32;14;8;170.915.154,00 ;JP;10.221.905,00  ;8  x  ;854.575,70 ;13  x  ;328.682,90 ;2.582  x  ;4.302,60 ;2.652  x  ;644,40 ;112.130  x  ;87,30 ;103.137  x  ;87,30 ;1.703.264  x  ;22,00  
3.;22.01.;;40;30;15;28;10;25;32;7;178.261.509,00 ;2  x  ;7.784.875,10  ;28  x  ;254.659,20 ;59  x  ;75.534,50 ;6.237  x  ;1.857,70 ;5.642  x  ;315,90 ;185.641  x  ;58,90 ;146.755  x  ;58,90 ;2.157.860  x  ;18,10  
4.;29.01.;;45;21;34;41;19;30;16;0;169.131.348,00 ;2  x  ;2.536.970,20  ;5  x  ;1.353.050,70 ;46  x  ;91.919,20 ;1.737  x  ;6.329,00 ;5.537  x  ;305,40 ;100.019  x  ;93,00 ;136.663  x  ;68,00 ;1.782.434  x  ;20,80  
5.;05.02.;;26;27;43;23;12;31;38;2;167.570.457,00 ;2  x  ;2.513.556,80  ;5  x  ;1.340.563,60 ;32  x  ;130.914,40 ;1.637  x  ;6.653,60 ;5.424  x  ;308,90 ;106.317  x  ;86,60 ;161.933  x  ;56,90 ;1.987.918  x  ;18,50  
6.;12.02.;;4;24;33;11;20;48;46;7;165.990.039,00 ;2  x  ;2.489.850,50  ;25  x  ;265.584,00 ;109  x  ;38.071,10 ;4.175  x  ;2.584,20 ;8.483  x  ;195,60 ;143.306  x  ;63,70 ;149.525  x  ;61,00 ;2.098.138  x  ;17,40  
7.;19.02.;;17;9;15;40;10;20;27;3;164.971.165,50 ;JP;4.949.134,90  ;5  x  ;1.319.769,30 ;27  x  ;152.751,00 ;1.462  x  ;7.334,50 ;4.312  x  ;382,50 ;102.417  x  ;88,50 ;138.919  x  ;65,30 ;1.913.805  x  ;18,90  
8.;26.02.;;27;11;5;3;36;32;43;7;166.828.480,50 ;JP;9.953.989,30  ;8  x  ;834.142,40 ;55  x  ;75.831,10 ;2.983  x  ;3.635,20 ;5.702  x  ;292,50 ;144.311  x  ;64,80 ;138.597  x  ;64,80 ;2.365.470  x  ;15,50  
9.;04.03.;;29;13;22;5;14;32;39;7;175.930.944,00 ;JP;15.231.917,60  ;1  x  ;7.037.237,70 ;32  x  ;137.446,00 ;1.627  x  ;7.028,50 ;4.361  x  ;403,40 ;84.995  x  ;113,80 ;124.398  x  ;77,70 ;1.667.734  x  ;23,20  
10.;11.03.;;42;7;44;26;12;49;34;7;188.692.282,50 ;1  x  ;20.892.686,00  ;5  x  ;1.509.538,20 ;74  x  ;63.747,30 ;2.518  x  ;4.870,90 ;5.945  x  ;317,30 ;137.755  x  ;75,30 ;153.255  x  ;67,70 ;2.321.525  x  ;17,80  
11.;18.03.;;29;2;8;4;5;42;20;1;175.422.178,50 ;1  x  ;5.262.665,30  ;4  x  ;1.754.221,70 ;39  x  ;112.450,10 ;1.437  x  ;7.934,80 ;4.889  x  ;358,80 ;99.127  x  ;97,30 ;134.702  x  ;71,60 ;1.845.269  x  ;20,90  
12.;25.03.;;39;20;43;33;36;38;41;8;164.693.074,50 ;JP;4.940.792,20  ;2  x  ;3.293.861,40 ;31  x  ;132.816,90 ;1.194  x  ;8.965,70 ;4.353  x  ;378,30 ;81.027  x  ;111,70 ;123.775  x  ;73,10 ;1.513.270  x  ;23,90  
13.;01.04.;;48;11;25;1;42;17;33;0;167.691.345,00 ;JP;9.971.532,50  ;4  x  ;1.676.913,40 ;81  x  ;51.756,50 ;1.848  x  ;5.898,20 ;7.030  x  ;238,50 ;97.678  x  ;94,40 ;220.550  x  ;41,80 ;1.834.457  x  ;20,10  
14.;08.04.;;5;41;22;44;16;45;31;4;172.965.123,00 ;1  x  ;15.160.486,10  ;2  x  ;3.459.302,40 ;36  x  ;120.114,60 ;1.205  x  ;9.330,00 ;5.616  x  ;307,90 ;74.734  x  ;127,20 ;150.799  x  ;63,00 ;1.544.483  x  ;24,60  
15.;15.04.;;11;13;1;7;25;15;43;2;164.259.490,50 ;1  x  ;4.927.784,70  ;12  x  ;547.531,60 ;47  x  ;87.372,00 ;4.209  x  ;2.536,60 ;9.394  x  ;174,80 ;164.019  x  ;55,00 ;185.168  x  ;48,70 ;2.335.719  x  ;15,40  
