LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2005
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2005;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
1.;05.01.;MI;11;26;24;20;41;1;45;8;34.546.917,00;1  x  ;10.485.282,60;2  x  ;690.938,30;24  x  ;35.986,30;844  x  ;2.660,60;2.079  x  ;166,1;46.018  x  ;37,5;50.916  x  ;27,1;818.349  x  ;9,2
;08.01.;SA;2;14;5;42;39;35;25;8;67.621.805,25;1  x  ;3.381.090,20;8  x  ;338.109,00;33  x  ;51.228,60;1.052  x  ;4.178,10;4.075  x  ;165,9;58.983  x  ;57,3;114.745  x  ;23,5;1.246.656  x  ;11,9
2.;12.01.;MI;30;45;5;3;10;6;1;3;26.255.642,25;JP;1.312.782,10;JP;1.050.225,60;17  x  ;38.611,20;716  x  ;2.383,50;2.990  x  ;87,8;41.292  x  ;31,7;76.231  x  ;13,7;678.331  x  ;8,5
;15.01.;SA;41;17;45;28;37;6;10;3;67.405.197,00;3  x  ;1.561.013,90;17  x  ;220.378,40;40  x  ;42.128,20;2.140  x  ;2.047,30;4.333  x  ;155,5;85.909  x  ;39,2;105.435  x  ;25,5;1.444.066  x  ;10,2
3.;19.01.;MI;36;45;39;8;7;14;22;3;25.710.624,00;JP;1.285.531,20;1  x  ;1.028.424,90;21  x  ;30.607,80;357  x  ;4.681,20;1.353  x  ;190;22.494  x  ;57,1;35.028  x  ;29,3;466.904  x  ;12,1
;22.01.;SA;35;2;4;47;39;23;29;9;66.277.674,75;JP;4.599.414,90;2  x  ;1.325.553,40;27  x  ;61.368,20;1.326  x  ;3.248,90;2.702  x  ;245,2;72.429  x  ;45,7;84.027  x  ;31,5;1.357.022  x  ;10,7
4.;26.01.;MI;42;24;36;45;32;4;31;0;27.640.549,50;JP;5.981.442,30;4  x  ;276.405,40;11  x  ;62.819,40;711  x  ;2.526,90;1.061  x  ;260,5;34.322  x  ;40,2;34.012  x  ;32,5;579.591  x  ;10,4
