LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2007;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
VA;2007;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
1.;03.01.;MI;35;45;30;4;36;2;24;1;25.647.939,00  ;1  x  ;4.557.630,80  ;2  x  ;512.958,70  ;9  x  ;71.244,20  ;329  x  ;5.067,20  ;981  x  ;261,40  ;20.193  x  ;63,50  ;35.490  x  ;28,90  ;449.814  x  ;12,50  ;;;;;;
;06.01.;SA;10;11;38;5;35;39;48;2;58.674.569,25  ;1  x  ;5.280.711,20  ;unbesetzt;;17  x  ;86.286,10  ;1.119  x  ;3.408,20  ;2.914  x  ;201,30  ;66.406  x  ;44,10  ;93.594  x  ;25,00  ;1.325.399  x  ;9,70  ;;;;;;
2.;10.01.;MI;36;27;4;6;40;37;24;4;25.413.672,75  ;JP;1.270.683,60  ;1  x  ;1.016.546,90  ;11  x  ;57.758,30  ;427  x  ;3.868,50  ;1.678  x  ;151,40  ;25.225  x  ;50,30  ;47.373  x  ;21,40  ;511.407  x  ;10,90  ;;;;;;
;13.01.;SA;8;41;19;47;38;29;25;9;61.867.682,25  ;JP;4.364.067,70  ;10  x  ;247.470,70  ;41  x  ;37.724,10  ;1.444  x  ;2.784,90  ;4.199  x  ;147,30  ;71.240  x  ;43,40  ;109.588  x  ;22,50  ;1.275.911  x  ;10,60  ;;;;;;
3.;17.01.;MI;32;9;14;46;12;27;11;9;26.450.661,00  ;2  x  ;2.843.300,30  ;2  x  ;529.013,20  ;7  x  ;94.466,60  ;796  x  ;2.159,90  ;1.551  x  ;170,50  ;36.981  x  ;35,70  ;47.747  x  ;22,10  ;623.367  x  ;9,30  ;;;;;;
;20.01.;SA;27;19;38;36;33;28;31;9;58.804.461,75  ;JP;2.940.223,00  ;3  x  ;784.059,40  ;32  x  ;45.940,90  ;984  x  ;3.884,40  ;3.155  x  ;186,30  ;63.881  x  ;46,00  ;93.388  x  ;25,10  ;1.266.738  x  ;10,20  ;;;;;;
4.;24.01.;MI;42;10;34;33;8;11;16;7;24.660.615,00  ;1  x  ;4.173.253,70  ;1  x  ;986.424,60  ;13  x  ;47.424,20  ;429  x  ;3.736,40  ;1.000  x  ;246,60  ;23.586  x  ;52,20  ;34.501  x  ;28,50  ;494.408  x  ;10,90  ;;;;;;
;27.01.;SA;40;45;18;27;44;15;24;1;57.750.972,75  ;JP;2.887.548,60  ;2  x  ;1.155.019,40  ;32  x  ;45.117,90  ;1.006  x  ;3.731,40  ;3.130  x  ;184,50  ;60.240  x  ;47,90  ;90.560  x  ;25,50  ;1.148.109  x  ;11,00  ;;;;;;
5.;31.01.;MI;8;44;26;20;10;3;40;2;25.308.783,75  ;1  x  ;4.152.987,70  ;4  x  ;253.087,80  ;10  x  ;63.271,90  ;533  x  ;3.086,40  ;1.684  x  ;150,20  ;29.223  x  ;43,30  ;49.722  x  ;20,30  ;541.255  x  ;10,20  ;;;;;;
;03.02.;SA;27;34;21;5;36;18;9;7;59.430.136,50  ;JP;2.971.506,80  ;JP;2.377.205,40  ;47  x  ;31.611,70  ;1.149  x  ;3.362,00  ;6.516  x  ;91,20  ;64.803  x  ;45,80  ;153.688  x  ;15,40  ;1.181.320  x  ;11,00  ;;;;;;
