Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Sa	3	1	2015	19	37	17	36	38	28	 	6	50816145	8172150,8	Jackpot	1873526,4	1	10767,3	87	3552,8	791	235,3	3981	51	36676	22,7	82429	11,4	739117	5	684115
Mi	7	1	2015	17	46	41	42	10	43	 	3	24760174	9756801,9	Jackpot	909049,5	Jackpot	16834,2	27	5368,4	254	206,7	2198	51,2	17742	21,2	42792	12	339490	5	340988
Sa	10	1	2015	43	5	32	19	20	11	 	6	53018077	15980811,9	1	0	Jackpot	8074,8	119	2831,7	1018	163,2	5886	35,7	53768	17,6	108663	8,9	963132	5	779569
Mi	14	1	2015	33	19	38	1	46	39	 	5	22323766	1428721	Jackpot	806630,1	Jackpot	13907,4	29	5062,5	239	207,7	1941	50,5	15968	19,1	42016	10,8	333593	5	333372
Sa	17	1	2015	8	29	22	47	11	46	 	1	49475148	4595130,4	1	674936,2	4	22012,9	43	5008,2	567	301,5	3139	59,3	31885	29,6	63865	12,9	660186	5	528003
Mi	21	1	2015	41	11	48	15	12	29	 	9	21699552	1388771,3	Jackpot	818594,4	Jackpot	12402,9	33	5931,8	207	282	1451	58,5	13990	27,1	30129	12,6	292308	5	255012
Sa	24	1	2015	18	27	7	37	47	1	 	8	48649142	1500772,1	3	161204,1	16	1636,3	538	574,7	4595	99	8890	23,4	75223	17,5	100133	9,6	822279	5	720861
Mi	28	1	2015	38	43	22	8	47	6	 	6	21377827	1368180,9	Jackpot	784326,2	1	10320	38	4406,3	267	184,1	2130	45,1	17369	19,3	40534	11	320453	5	295494
Sa	31	1	2015	46	47	42	7	45	27	 	5	49312553	4524184,2	Jackpot	601387,4	3	18409,8	49	6765,6	400	207,9	4338	51,7	34870	19,9	90372	11,5	705429	5	691730
Mi	4	2	2015	29	22	37	40	49	21	 	2	23456601	6025406,6	Jackpot	896093,3	1	14453,1	31	7551,3	178	321,8	1392	69,9	12818	30,6	29199	14,3	280291	5	253229
Sa	7	2	2015	47	25	12	14	23	13	 	9	50759968	9274044,5	Jackpot	1888693,1	1	17487,8	54	4504	629	249,6	3782	51,7	36478	23,3	80877	11	769870	5	648883
Mi	11	2	2015	26	27	28	25	6	47	 	5	25218029	10887998,3	Jackpot	904216,5	1	12917,3	35	3260,3	416	153,1	2953	39,7	22770	18	50148	10,5	385997	5	390579
