"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1959
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1959;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;04.01.;41 ;46 ;2 ;13 ;34 ;27 ;23 ;18.390.458,00 ;1  x  ;500.000,00 ;15  x  ;123.739,10 ;587  x     ;3.818,60 ;32.634  x    ;70,40 ;563.883  x;4,05  
2.;11.01.;46 ;45 ;44 ;28 ;7 ;18 ;19 ;19.208.650,00 ;2  x  ;500.000,00 ;15  x  ;97.910,25 ;518  x     ;4.504,80 ;34.393  x    ;69,80 ;689.098  x;3,45  
3.;18.01.;2 ;43 ;4 ;6 ;41 ;40 ;44 ;20.028.556,00 ;8  x  ;312.946,15 ;entfällt;;624  x     ;4.012,10 ;23.801  x    ;105,15 ;517.775  x;4,80  
4.;25.01.;28 ;41 ;47 ;44 ;27 ;5 ;48 ;20.082.775,50 ;2  x  ;500.000,00 ;5  x  ;308.799,50 ;368  x     ;6.730,15 ;25.964  x    ;96,65 ;564.892  x;4,40  
5.;01.02.;25 ;26 ;33 ;1 ;41 ;6 ;36 ;20.456.410,50 ;2  x  ;500.000,00 ;2  x  ;500.000,00 ;466  x     ;6.682,60 ;37.014  x    ;69,05 ;627.684  x;4,05  
6.;08.02.;13 ;25 ;33 ;6 ;11 ;15 ;20 ;20.230.436,00 ;8  x  ;316.100,55 ;entfällt;;972  x     ;2.601,65 ;53.618  x    ;47,15 ;894.495  x;2,80  
7.;15.02.;11 ;25 ;6 ;33 ;29 ;8 ;23 ;20.220.427,50 ;4  x  ;500.000,00 ;19  x  ;29.973,40 ;1.126  x     ;2.207,45 ;89.498  x    ;28,20 ;858.978  x;2,90  
8.;22.02.;18 ;49 ;29 ;44 ;47 ;5 ;23 ;20.410.229,00 ;2  x  ;500.000,00 ;7  x  ;225.494,45 ;650  x     ;3.883,20 ;36.896  x    ;69,10 ;694.490  x;3,65  
9.;01.03.;33 ;18 ;46 ;21 ;37 ;2 ;14 ;20.688.076,50 ;5  x  ;500.000,00 ;16  x  ;8.977,25 ;702  x     ;3.601,65 ;35.718  x    ;72,40 ;686.931  x;3,75  
10.;08.03.;11 ;16 ;10 ;1 ;36 ;39 ;3 ;20.368.097,00 ;2  x  ;500.000,00 ;14  x  ;115.215,15 ;518  x     ;4.785,70 ;30.649  x    ;83,05 ;621.711  x;4,05  
11.;15.03.;14 ;29 ;37 ;40 ;48 ;21 ;26 ;20.427.477,00 ;4  x  ;500.000,00 ;5  x  ;114.268,15 ;708  x     ;3.581,25 ;30.126  x    ;84,75 ;548.046  x;4,65  
12.;22.03.;49 ;26 ;19 ;34 ;5 ;43 ;16 ;19.747.413,50 ;2  x  ;500.000,00 ;13  x  ;115.873,65 ;833  x     ;2.917,75 ;36.731  x    ;67,20 ;681.843  x;3,60  
