"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1962
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II*;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1962;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;07.01.;1 ;33 ;35 ;20 ;11 ;37 ;45 ;23.099.250,00 ;2  x  ;500.000,00 ;11  x  ;176.701,90 ;553  x     ;5.119,50 ;33.371  x    ;86,50 ;688.681  x;4,15  
2.;14.01.;12 ;22 ;9 ;19 ;26 ;27 ;25 ;24.567.878,00 ;8  x  ;383.873,05 ;entfällt;;1.665  x     ;1.844,40 ;83.677  x    ;36,70 ;1.338.477  x;2,25  
3.;21.01.;33 ;45 ;37 ;5 ;47 ;3 ;24 ;24.900.303,50 ;3  x  ;500.000,00 ;14  x  ;119.359,15 ;731  x     ;4.177,90 ;54.860  x    ;56,70 ;894.912  x;3,45  
4.;28.01.;37 ;20 ;41 ;5 ;49 ;48 ;46 ;24.956.957,00 ;1  x  ;500.000,00 ;3  x  ;500.000,00 ;288  x     ;14.719,55 ;26.005  x    ;119,95 ;629.918  x;4,95  
5.;04.02.;17 ;44 ;33 ;7 ;25 ;26 ;29 ;25.467.231,00 ;8  x  ;397.925,45 ;entfällt;;1.589  x     ;2.003,40 ;69.094  x    ;46,05 ;1.161.280  x;2,70  
6.;11.02.;29 ;23 ;40 ;18 ;27 ;9 ;42 ;25.405.715,50 ;5  x  ;500.000,00 ;27  x  ;26.932,65 ;1.639  x     ;1.906,15 ;82.082  x    ;38,65 ;1.253.182  x;2,50  
7.;18.02.;39 ;31 ;33 ;28 ;42 ;14 ;10 ;25.458.174,00 ;1  x  ;500.000,00 ;20  x  ;137.583,85 ;897  x     ;3.470,30 ;53.713  x    ;59,20 ;968.050  x;3,25  
8.;25.02.;32 ;11 ;36 ;38 ;9 ;29 ;7 ;25.084.348,50 ;3  x  ;500.000,00 ;14  x  ;121.179,45 ;706  x     ;4.354,90 ;45.628  x    ;68,70 ;920.775  x;3,40  
9.;04.03.;2 ;45 ;48 ;17 ;25 ;19 ;11 ;25.886.930,00 ;6  x  ;500.000,00 ;20  x  ;14.916,70 ;1.016  x     ;3.123,40 ;55.760  x    ;58,00 ;1.030.672  x;3,10  
10.;11.03.;21 ;33 ;43 ;4 ;19 ;45 ;26 ;25.322.868,00 ;1  x  ;500.000,00 ;13  x  ;208.192,90 ;987  x     ;3.165,35 ;55.202  x    ;57,30 ;992.988  x;3,15  
11.;18.03.;16 ;22 ;1 ;21 ;12 ;14 ;33 ;25.645.780,00 ;3  x  ;500.000,00 ;5  x  ;345.810,75 ;682  x     ;4.666,25 ;38.726  x    ;82,75 ;782.773  x;4,05  
12.;25.03.;27 ;44 ;24 ;38 ;25 ;45 ;32 ;25.453.809,00 ;3  x  ;500.000,00 ;24  x  ;76.262,05 ;490  x     ;6.190,10 ;34.138  x    ;93,20 ;757.959  x;4,15  
13.;01.04.;35 ;28 ;32 ;10 ;26 ;12 ;31 ;27.925.599,50 ;4  x  ;500.000,00 ;25  x  ;62.769,90 ;1.086  x     ;3.141,90 ;57.235  x    ;60,95 ;1.005.824  x;3,45  
14.;08.04.;10 ;32 ;27 ;25 ;9 ;4 ;42 ;25.832.750,00 ;4  x  ;500.000,00 ;19  x  ;67.351,20 ;1.194  x     ;2.662,05 ;65.280  x    ;49,45 ;1.174.184  x;2,75  
15.;15.04.;44 ;39 ;37 ;46 ;24 ;4 ;17 ;25.764.232,50 ;unbesetzt;;30  x  ;107.350,95 ;573  x     ;5.620,45 ;41.321  x    ;77,90 ;781.784  x;4,10  
16.;23.04.;42 ;39 ;36 ;7 ;29 ;35 ;17 ;24.349.703,50 ;unbesetzt;;30  x  ;101.457,05 ;483  x     ;6.301,65 ;38.988  x    ;78,05 ;844.311  x;3,60  
17.;29.04.;48 ;45 ;21 ;27 ;34 ;49 ;10 ;24.328.924,50 ;unbesetzt;;11  x  ;276.465,05 ;530  x     ;5.737,95 ;32.718  x    ;92,90 ;709.716  x;4,25  
18.;06.05.;17 ;28 ;13 ;44 ;47 ;12 ;29 ;25.339.465,00 ;4  x  ;500.000,00 ;20  x  ;62.326,00 ;781  x     ;3.954,30 ;45.573  x    ;69,50 ;902.079  x;3,50  
19.;13.05.;40 ;34 ;3 ;4 ;10 ;47 ;7 ;24.897.349,50 ;1  x  ;500.000,00 ;9  x  ;299.235,65 ;337  x     ;8.994,70 ;27.608  x    ;112,70 ;662.002  x;4,70  
20.;20.05.;27 ;32 ;1 ;19 ;26 ;48 ;4 ;24.961.156,00 ;5  x  ;500.000,00 ;13  x  ;52.818,40 ;597  x     ;5.114,95 ;41.959  x    ;74,35 ;849.007  x;3,65  
21.;27.05.;27 ;2 ;3 ;35 ;25 ;11 ;15 ;24.850.411,00 ;1  x  ;500.000,00 ;19  x  ;140.126,50 ;1.033  x     ;2.952,75 ;60.510  x    ;51,30 ;1.038.497  x;2,95  
22.;03.06.;33 ;15 ;31 ;19 ;25 ;22 ;17 ;24.586.997,50 ;3  x  ;500.000,00 ;74  x  ;23.785,10 ;1.144  x     ;2.523,25 ;64.656  x    ;47,50 ;1.134.439  x;2,70  
23.;11.06.;36 ;23 ;38 ;13 ;29 ;19 ;39 ;24.561.177,00 ;5  x  ;500.000,00 ;20  x  ;31.226,70 ;1.109  x     ;2.719,35 ;58.740  x    ;52,25 ;1.050.499  x;2,90  
24.;17.06.;23 ;13 ;34 ;25 ;2 ;27 ;7 ;23.740.964,50 ;5  x  ;500.000,00 ;57  x  ;10.261,85 ;1.385  x     ;2.057,95 ;68.138  x    ;43,55 ;1.072.426  x;2,75  
25.;24.06.;18 ;10 ;30 ;6 ;48 ;15 ;22 ;23.917.091,50 ;1  x  ;500.000,00 ;19  x  ;134.020,10 ;982  x     ;2.986,65 ;49.662  x    ;60,15 ;908.455  x;3,25  
26.;01.07.;17 ;10 ;32 ;33 ;14 ;36 ;49 ;24.798.235,50 ;2  x  ;500.000,00 ;9  x  ;236.439,90 ;981  x     ;3.131,05 ;41.075  x    ;75,45 ;882.709  x;3,50  
27.;08.07.;15 ;16 ;10 ;46 ;24 ;13 ;35 ;24.939.983,50 ;3  x  ;500.000,00 ;21  x  ;82.818,30 ;517  x     ;5.794,60 ;37.376  x    ;83,40 ;797.105  x;3,90  
28.;15.07.;9 ;13 ;28 ;47 ;35 ;46 ;11 ;24.898.990,50 ;5  x  ;500.000,00 ;23  x  ;30.959,70 ;695  x     ;4.334,75 ;40.107  x    ;77,60 ;789.441  x;3,90  
29.;22.07.;40 ;2 ;11 ;38 ;12 ;6 ;22 ;24.283.903,00 ;7  x  ;433.641,10 ;entfällt;;838  x     ;3.622,30 ;44.369  x    ;68,40 ;842.770  x;3,60  
30.;29.07.;4 ;44 ;26 ;1 ;48 ;14 ;47 ;23.925.696,00 ;4  x  ;500.000,00 ;6  x  ;169.038,30 ;757  x     ;3.919,65 ;41.195  x    ;72,55 ;737.735  x;4,05  
31.;05.08.;47 ;35 ;6 ;39 ;45 ;33 ;11 ;23.964.621,50 ;unbesetzt;;5  x  ;500.000,00 ;656  x     ;5.321,85 ;38.837  x    ;77,10 ;746.505  x;4,00  
32.;12.08.;19 ;48 ;43 ;3 ;17 ;8 ;18 ;24.552.014,50 ;3  x  ;500.000,00 ;24  x  ;68.112,80 ;1.097  x     ;2.737,70 ;64.369  x    ;47,65 ;1.110.008  x;2,75  
33.;19.08.;44 ;11 ;10 ;41 ;23 ;30 ;24 ;24.483.332,50 ;3  x  ;500.000,00 ;17  x  ;96.289,80 ;663  x     ;4.500,60 ;41.496  x    ;73,75 ;754.147  x;4,05  
34.;26.08.;48 ;26 ;32 ;6 ;35 ;18 ;41 ;24.465.872,00 ;11  x  ;278.021,25 ;entfällt;;1.532  x     ;1.996,20 ;58.861  x    ;51,95 ;909.913  x;3,35  
35.;02.09.;7 ;23 ;44 ;8 ;12 ;39 ;28 ;25.174.644,50 ;2  x  ;500.000,00 ;104  x  ;23.529,60 ;986  x     ;2.887,00 ;52.255  x    ;60,20 ;976.415  x;3,20  
36.;09.09.;47 ;14 ;28 ;8 ;9 ;37 ;16 ;24.963.535,00 ;3  x  ;500.000,00 ;22  x  ;77.461,85 ;798  x     ;3.805,40 ;46.242  x    ;67,45 ;883.166  x;3,50  
