"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1978
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1978;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;07.01.;38 ;29 ;47 ;5 ;21 ;43 ;17 ;72.324.457,50 ;6  x  ;904.055,70 ;149  x  ;18.202,45 ;2.355  x     ;3.454,95 ;120.420  x    ;67,55 ;2.183.809  x;5,35  
2.;14.01.;34 ;10 ;25 ;36 ;18 ;26 ;2 ;75.229.099,50 ;13  x  ;434.014,00 ;85  x  ;33.189,30 ;2.316  x     ;3.654,25 ;164.248  x    ;51,50 ;2.691.587  x;4,50  
3.;21.01.;17 ;1 ;4 ;33 ;31 ;49 ;19 ;75.082.187,50 ;18  x  ;312.842,40 ;1.757  x  ;1.839,90 ;4.364  x     ;1.839,90 ;204.606  x    ;41,25 ;3.052.312  x;3,95  
4.;28.01.;18 ;9 ;38 ;8 ;29 ;46 ;32 ;74.537.526,50 ;16  x  ;349.394,65 ;68  x  ;41.105,25 ;2.929  x     ;2.862,90 ;147.120  x    ;56,95 ;2.589.808  x;4,65  
5.;04.02.;37 ;25 ;17 ;43 ;2 ;26 ;3 ;73.625.977,00 ;15  x  ;368.129,85 ;90  x  ;30.677,45 ;3.083  x     ;2.686,60 ;167.583  x    ;49,40 ;2.938.134  x;4,05  
6.;11.02.;2 ;23 ;14 ;41 ;8 ;40 ;15 ;73.333.832,00 ;8  x  ;687.504,65 ;39  x  ;70.513,30 ;2.042  x     ;4.040,15 ;115.968  x    ;71,10 ;2.181.888  x;5,45  
7.;18.02.;23 ;29 ;25 ;3 ;35 ;36 ;40 ;73.657.879,50 ;4  x  ;1.381.085,20 ;43  x  ;64.236,50 ;1.832  x     ;4.523,20 ;123.353  x    ;67,15 ;2.523.961  x;4,70  
8.;25.02.;1 ;3 ;4 ;39 ;41 ;43 ;34 ;75.231.967,00 ;6  x  ;940.399,55 ;36  x  ;78.366,60 ;1.456  x     ;5.812,90 ;87.594  x    ;96,60 ;2.122.801  x;5,75  
9.;04.03.;35 ;49 ;34 ;7 ;47 ;11 ;46 ;75.718.821,50 ;29  x  ;195.824,50 ;45  x  ;63.099,00 ;2.606  x     ;3.268,75 ;142.341  x    ;59,80 ;2.656.761  x;4,60  
10.;11.03.;16 ;4 ;41 ;1 ;44 ;9 ;32 ;75.218.854,50 ;10  x  ;564.141,40 ;62  x  ;45.495,25 ;2.244  x     ;3.770,95 ;126.439  x    ;66,90 ;2.512.950  x;4,85  
11.;18.03.;10 ;29 ;23 ;6 ;20 ;45 ;40 ;74.929.509,50 ;7  x  ;802.816,15 ;146  x  ;19.245,55 ;2.907  x     ;2.899,70 ;150.504  x    ;56,00 ;2.733.646  x;4,45  
12.;25.03.;16 ;6 ;31 ;45 ;9 ;13 ;27 ;74.189.231,50 ;9  x  ;618.243,55 ;99  x  ;28.101,95 ;2.231  x     ;3.741,05 ;143.691  x    ;58,05 ;2.664.193  x;4,50  
13.;01.04.;28 ;47 ;23 ;48 ;15 ;25 ;16 ;73.800.181,00 ;5  x  ;1.107.002,70 ;17  x  ;162.794,50 ;1.476  x     ;5.625,00 ;103.235  x    ;80,40 ;2.315.286  x;5,10  
14.;08.04.;16 ;3 ;5 ;9 ;41 ;34 ;19 ;76.124.987,00 ;9  x  ;634.374,80 ;77  x  ;37.073,80 ;2.747  x     ;3.117,60 ;150.640  x    ;56,80 ;2.849.098  x;4,30  
15.;15.04.;42 ;34 ;43 ;26 ;32 ;21 ;14 ;75.538.092,00 ;9  x  ;629.484,10 ;63  x  ;44.963,10 ;2.237  x     ;3.798,80 ;146.673  x    ;57,90 ;2.681.884  x;4,50  
16.;22.04.;35 ;46 ;42 ;3 ;26 ;16 ;47 ;74.959.563,50 ;8  x  ;702.745,90 ;31  x  ;90.676,80 ;2.643  x     ;3.190,60 ;136.380  x    ;61,80 ;2.442.846  x;4,90  
17.;29.04.;7 ;35 ;46 ;37 ;1 ;18 ;19 ;74.851.498,00 ;28  x  ;200.495,00 ;46  x  ;61.020,20 ;3.102  x     ;2.714,60 ;126.952  x    ;66,30 ;2.412.875  x;5,00  
18.;06.05.;8 ;2 ;19 ;22 ;30 ;7 ;23 ;71.093.401,00 ;32  x  ;166.625,10 ;101  x  ;26.396,00 ;8.255  x     ;968,80 ;275.168  x    ;29,00 ;3.464.148  x;3,30  
19.;13.05.;44 ;45 ;30 ;31 ;17 ;15 ;8 ;74.026.108,00 ;16  x  ;346.997,30 ;39  x  ;71.178,90 ;2.216  x     ;3.758,00 ;109.490  x    ;76,00 ;2.270.711  x;5,20  
20.;20.05.;35 ;43 ;33 ;39 ;32 ;26 ;42 ;72.940.848,50 ;6  x  ;911.760,60 ;55  x  ;49.732,30 ;1.751  x     ;4.686,30 ;124.980  x    ;65,60 ;2.516.876  x;4,70  
21.;27.05.;3 ;26 ;32 ;48 ;24 ;5 ;6 ;74.188.519,50 ;8  x  ;695.517,30 ;65  x  ;42.801,00 ;3.217  x     ;2.594,40 ;172.244  x    ;48,40 ;3.080.281  x;3,90  
22.;03.06.;7 ;36 ;34 ;33 ;22 ;45 ;41 ;71.433.755,00 ;2  x  ;1.500.000,00 ;16  x  ;314.768,50 ;1.784  x     ;4.504,60 ;117.171  x    ;68,50 ;2.353.635  x;4,90  
23.;10.06.;23 ;31 ;30 ;18 ;48 ;8 ;44 ;72.088.039,00 ;3  x  ;1.500.000,00 ;42  x  ;85.950,10 ;1.614  x     ;5.024,70 ;114.364  x    ;70,90 ;2.331.767  x;5,00  
24.;17.06.;43 ;32 ;16 ;10 ;26 ;29 ;12 ;72.464.323,50 ;8  x  ;679.353,00 ;55  x  ;49.407,40 ;2.589  x     ;3.148,70 ;149.582  x    ;54,50 ;2.624.894  x;4,40  
25.;24.06.;24 ;36 ;21 ;33 ;43 ;28 ;10 ;72.406.278,50 ;14  x  ;387.890,70 ;56  x  ;48.486,30 ;3.102  x     ;2.625,90 ;144.130  x    ;56,50 ;2.484.451  x;4,70  
26.;01.07.;38 ;32 ;14 ;40 ;44 ;16 ;45 ;73.077.111,00 ;14  x  ;391.484,50 ;35  x  ;78.296,90 ;3.018  x     ;2.724,00 ;168.635  x    ;48,70 ;2.852.312  x;4,10  
27.;08.07.;41 ;8 ;31 ;14 ;17 ;2 ;24 ;73.096.393,00 ;8  x  ;685.278,60 ;69  x  ;39.726,30 ;2.876  x     ;2.859,20 ;151.166  x    ;54,30 ;2.465.063  x;4,80  
28.;15.07.;4 ;5 ;28 ;11 ;6 ;10 ;12 ;72.067.224,50 ;31  x  ;174.356,10 ;489  x  ;5.526,60 ;3.720  x     ;2.179,40 ;152.771  x    ;53,00 ;2.567.226  x;4,50  
