Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1996;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
1.;06.01.;14 ;3 ;6 ;22 ;32 ;19 ;29 ;4 ;130.347.865,00 ;1  x;2.606.957,30  ;6  x  ;1.303.478,60 ;40  x;97.760,80 ;2.702  x     ;4.824,10 ;131.105  x    ;99,40 ;130.969  x  ;69,60 ;2.047.971  x;7,60  
2.;13.01.;29 ;7 ;3 ;42 ;20 ;26 ;32 ;1 ;141.145.446,25 ;1  x;2.822.908,90  ;8  x  ;1.058.590,80 ;51  x;83.026,70 ;2.023  x     ;6.977,00 ;103.494  x    ;136,30 ;153.887  x  ;64,20 ;1.792.777  x;9,40  
3.;20.01.;25 ;43 ;9 ;42 ;17 ;8 ;34 ;8 ;130.977.243,75 ;3  x;1.164.242,10  ;6  x  ;1.164.242,10 ;95  x;41.361,20 ;1.631  x     ;8.030,40 ;101.722  x    ;128,70 ;133.225  x  ;68,80 ;1.797.660  x;8,70  
4.;27.01.;49 ;36 ;33 ;21 ;10 ;3 ;8 ;4 ;128.029.696,25 ;JP;2.560.593,90  ;12  x  ;640.148,40 ;29  x;132.444,50 ;2.053  x     ;6.236,20 ;104.960  x    ;121,90 ;107.822  x  ;83,10 ;1.773.567  x;8,60  
5.;03.02.;38 ;5 ;40 ;13 ;20 ;25 ;49 ;4 ;132.228.998,75 ;1  x;5.205.173,80  ;10  x  ;793.373,90 ;45  x;88.152,60 ;2.627  x     ;5.033,40 ;124.480  x    ;106,20 ;116.361  x  ;79,50 ;1.954.831  x;8,10  
6.;10.02.;36 ;48 ;41 ;34 ;47 ;26 ;9 ;7 ;130.246.363,75 ;JP;2.604.927,20  ;3  x  ;2.604.927,20 ;18  x;217.077,20 ;1.210  x     ;10.764,10 ;73.462  x    ;177,20 ;111.855  x  ;81,50 ;1.372.623  x;11,30  
7.;17.02.;20 ;43 ;4 ;1 ;30 ;47 ;41 ;5 ;129.613.936,25 ;JP;5.197.205,90  ;2  x  ;3.888.418,00 ;28  x;138.872,00 ;1.057  x     ;12.262,40 ;69.390  x    ;186,70 ;94.356  x  ;96,10 ;1.385.377  x;11,20  
