LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2001;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;
KW;2001;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Jackpot;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;
1.;03.01.;MI;46;13;21;34;19;36;38;2;40.602.483,00  ;JP;1.218.074,40  ;3  x  ;541.366,40  ;6  x  ;169.177,00  ;351  x  ;7.518,90  ;1.007  x  ;403,20  ;20.891  x  ;106,80  ;30.303  x  ;73,60  ;401.649  x  ;22,20  ;
;06.01.;SA;17;42;12;8;37;26;31;6;155.011.279,50  ;2  x  ;2.934.206,30  ;20  x  ;310.022,50  ;113  x  ;34.294,50  ;3.009  x  ;3.348,50  ;8.303  x  ;186,60  ;114.338  x  ;74,50  ;171.345  x  ;49,70  ;1.816.828  x  ;18,70  ;
2.;10.01.;MI;28;15;3;24;27;4;38;2;41.510.710,50  ;JP;1.245.321,30  ;JP;1.660.428,40  ;10  x  ;103.776,70  ;496  x  ;5.439,90  ;1.167  x  ;355,70  ;24.604  x  ;92,70  ;36.445  x  ;62,60  ;464.246  x  ;19,60  ;
;13.01.;SA;46;28;31;37;4;6;10;4;158.897.031,00  ;1  x  ;6.012.232,20  ;3  x  ;2.672.103,20  ;34  x  ;116.836,00  ;1.289  x  ;8.012,60  ;4.945  x  ;321,30  ;80.375  x  ;108,70  ;143.730  x  ;60,80  ;1.550.247  x  ;22,50  ;
3.;17.01.;MI;20;12;49;11;43;45;22;4;41.720.059,50  ;JP;1.251.601,70  ;1  x  ;1.668.802,30  ;7  x  ;149.000,20  ;248  x  ;10.934,60  ;744  x  ;560,70  ;17.069  x  ;134,40  ;24.798  x  ;92,50  ;378.067  x  ;24,20  ;
;20.01.;SA;49;48;1;28;3;47;26;2;156.760.227,00  ;JP;5.954.408,50  ;1  x  ;6.270.409,00  ;67  x  ;58.492,60  ;14.573  x  ;699,10  ;4.713  x  ;332,60  ;100.973  x  ;85,30  ;122.710  x  ;70,20  ;1.619.320  x  ;21,20  ;
4.;24.01.;MI;46;7;9;6;38;18;31;9;43.852.054,50  ;JP;7.269.970,10  ;2  x  ;877.041,00  ;11  x  ;99.663,70  ;541  x  ;5.268,70  ;1.683  x  ;260,50  ;32.149  x  ;75,00  ;43.454  x  ;55,50  ;564.828  x  ;17,00  ;
