LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;
KW;2002;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;
1.;02.01.;MI;13;46;21;35;25;34;38;1;23.994.651,75  ;JP;3.916.169,90  ;1  x  ;959.786,00  ;6  x  ;99.977,70  ;471  x  ;3.311,30  ;1.637  x  ;146,50  ;27.310  x  ;48,30  ;42.123  x  ;31,30  ;488.494  x  ;10,80  ;;
;05.01.;SA;43;24;49;27;29;12;15;1;76.061.477,25  ;2  x  ;3.099.007,10  ;8  x  ;380.307,30  ;34  x  ;55.927,50  ;1.624  x  ;3.044,30  ;3.396  x  ;223,90  ;84.445  x  ;49,50  ;98.391  x  ;42,50  ;1.610.036  x  ;10,30  ;;
2.;09.01.;MI;39;37;24;47;43;4;26;8;23.332.755,75  ;JP;699.982,60  ;2  x  ;466.655,10  ;16  x  ;36.457,40  ;614  x  ;2.470,00  ;1.616  x  ;144,30  ;29.318  x  ;43,70  ;43.989  x  ;29,10  ;493.236  x  ;10,40  ;;
;12.01.;SA;37;11;30;13;25;3;26;7;75.327.942,00  ;JP;2.959.820,80  ;4  x  ;753.279,40  ;46  x  ;40.939,00  ;2.383  x  ;2.054,60  ;6.070  x  ;124,00  ;128.313  x  ;32,20  ;158.253  x  ;26,10  ;2.093.469  x  ;7,90  ;;
3.;16.01.;MI;42;19;22;26;28;25;45;3;24.250.119,00  ;JP;3.687.324,30  ;1  x  ;970.004,70  ;7  x  ;86.607,50  ;386  x  ;4.083,50  ;876  x  ;276,80  ;26.415  x  ;50,40  ;28.993  x  ;46,00  ;511.027  x  ;10,40  ;;
;19.01.;SA;2;46;20;16;8;42;40;6;77.038.288,50  ;JP;5.998.472,90  ;5  x  ;616.306,30  ;49  x  ;39.305,20  ;1.475  x  ;3.394,90  ;3.894  x  ;197,80  ;76.794  x  ;55,10  ;112.064  x  ;37,80  ;1.453.861  x  ;11,60  ;;
4.;23.01.;MI;38;21;32;31;46;34;42;6;26.451.891,75  ;JP;6.792.029,60  ;1  x  ;1.058.075,60  ;14  x  ;47.235,50  ;542  x  ;3.172,20  ;1.705  x  ;155,10  ;36.742  x  ;39,50  ;43.400  x  ;33,50  ;637.971  x  ;9,10  ;;
;26.01.;SA;11;1;42;12;47;26;35;0;81.399.747,75  ;1  x  ;9.234.022,00  ;5  x  ;651.197,90  ;25  x  ;81.399,70  ;1.615  x  ;3.276,10  ;3.837  x  ;212,10  ;92.185  x  ;48,50  ;106.771  x  ;41,90  ;1.757.476  x  ;10,10  ;;
5.;30.01.;MI;29;13;46;39;42;7;16;6;24.134.668,50  ;JP;724.040,00  ;1  x  ;965.386,70  ;9  x  ;67.040,70  ;503  x  ;3.118,70  ;1.188  x  ;203,10  ;25.154  x  ;52,70  ;32.867  x  ;40,30  ;472.090  x  ;11,20  ;;
;02.02.;SA;47;3;27;31;18;36;35;3;75.853.041,75  ;4  x  ;749.907,80  ;13  x  ;233.393,90  ;59  x  ;32.141,10  ;3.223  x  ;1.529,70  ;4.800  x  ;158,00  ;122.070  x  ;35,00  ;115.914  x  ;35,00  ;1.824.555  x  ;9,10  ;;
6.;06.02.;MI;6;45;25;34;33;18;1;3;23.854.173,75  ;JP;715.625,20  ;3  x  ;318.055,60  ;12  x  ;49.696,10  ;607  x  ;2.554,40  ;1.215  x  ;196,30  ;32.801  x  ;39,90  ;33.270  x  ;39,40  ;580.968  x  ;9,00  ;;
;09.02.;SA;45;31;7;10;41;21;32;1;75.137.487,00  ;2  x  ;1.484.874,90  ;26  x  ;115.596,10  ;64  x  ;29.350,50  ;3.340  x  ;1.462,20  ;5.883  x  ;127,70  ;120.635  x  ;34,20  ;150.738  x  ;27,40  ;1.791.147  x  ;9,20  ;;
7.;13.02.;MI;5;6;1;11;17;45;28;4;23.450.590,50  ;2  x  ;351.758,80  ;3  x  ;312.674,50  ;17  x  ;34.486,10  ;753  x  ;2.024,20  ;1.683  x  ;139,30  ;37.315  x  ;34,50  ;42.852  x  ;30,00  ;622.966  x  ;8,20  ;;
;16.02.;SA;1;48;29;33;8;9;2;1;74.350.927,50  ;JP;2.230.527,80  ;5  x  ;594.807,40  ;25  x  ;74.350,90  ;1.267  x  ;3.814,30  ;3.815  x  ;194,80  ;76.249  x  ;53,60  ;122.141  x  ;33,40  ;1.572.229  x  ;10,40  ;;
8.;20.02.;MI;25;2;40;38;11;22;14;6;23.997.432,75  ;JP;2.950.450,70  ;2  x  ;479.948,60  ;20  x  ;29.996,70  ;837  x  ;1.863,50  ;1.544  x  ;155,40  ;38.233  x  ;35,00  ;37.075  x  ;35,00  ;610.277  x  ;8,60  ;;
;23.02.;SA;23;22;38;47;49;7;10;8;75.078.164,25  ;JP;5.202.795,60  ;2  x  ;1.501.563,20  ;38  x  ;49.393,50  ;1.471  x  ;3.317,50  ;5.335  x  ;140,70  ;87.648  x  ;47,10  ;133.839  x  ;30,80  ;1.643.573  x  ;10,00  ;;
