LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2003;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;
KW;2003;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;
1.;01.01.;MI;14;36;45;42;41;11;32;2;28.062.189,00  ;JP;841.865,60  ;4  x  ;280.621,80  ;8  x  ;87.694,30  ;364  x  ;5.011,10  ;1.491  x  ;188,20  ;23.815  x  ;64,80  ;45.045  x  ;34,20  ;495.627  x  ;12,40  ;;;;;
;04.01.;SA;24;19;17;44;6;18;46;6;75.216.948,00  ;3  x  ;1.032.791,30  ;7  x  ;429.811,10  ;25  x  ;75.216,90  ;1.371  x  ;3.566,00  ;4.392  x  ;171,20  ;96.611  x  ;42,80  ;116.193  x  ;35,60  ;1.888.055  x  ;8,70  ;;;;;
2.;08.01.;MI;32;37;27;2;30;31;21;5;24.822.308,25  ;JP;744.669,20  ;3  x  ;330.964,10  ;5  x  ;124.111,50  ;406  x  ;3.974,00  ;1.053  x  ;235,70  ;28.260  x  ;48,30  ;35.560  x  ;38,30  ;555.871  x  ;9,80  ;;;;;
;11.01.;SA;48;38;32;9;12;43;44;7;73.836.935,25  ;JP;2.959.777,20  ;5  x  ;590.695,40  ;28  x  ;65.925,80  ;1.988  x  ;2.414,10  ;4.633  x  ;159,30  ;109.233  x  ;37,10  ;139.529  x  ;29,10  ;1.848.465  x  ;8,70  ;;;;;
3.;15.01.;MI;42;5;49;3;37;29;13;0;26.178.278,25  ;JP;3.745.125,50  ;1  x  ;1.047.131,10  ;8  x  ;81.807,10  ;332  x  ;5.125,20  ;1.340  x  ;195,30  ;24.009  x  ;59,90  ;41.205  x  ;34,90  ;490.620  x  ;11,70  ;;;;;
;18.01.;SA;17;41;6;49;35;39;19;8;76.965.669,00  ;JP;6.054.095,50  ;5  x  ;615.725,30  ;42  x  ;45.812,80  ;1.362  x  ;3.673,10  ;5.137  x  ;149,80  ;83.007  x  ;50,90  ;151.004  x  ;28,00  ;1.624.805  x  ;10,40  ;;;;;
4.;22.01.;MI;44;27;19;2;40;14;30;2;30.998.559,75  ;JP;6.984.052,20  ;2  x  ;619.971,10  ;28  x  ;27.677,20  ;714  x  ;2.821,90  ;2.360  x  ;131,30  ;35.191  x  ;48,40  ;54.592  x  ;31,20  ;627.358  x  ;10,80  ;;;;;
