LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2004;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
KW;2004;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
1.;31.12.;MI;39;22;6;47;31;4;45;8;35.061.932,25  ;JP;5.414.711,90  ;2  x  ;701.238,60  ;9  x  ;97.394,20  ;736  x  ;3.096,50  ;1.389  x  ;252,40  ;38.331  x  ;45,70  ;46.534  x  ;30,10  ;735.537  x  ;10,40  ;;;;;;
;03.01.;SA;5;37;15;16;48;41;3;7;74.099.513,25  ;1  x  ;9.119.687,50  ;4  x  ;740.995,10  ;29  x  ;63.878,80  ;1.212  x  ;3.973,90  ;3.452  x  ;214,60  ;73.832  x  ;50,10  ;110.981  x  ;26,70  ;1.387.961  x  ;11,70  ;;;;;;
2.;07.01.;MI;49;24;45;10;44;12;22;7;26.015.218,50  ;JP;1.300.760,90  ;1  x  ;1.040.608,70  ;11  x  ;59.125,40  ;560  x  ;3.019,60  ;1.171  x  ;222,10  ;29.815  x  ;43,60  ;33.048  x  ;31,40  ;583.689  x  ;9,80  ;;;;;;
;10.01.;SA;45;42;33;14;13;9;48;9;71.149.833,00  ;JP;4.858.252,50  ;3  x  ;948.664,40  ;28  x  ;63.526,60  ;1.627  x  ;2.842,40  ;3.397  x  ;209,40  ;85.427  x  ;41,60  ;99.330  x  ;28,60  ;1.515.349  x  ;10,30  ;;;;;;
3.;14.01.;MI;5;17;19;21;28;23;22;7;29.782.266,75  ;JP;6.347.365,80  ;2  x  ;595.645,30  ;15  x  ;49.637,10  ;942  x  ;2.055,00  ;1.919  x  ;155,10  ;48.988  x  ;30,30  ;47.556  x  ;25,00  ;794.987  x  ;8,20  ;;;;;;
;17.01.;SA;34;35;28;40;20;49;19;0;78.758.896,50  ;JP;10.285.310,60  ;8  x  ;393.794,40  ;23  x  ;85.607,40  ;1.183  x  ;4.327,40  ;3.140  x  ;250,80  ;69.186  x  ;56,90  ;102.290  x  ;30,70  ;1.347.319  x  ;12,80  ;;;;;;
4.;21.01.;MI;49;29;30;33;22;5;45;4;35.627.564,25  ;JP;12.066.688,80  ;2  x  ;712.551,20  ;11  x  ;80.971,70  ;454  x  ;5.100,80  ;1.537  x  ;231,70  ;29.989  x  ;59,40  ;48.450  x  ;29,40  ;659.430  x  ;11,80  ;;;;;;
;24.01.;SA;14;9;26;20;12;48;39;4;90.738.771,75  ;1  x  ;20.233.178,20  ;unbesetzt;;33  x  ;68.741,40  ;1.484  x  ;3.974,40  ;5.549  x  ;163,50  ;97.487  x  ;46,50  ;157.365  x  ;23,00  ;1.876.377  x  ;10,60  ;;;;;;
