LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2012
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
KW;2012;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
1.;04.01.;MI;36;29;3;24;18;46;39;1;21.634.026,75  ;1  x  ;1.081.701,30  ;2  x  ;432.680,50  ;9  x  ;60.094,50  ;463  x  ;3.037,10  ;1.106  x  ;195,60  ;24.023  x  ;45,00  ;31.343  x  ;27,60  ;436.701  x  ;10,80  
;07.01.;SA;29;22;37;33;24;47;2;2;46.444.724,25  ;JP;2.322.236,20  ;1  x  ;1.857.788,90  ;18  x  ;64.506,50  ;798  x  ;3.783,00  ;2.653  x  ;175,00  ;52.012  x  ;44,60  ;63.741  x  ;29,10  ;942.380  x  ;10,80  
2.;11.01.;MI;34;15;8;36;11;47;12;5;21.939.650,25  ;JP;3.419.218,70  ;3  x  ;292.528,60  ;7  x  ;78.355,80  ;367  x  ;3.885,70  ;867  x  ;253,00  ;20.239  x  ;54,20  ;27.946  x  ;31,40  ;396.692  x  ;12,10  
;14.01.;SA;6;20;7;32;1;11;26;8;49.835.646,75  ;JP;5.911.001,00  ;9  x  ;221.491,70  ;43  x  ;28.974,20  ;1.886  x  ;1.717,50  ;4.436  x  ;112,30  ;87.828  x  ;28,30  ;107.863  x  ;18,40  ;1.375.104  x  ;7,90  
3.;18.01.;MI;6;33;13;32;18;7;38;0;24.409.728,75  ;JP;7.131.487,40  ;2  x  ;488.194,50  ;20  x  ;30.512,10  ;837  x  ;1.895,60  ;2.165  x  ;112,70  ;40.874  x  ;29,80  ;59.303  x  ;16,40  ;690.580  x  ;7,70  
;21.01.;SA;49;46;26;43;45;27;11;4;51.526.165,50  ;JP;9.707.795,60  ;3  x  ;687.015,50  ;11  x  ;117.104,90  ;918  x  ;3.648,30  ;2.146  x  ;240,10  ;53.793  x  ;47,80  ;71.080  x  ;28,90  ;925.152  x  ;12,20  
4.;25.01.;MI;1;33;6;24;4;47;21;7;29.747.778,00  ;JP;11.195.184,50  ;2  x  ;594.955,50  ;13  x  ;57.207,20  ;736  x  ;2.627,10  ;1.584  x  ;187,80  ;37.978  x  ;39,10  ;45.924  x  ;25,90  ;706.148  x  ;9,20  
;28.01.;SA;27;19;37;1;16;48;4;4;59.249.175,00  ;JP;14.157.643,20  ;2  x  ;1.184.983,50  ;34  x  ;43.565,50  ;1.273  x  ;3.025,20  ;4.434  x  ;133,60  ;64.698  x  ;45,70  ;112.443  x  ;21,00  ;1.204.313  x  ;10,80  
5.;01.02.;MI;7;18;39;37;6;3;49;1;34.046.160,75  ;JP;15.859.951,20  ;1  x  ;1.361.846,40  ;17  x  ;50.067,80  ;830  x  ;2.666,20  ;2.103  x  ;161,80  ;49.408  x  ;34,40  ;56.392  x  ;24,10  ;880.140  x  ;8,50  
