;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2014;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2014;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
1.;01.01.;MI;46;25;24;8;23;6;6;26.639.023,00  ;JP;1.704.897,40  ;1  x  ;971.719,40  ;54  x  ;8.997,40  ;359  x  ;4.060,10  ;2.599  x  ;186,90  ;22.170  x  ;43,80  ;50.146  x  ;19,30  ;432.164  x  ;10,10  ;379.484  x  ;;;;
;04.01.;SA;16;19;25;36;39;48;1;53.831.308,00  ;JP;5.150.101,10  ;1  x  ;2.037.646,00  ;87  x  ;11.710,60  ;1.010  x  ;3.026,20  ;4.515  x  ;225,60  ;45.785  x  ;44,50  ;80.673  x  ;25,20  ;844.535  x  ;10,80  ;618.798  x  ;;;;
2.;08.01.;MI;36;44;45;28;20;31;9;25.599.030,00  ;JP;6.788.439,00  ;JP;983.309,70  ;21  x  ;23.412,10  ;202  x  ;7.301,80  ;1.408  x  ;349,10  ;13.980  x  ;70,30  ;30.664  x  ;32,00  ;300.952  x  ;14,70  ;265.616  x  ;;;;
;11.01.;SA;14;8;29;23;5;38;1;55.776.062,00  ;JP;10.358.106,90  ;5  x  ;622.245,00  ;70  x  ;15.199,30  ;927  x  ;3.443,20  ;4.296  x  ;247,60  ;46.484  x  ;45,70  ;80.026  x  ;26,50  ;859.179  x  ;11,10  ;607.842  x  ;;;;
3.;15.01.;MI;6;49;41;22;39;43;4;28.438.810,00  ;JP;12.178.190,70  ;2  x  ;531.744,50  ;39  x  ;13.634,40  ;436  x  ;3.658,70  ;2.816  x  ;188,80  ;25.405  x  ;41,80  ;48.717  x  ;21,80  ;434.775  x  ;11,00  ;352.886  x  ;;;;
;18.01.;SA;32;16;36;26;11;15;2;58.675.295,00  ;JP;15.933.409,50  ;4  x  ;546.277,40  ;95  x  ;11.500,50  ;946  x  ;3.464,70  ;5.644  x  ;193,50  ;53.300  x  ;40,90  ;102.242  x  ;21,30  ;957.587  x  ;10,20  ;746.266  x  ;;;;
4.;22.01.;MI;26;42;18;2;46;23;8;31.768.009,00  ;JP;17.966.562,00  ;4  x  ;292.470,10  ;58  x  ;10.085,10  ;448  x  ;3.917,00  ;3.369  x  ;173,60  ;28.042  x  ;41,70  ;56.493  x  ;20,70  ;478.330  x  ;11,00  ;430.409  x  ;;;;
;25.01.;SA;37;32;48;24;45;36;8;63.458.233,00  ;JP;22.027.888,90  ;1  x  ;2.341.995,40  ;107  x  ;10.943,90  ;996  x  ;3.527,10  ;6.487  x  ;180,50  ;53.619  x  ;43,60  ;117.452  x  ;19,90  ;966.313  x  ;10,90  ;849.567  x  ;;;;
5.;29.01.;MI;3;12;36;34;15;26;5;37.020.460,00  ;1  x  ;24.397.198,30  ;3  x  ;446.650,00  ;102  x  ;6.568,30  ;586  x  ;3.429,90  ;4.300  x  ;155,80  ;32.258  x  ;41,50  ;73.103  x  ;18,30  ;564.577  x  ;10,60  ;548.284  x  ;;;;
;01.02.;SA;17;49;18;46;47;42;2;54.421.635,00  ;JP;3.482.984,60  ;2  x  ;1.025.004,60  ;65  x  ;15.769,30  ;672  x  ;4.575,90  ;3.965  x  ;258,50  ;40.139  x  ;51,00  ;79.317  x  ;25,80  ;786.619  x  ;11,70  ;645.548  x  ;;;;
6.;05.02.;MI;26;32;17;7;16;9;1;26.046.470,00  ;JP;5.149.958,60  ;1  x  ;951.695,50  ;51  x  ;9.330,30  ;573  x  ;2.491,30  ;3.106  x  ;153,20  ;32.158  x  ;29,50  ;52.943  x  ;17,90  ;565.353  x  ;7,50  ;367.861  x  ;;;;
;08.02.;SA;44;18;42;4;29;33;4;54.817.678,00  ;JP;8.658.289,90  ;2  x  ;1.024.323,10  ;91  x  ;11.256,20  ;1.007  x  ;3.051,60  ;5.172  x  ;198,00  ;45.022  x  ;45,50  ;90.323  x  ;22,60  ;801.406  x  ;11,50  ;682.809  x  ;;;;
7.;12.02.;MI;16;15;37;18;10;35;5;29.709.071,00  ;JP;10.559.670,40  ;JP;1.087.577,40  ;26  x  ;20.914,90  ;270  x  ;6.042,00  ;2.124  x  ;256,00  ;17.922  x  ;60,60  ;49.659  x  ;21,90  ;388.475  x  ;12,50  ;415.476  x  ;;;;
;15.02.;SA;44;31;17;7;8;48;1;60.738.044,00  ;JP;14.446.905,20  ;3  x  ;1.122.038,00  ;120  x  ;9.493,90  ;982  x  ;3.480,40  ;5.367  x  ;212,20  ;54.780  x  ;41,50  ;97.365  x  ;23,40  ;1.022.525  x  ;10,00  ;739.284  x  ;;;;
8.;19.02.;MI;18;43;29;21;36;4;3;31.015.309,00  ;JP;16.431.884,90  ;1  x  ;1.154.620,40  ;63  x  ;9.163,60  ;436  x  ;3.972,30  ;2.720  x  ;212,20  ;21.300  x  ;54,20  ;48.059  x  ;24,00  ;400.021  x  ;12,90  ;395.294  x  ;;;;
;22.02.;SA;46;39;32;26;25;30;5;61.718.484,00  ;JP;20.381.867,80  ;1  x  ;2.210.497,40  ;99  x  ;11.164,10  ;1.005  x  ;3.299,20  ;7.371  x  ;149,90  ;58.792  x  ;37,50  ;127.327  x  ;17,30  ;998.773  x  ;9,90  ;960.857  x  ;;;;
9.;26.02.;MI;19;31;9;8;48;11;7;34.602.432,00  ;JP;22.596.423,40  ;3  x  ;399.448,80  ;93  x  ;6.442,70  ;682  x  ;2.635,60  ;5.292  x  ;113,20  ;39.910  x  ;30,00  ;92.560  x  ;12,90  ;690.008  x  ;7,80  ;620.639  x  ;;;;
;01.03.;SA;5;47;13;24;28;38;1;67.560.725,00  ;1  x  ;26.920.309,80  ;14  x  ;181.774,80  ;165  x  ;7.711,60  ;1.826  x  ;2.090,50  ;6.926  x  ;183,70  ;73.820  x  ;34,40  ;111.454  x  ;22,80  ;1.179.989  x  ;9,70  ;801.599  x  ;;;;
10.;05.03.;MI;33;44;5;34;13;16;3;25.044.081,00  ;JP;1.602.821,10  ;1  x  ;913.262,40  ;44  x  ;10.377,90  ;374  x  ;3.662,80  ;2.513  x  ;181,70  ;20.541  x  ;44,40  ;46.715  x  ;19,50  ;388.576  x  ;10,50  ;357.319  x  ;;;;
