;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2015;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2015;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;
1.;31.12.;MI;27;22;49;20;15;39;7;28.400.592,00  ;JP;4.919.917,60  ;3  x  ;953.808,80  ;56  x  ;9.314,30  ;736  x  ;2.126,00  ;2.661  x  ;196,00  ;24.666  x  ;42,20  ;48.418  x  ;21,50  ;392.295  x  ;11,90  ;390.128  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;03.01.;SA;19;37;17;36;38;28;6;50.816.145,00  ;JP;8.172.150,80  ;1  x  ;1.873.526,40  ;87  x  ;10.767,30  ;791  x  ;3.552,80  ;3.981  x  ;235,30  ;36.676  x  ;51,00  ;82.429  x  ;22,70  ;739.117  x  ;11,40  ;684.115  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
2.;07.01.;MI;17;46;41;42;10;43;3;24.760.174,00  ;JP;9.756.801,90  ;JP;909.049,50  ;27  x  ;16.834,20  ;254  x  ;5.368,40  ;2.198  x  ;206,70  ;17.742  x  ;51,20  ;42.792  x  ;21,20  ;339.490  x  ;12,00  ;340.988  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;10.01.;SA;43;5;32;19;20;11;6;53.018.077,00  ;1  x  ;15.980.811,90  ;unbesetzt;;119  x  ;8.074,80  ;1.018  x  ;2.831,70  ;5.886  x  ;163,20  ;53.768  x  ;35,70  ;108.663  x  ;17,60  ;963.132  x  ;8,90  ;779.569  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
3.;14.01.;MI;33;19;38;1;46;39;5;22.323.766,00  ;JP;1.428.721,00  ;JP;806.630,10  ;29  x  ;13.907,40  ;239  x  ;5.062,50  ;1.941  x  ;207,70  ;15.968  x  ;50,50  ;42.016  x  ;19,10  ;333.593  x  ;10,80  ;333.372  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;17.01.;SA;8;29;22;47;11;46;1;49.475.148,00  ;1  x  ;4.595.130,40  ;4  x  ;674.936,20  ;43  x  ;22.012,90  ;567  x  ;5.008,20  ;3.139  x  ;301,50  ;31.885  x  ;59,30  ;63.865  x  ;29,60  ;660.186  x  ;12,90  ;528.003  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
4.;21.01.;MI;41;11;48;15;12;29;9;21.699.552,00  ;JP;1.388.771,30  ;JP;818.594,40  ;33  x  ;12.402,90  ;207  x  ;5.931,80  ;1.451  x  ;282,00  ;13.990  x  ;58,50  ;30.129  x  ;27,10  ;292.308  x  ;12,60  ;255.012  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
