LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2016;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
1.;06.01.;MI;12;3;45;36;27;42;0;24.651.714,00  ;JP;10.374.783,70  ;4  x  ;717.156,90  ;58  x  ;8.171,00  ;609  x  ;2.334,50  ;1.920  x  ;246,80  ;23.676  x  ;40,00  ;33.423  x  ;28,30  ;385.388  x  ;11,00  ;253.935  x  ;;;;
;09.01.;SA;13;10;31;34;46;48;6;51.977.946,00  ;2  x  ;6.850.686,10  ;4  x  ;478.204,80  ;184  x  ;5.197,80  ;1.385  x  ;2.071,60  ;5.882  x  ;162,50  ;49.267  x  ;38,80  ;94.940  x  ;20,10  ;802.815  x  ;10,70  ;706.838  x  ;;;;
2.;13.01.;MI;14;18;46;35;25;19;0;22.216.919,00  ;JP;1.421.882,80  ;2  x  ;429.917,00  ;17  x  ;25.289,20  ;186  x  ;6.934,10  ;1.164  x  ;369,30  ;13.499  x  ;63,60  ;25.767  x  ;33,30  ;304.907  x  ;12,60  ;217.647  x  ;;;;
;16.01.;SA;21;31;34;23;39;9;8;48.139.217,00  ;1  x  ;4.502.792,60  ;5  x  ;350.345,80  ;144  x  ;6.082,30  ;1.245  x  ;2.110,50  ;6.267  x  ;139,70  ;53.121  x  ;32,90  ;98.690  x  ;17,70  ;839.210  x  ;9,30  ;694.281  x  ;;;;
3.;20.01.;MI;12;14;15;19;7;46;3;21.557.851,00  ;JP;1.379.702,40  ;1  x  ;783.677,30  ;38  x  ;10.311,50  ;264  x  ;4.452,70  ;1.916  x  ;204,50  ;16.670  x  ;47,00  ;40.144  x  ;19,50  ;339.522  x  ;10,30  ;312.490  x  ;;;;
;23.01.;SA;27;26;40;16;2;25;0;47.297.223,00  ;JP;4.406.724,60  ;4  x  ;450.399,70  ;97  x  ;9.286,50  ;892  x  ;3.029,50  ;4.277  x  ;210,60  ;49.310  x  ;36,50  ;74.869  x  ;24,00  ;853.205  x  ;9,50  ;521.120  x  ;;;;
4.;27.01.;MI;14;16;12;47;29;19;3;22.826.804,00  ;JP;5.867.640,00  ;JP;839.847,10  ;29  x  ;14.480,10  ;250  x  ;5.039,00  ;1.983  x  ;211,70  ;16.123  x  ;52,00  ;39.522  x  ;21,20  ;326.037  x  ;11,50  ;310.803  x  ;;;;
