LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2017;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.;04.01.;MI;48;5;39;37;21;13;2;25.783.219,00  ;JP;15.050.011,50  ;2  x  ;486.948,60  ;34  x  ;14.322,00  ;372  x  ;3.927,00  ;2.095  x  ;232,40  ;20.070  x  ;48,50  ;38.274  x  ;25,40  ;384.520  x  ;11,30  ;300.502  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;07.01.;SA;22;12;14;45;17;46;7;51.173.316,00  ;JP;18.325.103,70  ;3  x  ;623.489,30  ;68  x  ;13.753,40  ;549  x  ;5.110,50  ;3.920  x  ;238,50  ;29.806  x  ;62,70  ;83.095  x  ;22,50  ;649.804  x  ;12,90  ;721.377  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.;11.01.;MI;29;32;27;38;34;20;1;27.596.782,00  ;JP;20.091.297,70  ;2  x  ;526.462,30  ;33  x  ;15.953,40  ;310  x  ;5.094,70  ;1.957  x  ;269,00  ;19.792  x  ;53,10  ;37.841  x  ;27,80  ;402.259  x  ;11,70  ;300.590  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14.01.;SA;23;37;27;4;3;28;3;54.716.507,00  ;JP;23.593.154,10  ;2  x  ;989.432,80  ;69  x  ;14.339,60  ;714  x  ;4.157,20  ;5.342  x  ;185,20  ;44.154  x  ;44,80  ;109.456  x  ;18,00  ;902.208  x  ;9,80  ;813.548  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.;18.01.;MI;39;40;10;28;11;13;1;29.278.479,00  ;JP;25.466.976,70  ;1  x  ;1.098.851,60  ;54  x  ;10.174,50  ;461  x  ;3.575,40  ;2.685  x  ;204,60  ;26.879  x  ;40,80  ;47.706  x  ;23,00  ;496.024  x  ;9,90  ;355.380  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21.01.;SA;26;14;11;9;5;39;9;55.467.650,00  ;JP;29.016.906,30  ;3  x  ;668.326,10  ;151  x  ;6.639,00  ;1.424  x  ;2.111,90  ;7.876  x  ;127,20  ;67.943  x  ;29,50  ;125.240  x  ;16,00  ;1.092.871  x  ;8,20  ;826.822  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.;25.01.;MI;25;49;17;14;1;2;5;31.892.982,00  ;1  x  ;31.058.057,10  ;2  x  ;570.987,70  ;103  x  ;5.543,50  ;809  x  ;2.117,30  ;4.879  x  ;117,00  ;34.690  x  ;32,90  ;73.588  x  ;15,50  ;550.945  x  ;9,30  ;497.117  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
