Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1975;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1975;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;DM 777.777,70 ;;;DM 77.777,70 ;DM 7.777,70 ;DM 777,70 ;DM 77,70 ;DM 7,70 ;;;;
;;;;;;;;;;Gewinne;;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;04.01.;0;2;6;5;1;0;2;keine Werte;unbesetzt;;;3 x           ;34 x         ;296 x         ;2.923 x        ;29.815 x    ;;;;
2.;11.01.;0;7;8;7;5;3;5;"""";unbesetzt;;;unbesetzt;38 x         ;369 x         ;3.580 x        ;35.836 x    ;;;;
3.;18.01.;1;7;4;5;5;7;6;"""";2 x;;;1 x           ;38 x         ;270 x         ;3.184 x        ;31.205 x    ;;;;
4.;25.01.;4;0;4;2;7;9;6;"""";1 x;;;2 x           ;37 x         ;316 x         ;3.154 x        ;31.217 x    ;;;;
5.;01.02.;8;1;5;0;5;2;8;"""";unbesetzt;;;5 x           ;43 x         ;339 x         ;3.627 x        ;36.459 x    ;;;;
6.;08.02.;3;2;7;5;3;5;4;"""";unbesetzt;;;2 x           ;30 x         ;280 x         ;2.940 x        ;28.626 x    ;;;;
7.;15.02.;8;2;4;4;1;4;3;"""";unbesetzt;;;2 x           ;17 x         ;273 x         ;2.961 x        ;29.489 x    ;;;;
8.;22.02.;0;0;0;6;5;9;1;"""";unbesetzt;;;1 x           ;25 x         ;277 x         ;2.850 x        ;27.365 x    ;;;;
9.;01.03.;1;5;2;5;3;4;2;"""";unbesetzt;;;3 x           ;21 x         ;266 x         ;2.754 x        ;27.415 x    ;;;;
10.;08.03.;8;7;8;3;7;1;0;"""";unbesetzt;;;2 x           ;26 x         ;268 x         ;2.554 x        ;26.279 x    ;;;;
11.;15.03.;5;1;5;4;5;3;7;"""";unbesetzt;;;2 x           ;30 x         ;285 x         ;2.769 x        ;27.513 x    ;;;;
12.;22.03.;4;2;8;6;8;0;5;"""";1 x;;;7 x           ;22 x         ;258 x         ;2.551 x        ;26.027 x    ;;;;
13.;29.03.;3;5;4;3;7;5;9;"""";1 x;;;1 x           ;27 x         ;294 x         ;2.590 x        ;26.730 x    ;;;;
14.;05.04.;8;9;6;9;9;6;7;"""";unbesetzt;;;1 x           ;23 x         ;254 x         ;2.518 x        ;26.192 x    ;;;;
15.;12.04.;0;4;1;2;7;7;7;"""";unbesetzt;;;1 x           ;27 x         ;289 x         ;2.844 x        ;27.120 x    ;;;;
16.;19.04.;5;9;2;6;2;5;7;"""";unbesetzt;;;3 x           ;34 x         ;290 x         ;2.656 x        ;27.134 x    ;;;;
17.;26.04.;1;8;5;9;5;8;1;"""";2 x;;;2 x           ;26 x         ;254 x         ;2.646 x        ;25.844 x    ;;;;
18.;03.05.;3;5;1;5;4;7;1;"""";unbesetzt;;;1 x           ;23 x         ;238 x         ;2.689 x        ;26.012 x    ;;;;
19.;10.05.;0;4;4;4;0;9;7;"""";unbesetzt;;;2 x           ;16 x         ;227 x         ;2.483 x        ;24.767 x    ;;;;
