Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1977;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;;;;;;;;;;;
VA;1977;Gewinnzahl;;;;;;End-;Spieleinsatz;von 177.777,70 DM;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;bis 1.777.777,70 DM;;DM;77.777,70 DM;7.777,70 DM;777,70 DM;77,70 DM;7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;01.01.;3;0;3;0;9;7;4;6.924.904,00     ;2 x;277.777,70   ;63.809,20   ;8 x           ;58 x         ;608 x         ;6.082 x        ;60.827 x    ;;;;
2.;08.01.;0;2;8;3;0;3;0;7.004.406,00     ;JP;;608.596,30   ;8 x           ;61 x         ;609 x         ;6.023 x        ;62.041 x    ;;;;
3.;15.01.;9;6;3;4;9;3;9;7.367.625,00     ;JP;;1.181.633,80   ;5 x           ;59 x         ;723 x         ;6.592 x        ;66.690 x    ;;;;
4.;22.01.;2;8;7;3;8;3;0;7.140.409,00     ;JP;;1.736.998,90   ;11 x           ;56 x         ;683 x         ;6.362 x        ;62.798 x    ;;;;
5.;29.01.;5;6;8;8;5;0;7;7.320.448,00     ;1 x;1.777.777,70   ;528.589,40   ;4 x           ;54 x         ;606 x         ;6.325 x        ;62.984 x    ;;;;
6.;05.02.;9;9;7;4;7;1;7;7.333.469,00     ;JP;;1.098.970,30   ;5 x           ;62 x         ;643 x         ;6.640 x        ;65.752 x    ;;;;
7.;12.02.;0;5;7;6;0;0;8;7.372.235,00     ;1 x;1.577.777,70   ;94.588,60   ;5 x           ;71 x         ;682 x         ;6.493 x        ;67.274 x    ;;;;
8.;19.02.;3;0;4;6;4;2;4;7.258.037,00     ;JP;;659.102,60   ;14 x           ;63 x         ;650 x         ;6.547 x        ;66.607 x    ;;;;
9.;26.02.;9;0;8;6;1;0;0;7.477.115,00     ;JP;;1.240.656,00   ;6 x           ;71 x         ;651 x         ;6.798 x        ;65.974 x    ;;;;
10.;05.03.;2;5;0;0;8;2;3;7.320.873,00     ;JP;;1.810.057,20   ;6 x           ;74 x         ;640 x         ;6.488 x        ;65.761 x    ;;;;
11.;12.03.;7;5;3;7;3;2;7;7.240.967,00     ;1 x;1.777.777,70   ;595.465,80   ;4 x           ;51 x         ;656 x         ;6.444 x        ;64.133 x    ;;;;
12.;19.03.;6;6;5;6;8;9;0;7.291.738,00     ;JP;;1.162.601,00   ;4 x           ;61 x         ;666 x         ;6.522 x        ;65.300 x    ;;;;
13.;26.03.;1;2;0;9;7;3;4;7.261.442,00     ;JP;;1.727.379,80   ;7 x           ;59 x         ;643 x         ;6.433 x        ;63.020 x    ;;;;
14.;02.04.;0;9;8;6;2;9;9;7.264.043,00     ;JP;;2.292.360,90   ;7 x           ;65 x         ;644 x         ;6.426 x        ;64.685 x    ;;;;
15.;09.04.;0;5;9;1;7;2;6;7.087.718,00     ;1 x;1.777.777,70   ;1.065.850,20   ;6 x           ;67 x         ;630 x         ;6.592 x        ;65.253 x    ;;;;
16.;16.04.;1;7;6;0;9;8;0;7.153.618,00     ;JP;;1.622.242,70   ;8 x           ;62 x         ;622 x         ;6.402 x        ;64.220 x    ;;;;
17.;23.04.;0;0;2;6;6;5;2;7.169.383,00     ;1 x;1.777.777,70   ;402.083,70   ;5 x           ;81 x         ;656 x         ;6.622 x        ;65.269 x    ;;;;
18.;30.04.;1;0;2;4;5;5;6;7.582.975,00     ;1 x;977.777,70   ;14.092,90   ;6 x           ;70 x         ;674 x         ;6.458 x        ;65.804 x    ;;;;
19.;07.05.;3;5;0;6;1;8;5;8.900.306,00     ;1 x;677.777,70   ;28.561,20   ;8 x           ;71 x         ;797 x         ;8.004 x        ;81.073 x    ;;;;
20.;14.05.;4;9;6;1;3;5;4;7.481.486,00     ;JP;;610.454,50   ;7 x           ;73 x         ;668 x         ;6.778 x        ;67.318 x    ;;;;
21.;21.05.;1;5;7;3;9;9;6;7.100.270,00     ;JP;;1.162.697,70   ;10 x           ;56 x         ;654 x         ;6.270 x        ;64.239 x    ;;;;
22.;28.05.;1;9;9;0;0;4;7;7.070.389,00     ;3 x;477.777,70   ;279.283,70   ;4 x           ;63 x         ;623 x         ;6.470 x        ;64.616 x    ;;;;
23.;04.06.;1;4;8;8;4;1;3;7.011.655,00     ;JP;;824.634,60   ;7 x           ;80 x         ;724 x         ;6.648 x        ;65.897 x    ;;;;
24.;11.06.;0;7;0;7;5;7;1;6.900.765,00     ;JP;;1.361.360,80   ;4 x           ;62 x         ;644 x         ;6.298 x        ;92.739 x    ;;;;
25.;18.06.;2;6;5;2;9;7;7;6.670.108,00     ;2 x;877.777,70   ;124.591,60   ;6 x           ;58 x         ;598 x         ;6.194 x        ;61.038 x    ;;;;
26.;25.06.;0;9;8;5;9;2;0;6.869.376,00     ;JP;;658.876,40   ;7 x           ;63 x         ;655 x         ;6.396 x        ;63.722 x    ;;;;
27.;02.07.;1;8;8;9;4;6;5;7.868.694,00     ;1 x;1.177.777,70   ;93.108,20   ;8 x           ;69 x         ;698 x         ;6.978 x        ;70.841 x    ;;;;
28.;09.07.;5;3;6;5;4;9;2;7.791.481,00     ;JP;;699.112,30   ;6 x           ;59 x         ;677 x         ;6.744 x        ;69.025 x    ;;;;
29.;16.07.;0;5;7;6;6;1;7;7.803.287,00     ;JP;;1.306.034,60   ;4 x           ;74 x         ;724 x         ;7.254 x        ;71.699 x    ;;;;
30.;23.07.;7;5;9;7;0;3;1;7.879.895,00     ;JP;;1.918.915,30   ;9 x           ;84 x         ;668 x         ;7.112 x        ;72.270 x    ;;;;
31.;30.07.;7;1;2;9;5;6;7;7.898.589,00     ;1 x;1.777.777,70   ;755.472,30   ;4 x           ;72 x         ;725 x         ;7.272 x        ;69.697 x    ;;;;
32.;06.08.;1;2;0;4;8;2;3;7.760.711,00     ;JP;;1.359.083,10   ;7 x           ;69 x         ;707 x         ;6.966 x        ;70.803 x    ;;;;
33.;13.08.;5;2;4;3;5;0;8;7.865.735,00     ;JP;;1.970.862,50   ;10 x           ;67 x         ;776 x         ;6.901 x        ;69.319 x    ;;;;
34.;20.08.;7;2;3;1;9;4;5;7.919.595,00     ;1 x;1.777.777,70   ;809.053,30   ;6 x           ;70 x         ;707 x         ;7.280 x        ;72.622 x    ;;;;
35.;27.08.;8;8;1;7;9;2;6;7.954.556,00     ;1 x;1.377.777,70   ;49.963,30   ;8 x           ;55 x         ;701 x         ;7.123 x        ;71.737 x    ;;;;
36.;03.09.;9;3;7;9;0;5;2;9.945.595,00     ;2 x;377.777,70   ;67.954,20   ;9 x           ;91 x         ;865 x         ;8.543 x        ;85.804 x    ;;;;
37.;10.09.;3;8;7;2;7;9;5;9.357.966,00     ;1 x;777.777,70   ;18.018,30   ;11 x           ;94 x         ;890 x         ;8.676 x        ;85.770 x    ;;;;
38.;17.09.;6;7;8;4;6;7;0;9.553.238,00     ;1 x;677.777,70   ;83.270,20   ;18 x           ;79 x         ;863 x         ;8.465 x        ;83.879 x    ;;;;
39.;24.09.;8;7;9;5;9;3;0;10.071.366,00     ;JP;;866.598,70   ;7 x           ;95 x         ;864 x         ;8.914 x        ;89.532 x    ;;;;
40.;01.10.;6;6;7;9;5;0;3;10.725.437,00     ;JP;;1.700.799,30   ;7 x           ;104 x         ;1.055 x         ;9.927 x        ;95.380 x    ;;;;
41.;08.10.;9;3;6;3;0;0;6;10.710.515,00     ;1 x;1.777.777,70   ;756.061,60   ;7 x           ;105 x         ;836 x         ;8.775 x        ;92.220 x    ;;;;
42.;15.10.;4;0;1;2;8;4;2;10.989.327,00     ;1 x;1.577.777,70   ;33.009,30   ;11 x           ;102 x         ;986 x         ;9.956 x        ;98.685 x    ;;;;
