Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1987;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1987;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;03.01.;0;3;5;0;2;1;6;14.590.922,00;1 x;1.155.555,40   ;147.654,10   ;11 x           ;75 x         ;655 x         ;6.453 x        ;64.940 x    ;;;;
2.;10.01.;1;2;3;8;7;7;4;14.636.016,00;JP;;1.284.872,50   ;7 x           ;63 x         ;644 x         ;6.581 x        ;66.617 x    ;;;;
3.;17.01.;9;3;6;2;5;3;3;14.718.934,00;1 x;2.355.555,40   ;72.978,30   ;4 x           ;66 x         ;643 x         ;6.734 x        ;65.939 x    ;;;;
4.;24.01.;1;0;6;4;1;4;4;14.583.886,00;JP;;1.206.146,20   ;6 x           ;39 x         ;649 x         ;6.544 x        ;65.711 x    ;;;;
5.;31.01.;5;6;0;4;6;8;0;14.852.818,00;1 x;2.355.555,40   ;4.654,80   ;9 x           ;64 x         ;694 x         ;6.632 x        ;65.921 x    ;;;;
6.;07.02.;7;8;7;2;9;5;1;15.304.214,00;1 x;1.155.555,40   ;38.236,80   ;14 x           ;56 x         ;689 x         ;7.029 x        ;69.108 x    ;;;;
7.;14.02.;8;1;6;7;3;2;8;15.681.716,00;JP;;1.256.706,10   ;4 x           ;82 x         ;715 x         ;7.240 x        ;72.675 x    ;;;;
8.;21.02.;5;5;4;1;3;7;1;14.805.354,00;3 x;755.555,40   ;140.415,90   ;5 x           ;76 x         ;635 x         ;6.483 x        ;65.635 x    ;;;;
