Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1990;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VA;1990;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;
1.;06.01.;1;9;2;6;6;3;0;17.009.950,00;1 x;5.755.555,40   ;4.492,70   ;6 x           ;74 x         ;733 x         ;7.405 x        ;74.326 x    ;;;;;;;;
2.;13.01.;0;4;7;8;6;8;8;16.570.798,00;1 x;1.155.555,40   ;136.488,30   ;8 x           ;96 x         ;697 x         ;7.235 x        ;73.666 x    ;;;;;;;;
3.;20.01.;5;1;1;1;7;2;0;16.019.896,00;JP;;1.381.234,20   ;5 x           ;63 x         ;705 x         ;7.147 x        ;70.259 x    ;;;;;;;;
4.;27.01.;6;6;4;2;5;2;7;15.886.252,00;JP;;2.615.595,90   ;9 x           ;76 x         ;729 x         ;7.248 x        ;72.259 x    ;;;;;;;;
5.;03.02.;9;3;0;8;7;3;9;19.374.270,00;1 x;3.955.555,40   ;165.421,20   ;9 x           ;106 x         ;911 x         ;8.772 x        ;87.873 x    ;;;;;;;;
6.;10.02.;6;0;7;5;8;4;7;16.178.812,00;2 x;555.555,40   ;311.404,00   ;14 x           ;59 x         ;738 x         ;7.502 x        ;74.124 x    ;;;;;;;;
7.;17.02.;7;7;5;4;7;1;7;15.860.202,00;JP;;1.543.741,60   ;9 x           ;79 x         ;783 x         ;7.151 x        ;72.216 x    ;;;;;;;;
8.;24.02.;0;3;9;8;9;3;5;15.470.792,00;1 x;2.555.555,40   ;190.266,70   ;7 x           ;60 x         ;739 x         ;7.079 x        ;69.963 x    ;;;;;;;;
