Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1995;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1995;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;07.01.;8;2;7;1;3;4;1;25.646.787,50;1 x;1.877.777,00   ;7.729,90   ;10 x           ;85 x         ;925 x         ;9.084 x        ;91.445 x    ;906.597 x    ;;;;
2.;14.01.;2;9;3;4;4;4;9;33.202.835,00;2 x;1.177.777,00   ;12.897,50   ;11 x           ;118 x         ;1.150 x         ;11.918 x        ;120.836 x    ;1.191.236 x    ;;;;
3.;21.01.;0;5;7;3;1;5;8;26.809.875,00;JP;;1.919.079,60   ;11 x           ;105 x         ;929 x         ;9.736 x        ;96.388 x    ;959.319 x    ;;;;
4.;28.01.;3;7;2;6;7;2;3;26.337.657,50;1 x;3.777.777,00   ;13.910,00   ;10 x           ;121 x         ;987 x         ;9.687 x        ;96.516 x    ;954.176 x    ;;;;
5.;04.02.;8;5;6;1;0;5;5;27.181.785,00;2 x;877.777,00   ;190.980,90   ;12 x           ;83 x         ;953 x         ;9.780 x        ;99.634 x    ;992.712 x    ;;;;
6.;11.02.;9;7;9;2;5;0;5;26.183.855,00;JP;;2.052.653,00   ;9 x           ;86 x         ;888 x         ;8.866 x        ;88.956 x    ;937.938 x    ;;;;
7.;18.02.;7;2;2;4;1;1;7;25.808.467,50;1 x;3.877.777,00   ;9.858,00   ;12 x           ;95 x         ;981 x         ;9.602 x        ;96.923 x    ;969.448 x    ;;;;
8.;25.02.;8;4;5;5;7;4;0;25.653.790,00;1 x;1.777.777,00   ;56.065,50   ;10 x           ;82 x         ;857 x         ;8.732 x        ;86.609 x    ;864.687 x    ;;;;
9.;04.03.;7;1;6;9;2;1;1;26.650.022,50;1 x;1.877.777,00   ;73.105,10   ;12 x           ;107 x         ;888 x         ;9.128 x        ;92.032 x    ;908.629 x    ;;;;
10.;11.03.;2;0;7;7;2;4;0;25.351.530,00;JP;;1.875.598,90   ;12 x           ;86 x         ;838 x         ;8.630 x        ;85.245 x    ;852.177 x    ;;;;
11.;18.03.;4;9;1;2;9;0;9;25.326.617,50;2 x;1.777.777,00   ;120.767,40   ;4 x           ;90 x         ;842 x         ;8.980 x        ;89.360 x    ;931.948 x    ;;;;
12.;25.03.;5;5;6;6;5;8;4;25.051.107,50;1 x;1.877.777,00   ;24.124,10   ;12 x           ;93 x         ;917 x         ;9.033 x        ;89.097 x    ;892.069 x    ;;;;
13.;01.04.;5;8;6;5;3;2;9;32.472.523,00;2 x;1.077.777,00   ;177.366,50   ;11 x           ;124 x         ;1.146 x         ;11.948 x        ;118.374 x    ;1.176.948 x    ;;;;
14.;08.04.;5;1;9;6;5;7;7;25.717.747,00;3 x;577.777,00   ;272.567,30   ;8 x           ;93 x         ;953 x         ;9.758 x        ;97.806 x    ;955.749 x    ;;;;
15.;15.04.;4;2;2;0;2;4;0;24.836.465,00;JP;;2.038.440,00   ;12 x           ;87 x         ;815 x         ;8.460 x        ;85.243 x    ;841.471 x    ;;;;
16.;22.04.;9;8;3;7;0;8;4;24.718.282,50;JP;;3.795.909,90   ;13 x           ;88 x         ;870 x         ;8.529 x        ;87.700 x    ;875.726 x    ;;;;
17.;29.04.;9;0;1;1;4;3;0;24.956.450,00;1 x;5.477.777,00   ;92.536,50   ;6 x           ;77 x         ;790 x         ;8.605 x        ;84.826 x    ;847.610 x    ;;;;
18.;06.05.;3;9;4;0;7;5;9;24.978.945,00;1 x;1.777.777,00   ;90.762,50   ;6 x           ;90 x         ;927 x         ;9.251 x        ;91.192 x    ;911.787 x    ;;;;
19.;13.05.;0;9;3;4;8;0;7;26.073.412,50;2 x;877.777,00   ;189.028,10   ;13 x           ;95 x         ;962 x         ;9.361 x        ;93.411 x    ;977.025 x    ;;;;
20.;20.05.;4;7;3;8;6;1;3;27.914.665,00;2 x;1.077.777,00   ;18.206,80   ;10 x           ;100 x         ;1.027 x         ;10.615 x        ;105.213 x    ;1.005.285 x    ;;;;
21.;27.05.;7;1;7;3;0;9;8;27.270.477,50;1 x;1.877.777,00   ;79.360,80   ;11 x           ;90 x         ;968 x         ;9.803 x        ;98.770 x    ;994.093 x    ;;;;
22.;03.06.;9;0;8;8;3;6;6;32.247.550,00;2 x;1.177.777,00   ;16.607,60   ;9 x           ;123 x         ;1.169 x         ;12.025 x        ;119.624 x    ;1.185.532 x    ;;;;
23.;10.06.;7;6;6;9;7;1;0;34.592.645,00;2 x;1.177.777,00   ;120.590,70   ;14 x           ;117 x         ;1.172 x         ;11.957 x        ;117.718 x    ;1.177.822 x    ;;;;
24.;17.06.;1;0;5;3;1;7;9;26.320.505,00;1 x;1.977.777,00   ;14.201,60   ;8 x           ;107 x         ;964 x         ;9.534 x        ;97.135 x    ;971.567 x    ;;;;
