;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
VA;1996;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;
1.;06.01.;7;0;9;2;2;3;1;25.321.007,50;JP;;1.954.761,90   ;9 x           ;86 x         ;845 x         ;9.060 x        ;89.299 x    ;884.972 x    ;;;;;
2.;13.01.;4;0;0;1;6;4;7;30.236.815,00;2 x;1.977.777,00   ;149.045,40   ;7 x           ;102 x         ;1.191 x         ;11.707 x        ;116.214 x    ;1.150.459 x    ;;;;;
3.;20.01.;1;5;7;5;4;2;5;25.729.552,50;2 x;977.777,00   ;22.862,60   ;8 x           ;78 x         ;968 x         ;9.882 x        ;96.738 x    ;951.338 x    ;;;;;
4.;27.01.;2;3;1;0;0;4;0;24.941.222,50;JP;;1.796.183,50   ;5 x           ;95 x         ;792 x         ;8.342 x        ;84.640 x    ;841.330 x    ;;;;;
5.;03.02.;1;1;6;0;2;5;0;25.688.880,00;JP;;3.622.662,90   ;4 x           ;95 x         ;861 x         ;8.509 x        ;84.925 x    ;843.268 x    ;;;;;
6.;10.02.;1;1;9;4;3;2;0;25.317.210,00;2 x;2.677.777,00   ;67.162,50   ;6 x           ;80 x         ;884 x         ;8.286 x        ;83.315 x    ;837.854 x    ;;;;;
7.;17.02.;4;4;1;7;9;2;5;24.873.790,00;2 x;877.777,00   ;80.135,00   ;17 x           ;87 x         ;1.005 x         ;9.281 x        ;93.531 x    ;921.060 x    ;;;;;
8.;24.02.;1;7;8;3;2;0;5;24.938.630,00;JP;;1.853.271,60   ;13 x           ;81 x         ;911 x         ;8.555 x        ;86.109 x    ;903.843 x    ;;;;;
9.;02.03.;3;9;7;6;4;1;6;32.354.905,00;1 x;4.077.777,00   ;75.928,30   ;12 x           ;130 x         ;1.182 x         ;11.802 x        ;116.691 x    ;1.171.208 x    ;;;;;
10.;09.03.;7;0;6;6;2;4;0;25.938.310,00;JP;;1.920.142,10   ;7 x           ;93 x         ;887 x         ;8.888 x        ;88.838 x    ;877.938 x    ;;;;;
11.;16.03.;0;1;1;6;1;0;4;25.701.945,00;4 x;877.777,00   ;236.442,40   ;6 x           ;93 x         ;879 x         ;8.814 x        ;87.436 x    ;928.572 x    ;;;;;
12.;23.03.;8;3;8;3;8;5;2;25.297.185,00;1 x;1.977.777,00   ;57.295,30   ;9 x           ;75 x         ;943 x         ;8.806 x        ;88.601 x    ;880.892 x    ;;;;;
13.;30.03.;5;4;4;9;4;5;9;26.146.920,00;JP;;1.916.341,30   ;8 x           ;93 x         ;974 x         ;9.639 x        ;94.932 x    ;955.461 x    ;;;;;
14.;06.04.;0;4;0;9;9;5;8;24.367.210,00;JP;;3.648.849,90   ;8 x           ;91 x         ;842 x         ;8.998 x        ;88.610 x    ;884.010 x    ;;;;;
15.;13.04.;8;0;6;0;1;3;2;24.381.655,00;3 x;1.777.777,00   ;49.054,60   ;9 x           ;83 x         ;858 x         ;8.690 x        ;87.054 x    ;858.447 x    ;;;;;
16.;20.04.;3;2;4;2;7;1;2;24.338.097,50;1 x;1.777.777,00   ;1.716,30   ;8 x           ;93 x         ;839 x         ;8.388 x        ;84.682 x    ;838.558 x    ;;;;;
17.;27.04.;9;7;5;4;3;8;1;25.402.052,50;1 x;1.777.777,00   ;30.025,20   ;11 x           ;126 x         ;868 x         ;8.614 x        ;87.733 x    ;879.598 x    ;;;;;
18.;04.05.;2;6;8;3;0;1;0;24.063.620,00;JP;;1.740.948,60   ;6 x           ;73 x         ;844 x         ;8.215 x        ;83.784 x    ;838.552 x    ;;;;;
19.;11.05.;0;0;0;8;8;6;7;24.935.755,00;JP;;3.513.880,80   ;7 x           ;93 x         ;954 x         ;9.379 x        ;93.906 x    ;943.006 x    ;;;;;
20.;18.05.;0;8;9;5;2;5;6;23.473.085,00;JP;;5.182.817,10   ;11 x           ;87 x         ;870 x         ;8.469 x        ;86.001 x    ;851.700 x    ;;;;;
21.;25.05.;1;7;5;8;6;0;8;23.952.700,00;JP;;6.885.854,10   ;10 x           ;93 x         ;807 x         ;8.251 x        ;81.705 x    ;860.612 x    ;;;;;
22.;01.06.;2;8;1;6;6;5;4;23.680.107,50;2 x;4.277.777,00   ;13.955,70   ;12 x           ;95 x         ;885 x         ;8.634 x        ;85.882 x    ;846.065 x    ;;;;;
23.;08.06.;4;8;0;3;7;6;5;22.976.372,50;4 x;377.777,00   ;136.467,80   ;8 x           ;86 x         ;893 x         ;8.759 x        ;86.593 x    ;863.151 x    ;;;;;
24.;15.06.;8;9;4;0;4;3;0;24.431.822,50;1 x;1.777.777,00   ;95.793,40   ;8 x           ;76 x         ;795 x         ;8.278 x        ;84.277 x    ;846.177 x    ;;;;;
