Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VA;1997;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;;;;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;
1.;04.01.;6;5;0;3;2;1;3;24.746.775,00;3 x;1.177.777,00   ;30.408,60   ;9 x           ;89 x         ;913 x         ;9.721 x        ;94.295 x    ;880.754 x    ;;;;3.533.331;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
2.;11.01.;6;1;7;4;2;1;9;30.801.455,00;1 x;2.177.777,00   ;42.615,10   ;9 x           ;111 x         ;1.082 x         ;11.284 x        ;111.321 x    ;1.118.208 x    ;;985.784;;2.177.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
3.;18.01.;5;1;5;4;5;0;6;26.044.035,00;JP;;1.894.346,00   ;13 x           ;95 x         ;899 x         ;8.947 x        ;90.010 x    ;962.837 x    ;;1.242.016;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
4.;25.01.;3;6;5;8;1;5;6;25.534.777,50;2 x;1.777.777,00   ;154.314,70   ;10 x           ;96 x         ;915 x         ;9.305 x        ;91.579 x    ;900.970 x    ;;1.062.801;;3.555.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
5.;01.02.;8;1;0;5;1;0;4;25.706.790,00;1 x;1.977.777,00   ;4.290,50   ;9 x           ;77 x         ;903 x         ;8.843 x        ;85.806 x    ;920.976 x    ;;1.002.877;;1.977.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
6.;08.02.;3;9;9;2;9;9;6;25.161.792,50;1 x;1.777.777,00   ;15.516,90   ;10 x           ;97 x         ;901 x         ;8.818 x        ;94.406 x    ;934.384 x    ;;1.016.615;;1.777.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
7.;15.02.;2;9;1;8;6;4;7;25.208.187,50;1 x;1.777.777,00   ;30.042,00   ;6 x           ;93 x         ;930 x         ;9.619 x        ;97.064 x    ;961.897 x    ;;1.038.617;;1.777.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
8.;22.02.;6;5;6;8;9;8;3;25.285.262,50;JP;;1.827.824,20   ;14 x           ;112 x         ;878 x         ;8.899 x        ;88.703 x    ;895.926 x    ;;1.069.610;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
9.;01.03.;1;2;7;5;2;1;9;30.594.930,00;1 x;3.977.777,00   ;25.346,70   ;12 x           ;118 x         ;1.107 x         ;11.224 x        ;110.774 x    ;1.114.041 x    ;;994.532;;3.977.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
10.;08.03.;6;6;0;1;5;7;6;26.272.537,50;1 x;1.877.777,00   ;15.547,10   ;7 x           ;86 x         ;983 x         ;10.097 x        ;99.818 x    ;995.740 x    ;;1.237.277;;1.877.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
11.;15.03.;3;4;0;3;0;8;0;25.573.100,00;1 x;1.777.777,00   ;56.017,50   ;8 x           ;87 x         ;833 x         ;8.186 x        ;82.296 x    ;833.665 x    ;;1.106.732;;1.777.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
12.;22.03.;0;1;8;3;4;3;3;25.694.020,00;1 x;1.877.777,00   ;5.085,30   ;11 x           ;82 x         ;983 x         ;9.172 x        ;92.444 x    ;925.518 x    ;;925.076;;1.877.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
13.;29.03.;7;6;5;5;6;6;0;25.042.610,00;JP;;1.785.614,90   ;6 x           ;68 x         ;895 x         ;8.328 x        ;81.556 x    ;819.078 x    ;;1.028.211;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
14.;05.04.;4;8;5;5;7;2;9;24.722.437,50;1 x;3.477.777,00   ;65.603,20   ;6 x           ;95 x         ;925 x         ;8.650 x        ;89.086 x    ;884.193 x    ;;909.931;;3.477.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
15.;12.04.;6;2;1;3;1;6;8;25.072.810,00;JP;;1.848.280,00   ;15 x           ;98 x         ;953 x         ;9.549 x        ;93.163 x    ;924.909 x    ;;982.956;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
