Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1998;;;;;Spiel 77 Samstag;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;Alle Zahlenangaben ohne Gewähr;
;;;;;;;;;;;;;;;;;;;;;;;;
VA;1998;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;VA;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;
1.;03.01.;1;0;5;0;7;1;3;27.363.432,50;2  x  ;977.777,00   ;27.414,20   ;6  x  ;107  x  ;1.128  x  ;10.962  x  ;110.288  x  ;971.826  x  ;;;;;1.;1.955.554,00
2.;10.01.;7;5;0;6;2;0;4;29.943.842,50;2  x  ;1.077.777,00   ;867,40   ;11  x  ;105  x  ;977  x  ;9.815  x  ;96.050  x  ;1.053.272  x  ;;;;;2.;2.155.554,00
3.;17.01.;2;6;8;2;3;9;2;31.264.025,00;JP;;2.223.739,60   ;19  x  ;107  x  ;1.074  x  ;10.750  x  ;105.453  x  ;1.074.880  x  ;;;;;3.;
4.;24.01.;3;1;9;1;6;1;6;27.711.665,00;2  x  ;2.077.777,00   ;38.485,00   ;12  x  ;122  x  ;1.061  x  ;10.288  x  ;101.957  x  ;1.046.901  x  ;;;;;4.;4.155.554,00
5.;31.01.;4;8;9;5;8;9;9;27.365.600,00;1  x  ;1.977.777,00   ;6.402,20   ;14  x  ;99  x  ;1.024  x  ;10.117  x  ;101.623  x  ;1.004.203  x  ;;;;;5.;1.977.777,00
6.;07.02.;3;2;5;6;8;0;6;27.360.232,50;1  x  ;1.877.777,00   ;73.937,70   ;9  x  ;91  x  ;918  x  ;9.109  x  ;92.871  x  ;1.053.551  x  ;;;;;6.;1.877.777,00
7.;14.02.;0;6;1;4;5;4;4;27.945.447,50;JP;;2.060.859,00   ;16  x  ;106  x  ;1.011  x  ;9.970  x  ;99.359  x  ;974.569  x  ;;;;;7.;
8.;21.02.;5;6;0;4;5;6;4;27.036.165,00;JP;;3.983.130,30   ;14  x  ;82  x  ;893  x  ;9.635  x  ;95.459  x  ;934.974  x  ;;;;;8.;
9.;28.02.;4;1;5;8;2;9;4;29.096.702,50;1  x  ;5.977.777,00   ;74.128,80   ;14  x  ;108  x  ;1.029  x  ;10.254  x  ;100.779  x  ;1.019.327  x  ;;;;;9.;5.977.777,00
10.;07.03.;7;8;0;8;2;1;2;30.997.867,50;1  x  ;2.277.777,00   ;300,20   ;11  x  ;106  x  ;1.098  x  ;10.842  x  ;108.157  x  ;1.069.159  x  ;;;;;10.;2.277.777,00
11.;14.03.;5;6;6;6;8;6;7;37.100.685,00;1  x  ;2.577.777,00   ;60.381,90   ;21  x  ;141  x  ;1.470  x  ;14.173  x  ;142.304  x  ;1.441.294  x  ;;;;;11.;2.577.777,00
12.;21.03.;1;5;6;8;8;6;3;28.497.702,50;4  x  ;477.777,00   ;175.460,50   ;18  x  ;102  x  ;980  x  ;10.353  x  ;104.004  x  ;1.051.129  x  ;;;;;12.;1.911.108,00
13.;28.03.;5;5;3;9;2;3;8;28.361.750,00;JP;;2.191.980,90   ;6  x  ;116  x  ;1.081  x  ;10.760  x  ;107.433  x  ;1.072.668  x  ;;;;;13.;
14.;04.04.;6;6;5;1;9;9;2;28.745.077,50;JP;;4.235.755,90   ;11  x  ;83  x  ;925  x  ;9.596  x  ;100.014  x  ;993.843  x  ;;;;;14.;
15.;11.04.;0;8;2;1;4;3;2;27.199.135,00;JP;;6.169.614,40   ;9  x  ;111  x  ;984  x  ;9.800  x  ;95.693  x  ;935.855  x  ;;;;;15.;
16.;18.04.;1;3;1;3;0;6;8;28.342.452,50;JP;;8.184.762,80   ;10  x  ;114  x  ;1.065  x  ;10.481  x  ;108.522  x  ;1.062.127  x  ;;;;;16.;
17.;25.04.;0;0;9;5;3;5;2;30.185.777,50;2  x  ;5.077.777,00   ;175.417,60   ;18  x  ;120  x  ;1.063  x  ;11.080  x  ;107.120  x  ;1.061.902  x  ;;;;;17.;10.155.554,00
18.;02.05.;5;0;0;2;1;2;7;26.610.970,00;1  x  ;1.977.777,00   ;89.680,60   ;5  x  ;86  x  ;1.044  x  ;10.648  x  ;106.722  x  ;1.042.612  x  ;;;;;18.;1.977.777,00
19.;09.05.;4;3;4;7;5;3;2;31.458.367,50;3  x  ;677.777,00   ;293.039,50   ;14  x  ;90  x  ;1.174  x  ;11.586  x  ;114.723  x  ;1.119.875  x  ;;;;;19.;2.033.331,00
20.;16.05.;8;0;1;6;9;9;0;27.115.122,50;1  x  ;2.177.777,00   ;43.147,70   ;8  x  ;66  x  ;791  x  ;8.015  x  ;80.776  x  ;823.781  x  ;;;;;20.;2.177.777,00
21.;23.05.;1;7;0;9;3;7;7;27.166.665,00;2  x  ;977.777,00   ;19.143,60   ;7  x  ;113  x  ;1.123  x  ;11.440  x  ;115.719  x  ;1.070.047  x  ;;;;;21.;1.955.554,00
