Spiel 77 Samstag / Spiel 77;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Kalenderwoche 2000;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
KW;2000;Ziehung;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;
;;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;
;;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;
1.;08.01.;;7;7;5;9;6;3;3;30.300.577,50      ;1  x  ;4.677.777,00   ;51.509,70   ;15  x  ;115  x  ;1.140  x  ;11.413  x  ;115.958  x  ;1.169.620  x  ;;;;;
2.;15.01.;;9;2;2;3;9;1;6;30.085.227,50      ;JP;;2.190.569,40   ;9  x  ;111  x  ;1.113  x  ;11.009  x  ;108.772  x  ;1.108.550  x  ;;;;;
3.;22.01.;;0;6;4;6;6;2;7;31.357.947,50      ;3  x  ;1.377.777,00   ;286.788,50   ;9  x  ;120  x  ;1.233  x  ;12.530  x  ;125.132  x  ;1.215.046  x  ;;;;;
4.;29.01.;;4;2;3;1;3;1;7;29.542.560,00      ;2  x  ;1.177.777,00   ;31.710,50   ;11  x  ;120  x  ;1.213  x  ;11.677  x  ;115.682  x  ;1.143.105  x  ;;;;;
5.;05.02.;;4;4;7;4;4;0;9;29.264.787,50      ;1  x  ;2.077.777,00   ;34.659,90   ;15  x  ;94  x  ;981  x  ;9.895  x  ;97.611  x  ;1.121.261  x  ;;;;;
6.;12.02.;;0;7;8;8;9;5;2;28.851.040,00      ;JP;;2.085.968,80   ;10  x  ;96  x  ;1.015  x  ;10.044  x  ;99.502  x  ;957.966  x  ;;;;;
7.;19.02.;;5;8;6;5;0;8;9;28.643.080,00      ;JP;;4.122.491,80   ;13  x  ;94  x  ;1.076  x  ;10.287  x  ;106.527  x  ;1.083.795  x  ;;;;;
8.;26.02.;;1;0;4;4;1;5;3;29.488.857,50      ;JP;;6.219.149,60   ;17  x  ;109  x  ;1.158  x  ;11.622  x  ;115.897  x  ;1.145.475  x  ;;;;;
9.;04.03.;;4;4;2;0;1;0;0;30.791.937,50      ;JP;;8.408.456,40   ;6  x  ;90  x  ;939  x  ;9.675  x  ;98.112  x  ;908.222  x  ;;;;;
10.;11.03.;;3;6;1;0;3;7;1;32.682.540,00      ;JP;;10.732.185,00   ;6  x  ;95  x  ;975  x  ;10.400  x  ;102.085  x  ;1.033.653  x  ;;;;;
11.;18.03.;;6;6;9;4;7;3;1;32.279.105,00      ;1  x  ;12.977.777,00   ;49.452,40   ;7  x  ;91  x  ;1.049  x  ;10.271  x  ;102.146  x  ;1.013.480  x  ;;;;;
12.;25.03.;;8;8;3;5;6;8;6;28.796.347,50      ;2  x  ;977.777,00   ;141.318,70   ;11  x  ;100  x  ;1.145  x  ;10.517  x  ;103.832  x  ;1.056.646  x  ;;;;;
13.;01.04.;;6;4;9;5;4;1;5;28.963.775,00      ;JP;;2.200.643,10   ;16  x  ;106  x  ;1.119  x  ;10.703  x  ;106.170  x  ;1.101.351  x  ;;;;;
14.;08.04.;;3;5;9;3;5;2;3;29.873.260,00      ;2  x  ;2.077.777,00   ;169.077,90   ;11  x  ;105  x  ;1.154  x  ;11.569  x  ;115.886  x  ;1.157.919  x  ;;;;;
15.;15.04.;;1;1;6;6;2;4;3;28.413.710,00      ;5  x  ;377.777,00   ;300.407,70   ;13  x  ;132  x  ;1.169  x  ;11.157  x  ;109.527  x  ;1.101.594  x  ;;;;;
16.;22.04.;;6;0;0;4;5;6;0;27.784.092,50      ;2  x  ;1.077.777,00   ;120.302,70   ;12  x  ;89  x  ;812  x  ;8.298  x  ;81.481  x  ;815.774  x  ;;;;;
17.;29.04.;;7;2;4;5;4;3;9;27.650.617,50      ;1  x  ;2.077.777,00   ;8.484,60   ;12  x  ;123  x  ;1.099  x  ;10.680  x  ;106.589  x  ;1.048.701  x  ;;;;;
18.;06.05.;;1;7;7;7;1;6;5;28.439.245,00      ;JP;;2.030.514,90   ;13  x  ;109  x  ;1.055  x  ;10.676  x  ;109.444  x  ;1.072.020  x  ;;;;;
19.;13.05.;;9;4;6;7;4;4;0;27.308.602,50      ;JP;;3.972.156,50   ;5  x  ;90  x  ;806  x  ;8.032  x  ;80.197  x  ;806.394  x  ;;;;;
20.;20.05.;;4;4;3;4;9;9;2;28.146.272,50      ;1  x  ;5.877.777,00   ;95.579,50   ;12  x  ;79  x  ;852  x  ;8.921  x  ;92.915  x  ;937.386  x  ;;;;;
21.;27.05.;;8;6;7;9;2;8;2;28.098.262,50      ;JP;;2.093.366,00   ;16  x  ;88  x  ;886  x  ;9.145  x  ;92.413  x  ;930.545  x  ;;;;;
22.;03.06.;;1;0;2;5;1;0;4;29.096.480,00      ;JP;;4.162.125,70   ;13  x  ;95  x  ;868  x  ;9.087  x  ;89.431  x  ;994.998  x  ;;;;;
23.;10.06.;;4;9;6;8;5;6;8;27.294.777,50      ;3  x  ;1.977.777,00   ;169.453,40   ;13  x  ;122  x  ;1.161  x  ;11.431  x  ;115.451  x  ;1.109.744  x  ;;;;;
