Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2007;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;03.01.;MI;5;7;0;1;8;8;8;4.909.797,00   ;1  x   ;1.270.000,00   ;41.108,70   ;12  x   ;34  x   ;487  x   ;4.931  x   ;35.474  x   ;341.172  x   ;;;;
;06.01.;SA;7;6;3;9;1;5;6;12.303.930,00   ;JP;;861.780,80   ;7  x   ;97  x   ;829  x   ;8.085  x   ;83.147  x   ;780.994  x   ;;;;
2.;10.01.;MI;8;4;9;0;2;4;6;5.144.952,00   ;JP;;1.204.949,10   ;1  x   ;32  x   ;380  x   ;3.709  x   ;35.402  x   ;331.611  x   ;;;;
;13.01.;SA;6;9;1;2;8;6;8;13.544.067,00   ;JP;;2.108.338,40   ;19  x   ;118  x   ;1.077  x   ;10.276  x   ;98.810  x   ;945.048  x   ;;;;
3.;17.01.;MI;3;1;0;1;8;1;0;5.121.048,00   ;JP;;2.449.912,30   ;4  x   ;20  x   ;257  x   ;2.384  x   ;22.937  x   ;236.136  x   ;;;;
;20.01.;SA;8;2;2;0;9;4;4;12.457.890,00   ;1  x   ;3.270.000,00   ;10.853,60   ;10  x   ;76  x   ;696  x   ;7.495  x   ;73.971  x   ;716.837  x   ;;;;
4.;24.01.;MI;0;9;5;2;4;7;6;4.717.312,50   ;JP;;325.498,30   ;4  x   ;36  x   ;275  x   ;2.992  x   ;30.282  x   ;311.567  x   ;;;;
;27.01.;SA;3;5;3;1;5;2;4;12.145.573,50   ;3  x   ;370.000,00   ;25.608,10   ;7  x   ;83  x   ;732  x   ;7.174  x   ;73.396  x   ;698.649  x   ;;;;
5.;31.01.;MI;3;8;4;4;5;5;3;4.798.540,50   ;JP;;345.670,80   ;2  x   ;18  x   ;298  x   ;2.941  x   ;30.342  x   ;297.912  x   ;;;;
;03.02.;SA;3;5;4;9;0;5;6;12.524.220,00   ;1  x   ;1.170.000,00   ;11.036,30   ;7  x   ;76  x   ;781  x   ;7.836  x   ;86.327  x   ;796.392  x   ;;;;
6.;07.02.;MI;0;0;6;7;3;1;8;4.897.344,00   ;JP;;337.689,10   ;4  x   ;30  x   ;333  x   ;3.308  x   ;33.717  x   ;350.682  x   ;;;;
