Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2011;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2011;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
1.;05.01.;MI;9;2;3;3;3;0;1;7.255.320,00   ;JP;;9.318.400,80   ;2  x   ;21  x   ;196  x   ;2.134  x   ;22.067  x   ;238.228  x   ;
;08.01.;SA;2;2;5;7;4;4;2;17.450.252,50   ;JP;;10.559.113,80   ;5  x   ;54  x   ;518  x   ;5.519  x   ;56.107  x   ;545.551  x   ;737224
2.;12.01.;MI;3;8;2;1;8;8;8;8.043.365,00   ;1  x   ;11.077.777,00   ;53.220,10   ;3  x   ;53  x   ;618  x   ;5.821  x   ;35.456  x   ;315.655  x   ;
;15.01.;SA;2;5;8;6;8;9;1;16.525.622,50   ;JP;;1.228.191,90   ;4  x   ;32  x   ;499  x   ;4.892  x   ;49.497  x   ;526.958  x   ;
3.;19.01.;MI;2;9;0;5;7;7;6;6.648.782,50   ;1  x   ;1.677.777,00   ;23.143,30   ;5  x   ;25  x   ;239  x   ;2.410  x   ;25.698  x   ;253.884  x   ;
;22.01.;SA;4;9;2;6;5;4;6;16.111.147,50   ;1  x   ;1.077.777,00   ;90.868,90   ;9  x   ;56  x   ;617  x   ;6.260  x   ;62.646  x   ;599.177  x   ;
4.;26.01.;MI;0;3;5;3;7;2;1;7.511.245,00   ;JP;;624.918,40   ;4  x   ;23  x   ;261  x   ;2.455  x   ;24.882  x   ;245.633  x   ;
;29.01.;SA;9;4;9;8;3;2;8;17.735.855,00   ;JP;;1.885.937,70   ;7  x   ;67  x   ;720  x   ;7.147  x   ;71.337  x   ;716.784  x   ;
5.;02.02.;MI;8;6;1;0;1;1;5;6.834.042,50   ;JP;;2.371.838,10   ;6  x   ;21  x   ;298  x   ;2.711  x   ;28.579  x   ;295.399  x   ;
;05.02.;SA;4;2;2;2;4;3;1;16.465.572,50   ;JP;;3.542.540,30   ;12  x   ;43  x   ;545  x   ;5.449  x   ;53.334  x   ;518.144  x   ;
6.;09.02.;MI;0;5;0;6;2;7;7;7.108.992,50   ;JP;;4.047.989,70   ;4  x   ;25  x   ;313  x   ;3.226  x   ;36.293  x   ;277.558  x   ;
;12.02.;SA;8;9;8;4;4;0;7;17.028.520,00   ;JP;;5.258.717,50   ;10  x   ;52  x   ;623  x   ;6.017  x   ;61.187  x   ;713.742  x   ;
7.;16.02.;MI;3;9;0;8;1;1;2;8.038.615,00   ;JP;;5.830.263,00   ;2  x   ;25  x   ;248  x   ;2.508  x   ;25.423  x   ;250.339  x   ;
;19.02.;SA;7;9;6;0;8;3;1;18.320.702,50   ;2  x   ;3.477.777,00   ;177.310,90   ;7  x   ;62  x   ;592  x   ;6.166  x   ;61.255  x   ;594.008  x   ;
8.;23.02.;MI;2;6;2;9;5;3;2;8.865.780,00   ;1  x   ;777.777,00   ;29.890,90   ;2  x   ;35  x   ;292  x   ;2.799  x   ;28.141  x   ;280.678  x   ;
;26.02.;SA;3;8;2;9;9;7;6;16.442.110,00   ;JP;;1.198.924,90   ;3  x   ;64  x   ;630  x   ;6.261  x   ;61.199  x   ;614.032  x   ;
9.;02.03.;MI;1;8;3;4;4;7;6;7.220.267,50   ;1  x   ;1.677.777,00   ;34.508,90   ;4  x   ;41  x   ;275  x   ;2.753  x   ;28.492  x   ;274.937  x   ;
;05.03.;SA;3;3;1;0;3;0;2;16.719.125,00   ;JP;;1.223.238,70   ;6  x   ;43  x   ;471  x   ;4.668  x   ;46.894  x   ;533.885  x   ;
10.;09.03.;MI;5;9;4;3;5;1;7;7.617.425,00   ;JP;;1.764.837,60   ;3  x   ;25  x   ;288  x   ;2.882  x   ;30.006  x   ;310.292  x   ;
;12.03.;SA;8;2;6;9;1;3;0;17.628.395,00   ;1  x   ;2.977.777,00   ;40.439,50   ;6  x   ;44  x   ;514  x   ;4.916  x   ;48.447  x   ;500.452  x   ;
11.;16.03.;MI;2;9;8;2;5;7;1;8.558.472,50   ;1  x   ;577.777,00   ;71.169,90   ;2  x   ;28  x   ;252  x   ;2.734  x   ;27.770  x   ;287.104  x   ;
