Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
VA;2017;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;04.01.;MI;6;2;2;3;0;4;3;5.932.170,00   ;1  x   ;377.777,00   ;63.108,60   ;4  x   ;20  x   ;206  x   ;2.120  x   ;22.289  x   ;231.162  x   ;;;;
;07.01.;SA;8;1;7;0;2;3;6;14.277.225,00   ;2  x   ;477.777,00   ;122.665,30   ;3  x   ;75  x   ;516  x   ;5.399  x   ;54.113  x   ;529.074  x   ;737224;;;
2.;11.01.;MI;5;3;6;6;0;3;1;6.156.380,00   ;JP;;560.383,90   ;2  x   ;18  x   ;164  x   ;1.787  x   ;18.844  x   ;185.315  x   ;;;;
;14.01.;SA;8;0;5;7;8;3;6;14.115.580,00   ;JP;;1.564.001,60   ;4  x   ;51  x   ;584  x   ;5.439  x   ;54.711  x   ;529.899  x   ;;;;
3.;18.01.;MI;1;5;3;5;2;8;4;6.397.535,00   ;1  x   ;1.977.777,00   ;41.089,30   ;3  x   ;29  x   ;263  x   ;2.193  x   ;21.535  x   ;214.416  x   ;;;;
;21.01.;SA;9;1;4;2;4;4;9;14.022.892,50   ;2  x   ;477.777,00   ;82.563,00   ;6  x   ;52  x   ;483  x   ;5.047  x   ;52.142  x   ;507.871  x   ;;;;
4.;25.01.;MI;4;4;4;4;1;5;0;6.744.707,50   ;1  x   ;477.777,00   ;84.334,70   ;2  x   ;24  x   ;202  x   ;1.967  x   ;19.295  x   ;186.430  x   ;;;;
;28.01.;SA;5;4;6;0;4;6;7;12.874.985,00   ;1  x   ;977.777,00   ;21.969,10   ;6  x   ;51  x   ;533  x   ;5.600  x   ;55.330  x   ;562.998  x   ;;;;
5.;01.02.;MI;3;7;9;4;4;7;3;5.230.500,00   ;JP;;393.857,70   ;3  x   ;11  x   ;217  x   ;2.125  x   ;21.116  x   ;206.571  x   ;;;;
;04.02.;SA;3;7;2;0;3;5;2;12.792.637,50   ;2  x   ;577.777,00   ;147.860,20   ;7  x   ;43  x   ;387  x   ;4.486  x   ;44.313  x   ;413.396  x   ;;;;
6.;08.02.;MI;8;2;5;5;0;1;8;5.378.665,00   ;1  x   ;477.777,00   ;52.506,30   ;2  x   ;11  x   ;199  x   ;1.754  x   ;19.682  x   ;201.837  x   ;;;;
;11.02.;SA;0;0;3;7;6;2;8;12.920.272,50   ;JP;;971.137,70   ;6  x   ;62  x   ;533  x   ;5.094  x   ;49.625  x   ;498.314  x   ;;;;
7.;15.02.;MI;5;0;5;3;1;4;7;5.139.790,00   ;JP;;1.336.576,80   ;1  x   ;28  x   ;237  x   ;2.278  x   ;23.015  x   ;227.736  x   ;;;;
;18.02.;SA;1;3;7;0;3;0;8;12.443.105,00   ;JP;;2.221.281,60   ;6  x   ;51  x   ;380  x   ;3.978  x   ;39.821  x   ;496.069  x   ;;;;
8.;22.02.;MI;6;7;3;2;5;6;8;5.286.880,00   ;1  x   ;2.577.777,00   ;19.401,80   ;2  x   ;25  x   ;202  x   ;2.196  x   ;20.802  x   ;201.942  x   ;;;;
;25.02.;SA;5;8;7;0;1;6;2;12.544.815,00   ;JP;;911.338,10   ;5  x   ;39  x   ;437  x   ;4.142  x   ;41.988  x   ;409.843  x   ;;;;
9.;01.03.;MI;3;7;5;1;7;3;6;5.545.082,50   ;1  x   ;1.277.777,00   ;27.816,50   ;2  x   ;22  x   ;219  x   ;2.188  x   ;21.514  x   ;211.429  x   ;;;;
;04.03.;SA;2;6;2;1;0;6;9;13.067.552,50   ;1  x   ;877.777,00   ;79.142,50   ;5  x   ;54  x   ;507  x   ;4.693  x   ;51.524  x   ;474.489  x   ;;;;
10.;08.03.;MI;9;2;5;8;8;7;9;5.809.662,50   ;JP;;492.209,50   ;3  x   ;16  x   ;201  x   ;2.120  x   ;20.670  x   ;201.195  x   ;;;;
;11.03.;SA;1;6;9;5;1;8;5;13.231.280,00   ;JP;;1.432.953,50   ;9  x   ;62  x   ;572  x   ;5.497  x   ;56.185  x   ;561.222  x   ;;;;
11.;15.03.;MI;4;4;3;8;5;4;3;6.050.220,00   ;3  x   ;577.777,00   ;129.793,10   ;4  x   ;23  x   ;249  x   ;2.289  x   ;23.114  x   ;237.351  x   ;;;;
;18.03.;SA;7;6;9;1;1;1;4;13.629.850,00   ;JP;;1.098.875,40   ;6  x   ;50  x   ;402  x   ;4.322  x   ;45.266  x   ;450.485  x   ;;;;
12.;22.03.;MI;2;2;5;9;8;7;5;5.185.990,00   ;JP;;1.467.599,30   ;1  x   ;23  x   ;244  x   ;2.332  x   ;23.008  x   ;215.638  x   ;;;;
;25.03.;SA;7;1;6;9;8;1;0;12.478.920,00   ;JP;;2.354.850,50   ;3  x   ;33  x   ;302  x   ;3.313  x   ;32.400  x   ;326.601  x   ;;;;
13.;29.03.;MI;8;7;4;2;1;8;4;5.193.462,50   ;1  x   ;2.677.777,00   ;46.328,70   ;1  x   ;20  x   ;187  x   ;1.752  x   ;17.450  x   ;172.064  x   ;;;;
;01.04.;SA;3;6;1;5;8;3;1;13.007.977,50   ;1  x   ;877.777,00   ;93.418,90   ;3  x   ;49  x   ;407  x   ;3.947  x   ;39.514  x   ;388.446  x   ;;;;
14.;05.04.;MI;6;5;8;8;3;3;0;5.066.875,00   ;JP;;453.673,70   ;unbesetzt;17  x   ;137  x   ;1.327  x   ;13.245  x   ;138.401  x   ;;;;
;08.04.;SA;3;6;7;5;5;2;9;12.711.395,00   ;JP;;1.357.453,90   ;3  x   ;46  x   ;472  x   ;4.715  x   ;47.270  x   ;468.055  x   ;;;;
15.;12.04.;MI;4;5;7;6;9;5;3;5.275.030,00   ;JP;;1.732.508,50   ;2  x   ;23  x   ;196  x   ;2.404  x   ;22.022  x   ;206.462  x   ;;;;
;15.04.;SA;6;2;8;9;3;0;5;13.074.382,50   ;JP;;2.662.097,10   ;7  x   ;45  x   ;434  x   ;4.659  x   ;45.811  x   ;563.071  x   ;;;;
16.;19.04.;MI;8;4;2;2;6;6;9;5.203.755,00   ;JP;;3.032.084,10   ;2  x   ;14  x   ;206  x   ;1.885  x   ;19.553  x   ;180.237  x   ;;;;
;22.04.;SA;2;1;5;2;1;6;8;12.625.687,50   ;1  x   ;3.877.777,00   ;51.993,50   ;12  x   ;40  x   ;530  x   ;5.117  x   ;52.733  x   ;490.495  x   ;;;;
17.;26.04.;MI;7;4;7;1;3;2;5;4.974.112,50   ;JP;;405.652,90   ;1  x   ;19  x   ;203  x   ;2.128  x   ;21.145  x   ;206.296  x   ;;;;
;29.04.;SA;1;7;7;7;9;5;4;12.396.247,50   ;JP;;1.287.026,10   ;7  x   ;47  x   ;435  x   ;4.718  x   ;42.444  x   ;407.178  x   ;;;;
18.;03.05.;MI;5;8;3;5;5;3;3;5.088.935,00   ;1  x   ;1.577.777,00   ;71.072,40   ;5  x   ;13  x   ;211  x   ;1.911  x   ;20.217  x   ;199.669  x   ;;;;
;06.05.;SA;5;7;2;1;3;5;1;12.394.390,00   ;JP;;952.313,50   ;4  x   ;42  x   ;400  x   ;3.956  x   ;38.242  x   ;367.305  x   ;;;;
19.;10.05.;MI;5;5;3;7;3;7;8;5.416.737,50   ;JP;;1.337.443,50   ;1  x   ;21  x   ;186  x   ;2.080  x   ;20.850  x   ;205.613  x   ;;;;
;13.05.;SA;6;8;8;9;3;3;6;12.672.477,50   ;JP;;2.238.456,70   ;2  x   ;47  x   ;461  x   ;4.761  x   ;49.737  x   ;473.449  x   ;;;;
20.;17.05.;MI;9;9;1;2;3;8;3;5.418.387,50   ;JP;;2.623.704,10   ;5  x   ;23  x   ;181  x   ;2.123  x   ;21.483  x   ;213.036  x   ;;;;
