Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1991
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;Spieleinsatz;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1991;Gewinnzahl;;;;;End-;DM;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;05.01.;;;;;;;;;;;;;
2.;12.01.;;;;;;;;;;;;;
3.;19.01.;;;;;;;;;;;;;
4.;26.01.;;;;;;;;;;;;;
5.;02.02.;;;;;;;;;;;;;
6.;09.02.;;;;;;;;;;;;;
7.;16.02.;;;;;;;;;;;;;
8.;23.02.;;;;;;;;;;;;;
9.;02.03.;;;;;;;;;;;;;
10.;09.03.;;;;;;;;;;;;;
11.;16.03.;;;;;;;;;;;;;
12.;23.03.;;;;;;;;;;;;;
13.;30.03.;;;;;;;;;;;;;
14.;06.04.;;;;;;;;;;;;;
15.;13.04.;;;;;;;;;;;;;
16.;20.04.;;;;;;;;;;;;;
17.;27.04.;;;;;;;;;;;;;
18.;04.05.;;;;;;;;;;;;;
19.;11.05.;;;;;;;;;;;;;
20.;18.05.;;;;;;;;;;;;;
21.;25.05.;;;;;;;;;;;;;
22.;01.06.;;;;;;;;;;;;;
23.;08.06.;;;;;;;;;;;;;
24.;15.06.;;;;;;;;;;;;;
25.;22.06.;;;;;;;;;;;;;
26.;29.06.;;;;;;;;;;;;;
27.;06.07.;;;;;;;;;;;;;
28.;13.07.;;;;;;;;;;;;;
29.;20.07.;;;;;;;;;;;;;
30.;27.07.;;;;;;;;;;;;;
31.;03.08.;;;;;;;;;;;;;
32.;10.08.;;;;;;;;;;;;;
33.;17.08.;;;;;;;;;;;;;
34.;24.08.;;;;;;;;;;;;;
35.;31.08.;;;;;;;;;;;;;
36.;07.09.;2;9;4;3;9;4;3.625.422,00       ;2 x               ;19 x           ;168 x           ;1.619 x       ;16.580 x    ;162.794 x    
37.;14.09.;2;5;4;8;5;9;3.565.260,00       ;3 x               ;15 x           ;175 x           ;1.694 x       ;16.595 x    ;166.105 x    
38.;21.09.;3;1;4;5;3;5;3.630.996,00       ;unbesetzt;19 x           ;163 x           ;1.697 x       ;16.940 x    ;166.514 x    
39.;28.09.;9;2;2;9;1;7;3.831.738,00       ;2 x               ;21 x           ;192 x           ;1.811 x       ;18.256 x    ;181.303 x    
40.;05.10.;0;4;6;7;6;7;4.422.344,00       ;1 x               ;19 x           ;202 x           ;2.083 x       ;20.284 x    ;202.647 x    
41.;12.10.;3;5;7;9;2;9;4.140.862,00       ;2 x               ;19 x           ;176 x           ;1.947 x       ;19.489 x    ;191.838 x    
42.;19.10.;0;6;9;5;4;9;4.313.558,00       ;1 x               ;26 x           ;191 x           ;2.020 x       ;19.976 x    ;195.453 x    
43.;26.10.;7;5;1;2;0;5;4.340.116,00       ;1 x               ;26 x           ;201 x           ;1.890 x       ;18.313 x    ;200.193 x    
44.;02.11.;8;7;3;0;1;2;4.284.820,00       ;4 x               ;30 x           ;178 x           ;1.721 x       ;19.148 x    ;190.653 x    
45.;09.11.;9;1;9;8;4;4;4.978.688,00       ;1 x               ;26 x           ;236 x           ;2.287 x       ;23.013 x    ;226.108 x    
46.;16.11.;4;1;8;2;7;9;4.812.334,00       ;1 x               ;30 x           ;229 x           ;2.309 x       ;22.203 x    ;221.687 x    
47.;23.11.;5;1;6;2;7;1;4.328.224,00       ;3 x               ;16 x           ;172 x           ;1.917 x       ;18.687 x    ;188.896 x    
48.;30.11.;1;6;6;3;0;9;4.515.574,00       ;5 x               ;25 x           ;190 x           ;1.968 x       ;19.359 x    ;208.820 x    
49.;07.12.;8;3;8;6;8;2;5.693.584,00       ;1 x               ;30 x           ;253 x           ;2.657 x       ;25.589 x    ;255.761 x    
50.;14.12.;5;3;1;4;5;7;5.085.022,00       ;1 x               ;26 x           ;256 x           ;2.433 x       ;23.148 x    ;235.747 x    
51.;21.12.;3;9;5;3;9;2;5.641.802,00       ;2 x               ;27 x           ;228 x           ;2.601 x       ;25.456 x    ;252.016 x    
52.;28.12.;2;7;3;4;3;0;4.971.700,00       ;3 x               ;21 x           ;187 x           ;2.098 x       ;20.805 x    ;207.864 x    
;;;;;;;Gewinne Gesamt;;33 x               ;395 x    ;3.397 x    ;34.752 x       ;343.841 x    ;3.454.399 x    
