Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
VA;1997;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM
;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;04.01.;6;3;9;6;9;3;15.309.802,00       ;6 x               ;50 x           ;732 x           ;6.833 x       ;67.995 x    ;685.575 x    
2.;11.01.;5;1;0;1;4;5;18.790.030,00       ;6 x               ;96 x           ;973 x           ;9.417 x       ;91.417 x    ;902.923 x    
3.;18.01.;4;5;3;4;3;6;16.113.034,00       ;9 x               ;69 x           ;784 x           ;7.437 x       ;75.221 x    ;738.495 x    
4.;25.01.;0;1;3;8;2;7;15.752.178,00       ;10 x               ;74 x           ;724 x           ;7.531 x       ;76.408 x    ;752.160 x    
5.;01.02.;8;4;2;6;7;2;15.865.686,00       ;14 x               ;69 x           ;679 x           ;6.971 x       ;69.580 x    ;690.088 x    
6.;08.02.;2;0;7;7;6;6;15.529.072,00       ;9 x               ;69 x           ;743 x           ;7.290 x       ;73.882 x    ;721.690 x    
7.;15.02.;6;1;6;0;4;3;15.578.094,00       ;8 x               ;57 x           ;687 x           ;6.936 x       ;70.519 x    ;695.012 x    
8.;22.02.;0;4;7;2;3;2;15.600.332,00       ;8 x               ;58 x           ;673 x           ;6.818 x       ;67.869 x    ;673.168 x    
9.;01.03.;9;0;9;3;1;0;18.705.290,00       ;9 x               ;75 x           ;796 x           ;7.842 x       ;77.773 x    ;768.042 x    
10.;08.03.;2;6;3;2;8;4;16.265.530,00       ;7 x               ;77 x           ;691 x           ;7.188 x       ;72.159 x    ;721.776 x    
