Super 6 Samstag / Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Kalenderwoche 2000;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;
KW;2000;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 DM;10.000,00 DM;1.000,00 DM;100,00 DM;10,00 DM;5,00 DM;;
;;;;;;;;ziffer;DM;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;
1.;08.01.;;8;3;5;1;0;8;20.135.758,00       ;11  x  ;93  x  ;935  x  ;9.001  x  ;89.988  x  ;1.029.236  x  ;;1.129.264
2.;15.01.;;5;2;5;2;6;1;20.000.344,00       ;9  x  ;64  x  ;741  x  ;8.007  x  ;78.684  x  ;779.064  x  ;;866.569
3.;22.01.;;8;8;0;1;7;3;20.765.890,00       ;11  x  ;86  x  ;948  x  ;9.948  x  ;98.895  x  ;1.006.166  x  ;;1.116.054
4.;29.01.;;7;3;6;7;0;0;19.634.576,00       ;8  x  ;70  x  ;767  x  ;7.653  x  ;79.595  x  ;726.086  x  ;;814.179
5.;05.02.;;4;3;7;1;9;8;19.443.712,00       ;7  x  ;103  x  ;967  x  ;9.715  x  ;97.258  x  ;996.044  x  ;;1.104.094
6.;12.02.;;3;0;7;5;5;1;19.148.288,00       ;10  x  ;70  x  ;799  x  ;7.446  x  ;76.196  x  ;743.795  x  ;;828.316
7.;19.02.;;0;4;2;7;5;8;18.971.190,00       ;10  x  ;110  x  ;1.011  x  ;9.870  x  ;98.689  x  ;974.351  x  ;;1.084.041
8.;26.02.;;2;6;6;0;0;4;19.108.942,00       ;6  x  ;64  x  ;695  x  ;6.615  x  ;73.134  x  ;815.761  x  ;;896.275
9.;04.03.;;5;9;1;3;6;4;20.116.310,00       ;13  x  ;99  x  ;906  x  ;8.738  x  ;87.698  x  ;845.811  x  ;;943.265
10.;11.03.;;7;4;4;0;6;6;21.742.448,00       ;9  x  ;124  x  ;966  x  ;10.200  x  ;104.027  x  ;992.634  x  ;;1.107.960
11.;18.03.;;6;2;3;7;1;2;21.191.932,00       ;6  x  ;86  x  ;897  x  ;9.109  x  ;90.945  x  ;888.012  x  ;;989.055
