Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2006;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
KW;2006;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
1.;04.01.;MI;6;0;3;8;9;4;3.569.851,25   ;3  x   ;20  x   ;263  x   ;2.381  x   ;23.649  x   ;252.706  x   ;;;;
;07.01.;SA;8;7;1;2;7;5;9.328.313,75   ;10  x   ;82  x   ;791  x   ;7.783  x   ;77.469  x   ;764.517  x   ;;;;
2.;11.01.;MI;1;9;7;4;6;0;3.315.378,75   ;1  x   ;23  x   ;177  x   ;1.971  x   ;19.361  x   ;189.959  x   ;;;;
;14.01.;SA;4;6;4;0;0;6;9.400.601,25   ;4  x   ;60  x   ;566  x   ;5.749  x   ;61.935  x   ;717.259  x   ;;;;
3.;18.01.;MI;7;2;0;8;3;5;3.270.707,50   ;3  x   ;35  x   ;284  x   ;2.909  x   ;29.279  x   ;267.366  x   ;;;;
;21.01.;SA;8;2;1;3;5;8;8.960.483,75   ;8  x   ;91  x   ;769  x   ;7.658  x   ;77.329  x   ;733.346  x   ;;;;
4.;25.01.;MI;5;4;1;4;8;5;3.428.488,75   ;4  x   ;35  x   ;262  x   ;2.789  x   ;27.353  x   ;284.991  x   ;;;;
;28.01.;SA;3;4;6;3;1;1;9.534.288,75   ;8  x   ;56  x   ;640  x   ;6.415  x   ;64.435  x   ;622.482  x   ;;;;
5.;01.02.;MI;9;4;8;0;8;8;4.413.793,75   ;2  x   ;37  x   ;318  x   ;3.495  x   ;37.511  x   ;348.221  x   ;;;;
;04.02.;SA;6;5;5;0;5;0;11.177.308,75   ;10  x   ;71  x   ;652  x   ;6.413  x   ;65.999  x   ;642.090  x   ;;;;
6.;08.02.;MI;6;2;3;5;0;8;5.695.016,25   ;8  x   ;51  x   ;396  x   ;4.050  x   ;39.191  x   ;454.564  x   ;;;;
;11.02.;SA;8;8;5;1;8;5;13.299.733,75   ;7  x   ;102  x   ;1.168  x   ;10.765  x   ;106.949  x   ;1.070.490  x   ;;;;
7.;15.02.;MI;0;8;1;7;8;3;8.386.763,75   ;6  x   ;59  x   ;627  x   ;6.019  x   ;60.031  x   ;622.304  x   ;;;;
;18.02.;SA;5;7;3;9;0;4;10.199.045,00   ;6  x   ;69  x   ;614  x   ;6.228  x   ;62.957  x   ;710.499  x   ;;;;
8.;22.02.;MI;8;0;7;6;4;2;3.646.218,75   ;5  x   ;33  x   ;240  x   ;2.513  x   ;24.141  x   ;239.147  x   ;;;;
;25.02.;SA;2;2;1;4;7;5;9.229.883,75   ;7  x   ;79  x   ;803  x   ;7.927  x   ;78.250  x   ;769.226  x   ;;;;
9.;01.03.;MI;3;4;6;0;0;8;3.779.226,25   ;10  x   ;28  x   ;240  x   ;2.433  x   ;26.793  x   ;314.927  x   ;;;;
;04.03.;SA;4;4;8;6;0;0;9.676.775,00   ;6  x   ;65  x   ;595  x   ;5.615  x   ;57.889  x   ;542.438  x   ;;;;
10.;08.03.;MI;8;1;0;5;9;5;4.578.770,00   ;4  x   ;39  x   ;350  x   ;3.489  x   ;35.010  x   ;376.822  x   ;;;;
;11.03.;SA;2;4;7;4;6;0;10.943.917,50   ;3  x   ;72  x   ;618  x   ;6.389  x   ;64.195  x   ;625.589  x   ;;;;
11.;15.03.;MI;9;2;2;8;3;1;3.671.421,25   ;4  x   ;30  x   ;237  x   ;2.338  x   ;24.278  x   ;240.359  x   ;;;;
;18.03.;SA;9;6;5;0;2;7;9.116.026,25   ;10  x   ;60  x   ;678  x   ;7.030  x   ;73.427  x   ;725.278  x   ;;;;
12.;22.03.;MI;8;9;6;4;0;1;3.586.838,75   ;3  x   ;22  x   ;221  x   ;2.230  x   ;21.787  x   ;237.103  x   ;;;;
;25.03.;SA;5;0;5;6;0;1;8.925.176,25   ;6  x   ;43  x   ;530  x   ;5.235  x   ;53.639  x   ;587.339  x   ;;;;
13.;29.03.;MI;2;6;9;6;7;3;3.514.751,25   ;3  x   ;24  x   ;270  x   ;2.571  x   ;26.017  x   ;265.197  x   ;;;;
;01.04.;SA;5;2;9;9;4;4;9.433.660,00   ;8  x   ;74  x   ;655  x   ;6.653  x   ;66.730  x   ;645.680  x   ;;;;
14.;05.04.;MI;0;3;1;3;2;6;3.988.737,50   ;2  x   ;39  x   ;313  x   ;3.118  x   ;30.143  x   ;304.357  x   ;;;;
;08.04.;SA;2;5;6;5;2;3;10.071.987,50   ;9  x   ;76  x   ;734  x   ;7.627  x   ;73.975  x   ;733.013  x   ;;;;
15.;12.04.;MI;1;5;2;1;6;8;3.526.528,75   ;1  x   ;17  x   ;296  x   ;2.900  x   ;28.757  x   ;287.448  x   ;;;;
;15.04.;SA;3;6;0;2;6;2;9.060.670,00   ;2  x   ;49  x   ;622  x   ;5.975  x   ;60.255  x   ;592.265  x   ;;;;
16.;19.04.;MI;0;5;3;1;0;3;3.235.073,75   ;1  x   ;18  x   ;207  x   ;2.181  x   ;21.610  x   ;250.170  x   ;;;;
;22.04.;SA;7;6;2;8;7;2;8.752.961,25   ;9  x   ;66  x   ;561  x   ;5.828  x   ;57.358  x   ;573.317  x   ;;;;
17.;26.04.;MI;3;3;1;1;3;0;3.232.106,25   ;6  x   ;22  x   ;170  x   ;1.864  x   ;18.310  x   ;182.648  x   ;;;;
;29.04.;SA;0;6;2;8;0;7;8.989.786,25   ;8  x   ;70  x   ;608  x   ;6.237  x   ;64.184  x   ;728.141  x   ;;;;
18.;03.05.;MI;7;0;8;2;6;1;3.199.428,75   ;4  x   ;20  x   ;208  x   ;2.228  x   ;21.002  x   ;210.446  x   ;;;;
;06.05.;SA;7;5;5;9;9;2;8.742.627,50   ;6  x   ;57  x   ;569  x   ;5.631  x   ;55.348  x   ;575.434  x   ;;;;
19.;10.05.;MI;1;9;8;4;5;3;3.272.185,00   ;7  x   ;22  x   ;221  x   ;2.574  x   ;25.394  x   ;248.940  x   ;;;;
;13.05.;SA;6;8;4;1;0;2;8.833.683,75   ;4  x   ;45  x   ;526  x   ;5.148  x   ;51.719  x   ;590.761  x   ;;;;
20.;17.05.;MI;7;6;0;4;3;6;3.182.618,75   ;5  x   ;25  x   ;248  x   ;2.539  x   ;25.539  x   ;243.144  x   ;;;;
;20.05.;SA;6;8;7;5;2;3;8.607.652,50   ;8  x   ;80  x   ;657  x   ;6.654  x   ;63.359  x   ;621.787  x   ;;;;
21.;24.05.;MI;1;8;5;3;6;5;3.209.076,25   ;5  x   ;31  x   ;259  x   ;2.771  x   ;26.948  x   ;267.334  x   ;;;;
;27.05.;SA;1;1;1;6;2;9;8.409.357,50   ;7  x   ;77  x   ;552  x   ;5.817  x   ;57.863  x   ;581.378  x   ;;;;
22.;31.05.;MI;3;8;4;9;6;8;3.413.845,00   ;2  x   ;19  x   ;272  x   ;2.899  x   ;27.819  x   ;277.337  x   ;;;;
;03.06.;SA;3;3;6;8;4;5;9.273.021,25   ;8  x   ;97  x   ;837  x   ;8.014  x   ;78.636  x   ;760.015  x   ;;;;
23.;07.06.;MI;8;9;9;7;3;2;3.190.500,00   ;5  x   ;27  x   ;222  x   ;2.042  x   ;20.999  x   ;206.781  x   ;;;;
;10.06.;SA;1;5;0;5;8;6;8.416.807,50   ;4  x   ;69  x   ;654  x   ;6.314  x   ;61.583  x   ;632.034  x   ;;;;
24.;14.06.;MI;5;6;9;5;0;6;3.134.523,75   ;unbesetzt;25  x   ;205  x   ;2.151  x   ;21.433  x   ;244.417  x   ;;;;
;17.06.;SA;5;1;4;7;8;3;8.335.670,00   ;8  x   ;62  x   ;622  x   ;6.095  x   ;58.501  x   ;611.602  x   ;;;;
25.;21.06.;MI;8;3;6;9;8;6;3.255.743,75   ;2  x   ;28  x   ;208  x   ;2.393  x   ;24.416  x   ;254.062  x   ;;;;
;24.06.;SA;7;5;4;8;6;8;8.699.042,50   ;6  x   ;80  x   ;743  x   ;7.427  x   ;73.093  x   ;716.571  x   ;;;;
26.;28.06.;MI;1;3;8;5;2;9;3.897.405,00   ;5  x   ;33  x   ;270  x   ;2.569  x   ;25.997  x   ;258.579  x   ;;;;
;01.07.;SA;1;5;6;7;2;7;9.769.793,75   ;6  x   ;91  x   ;823  x   ;8.185  x   ;78.292  x   ;776.063  x   ;;;;
;;;;;;;Gewinne Gesamt;;;279   ;2.605   ;24.571   ;246.229   ;2.458.137   ;24.977.943   ;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Super 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2006;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
KW;2006;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;05.07.;MI;8;5;6;0;2;2;4.652.140,00   ;5  x   ;25  x   ;306  x   ;3.073  x   ;32.054  x   ;305.761  x   ;;;;
;08.07.;SA;8;4;8;2;7;0;10.969.758,75   ;5  x   ;70  x   ;645  x   ;6.225  x   ;62.506  x   ;631.736  x   ;;;;
28.;12.07.;MI;5;9;2;9;1;7;6.138.441,25   ;5  x   ;37  x   ;535  x   ;4.711  x   ;46.922  x   ;476.476  x   ;;;;
;15.07.;SA;0;3;1;4;6;4;9.026.213,75   ;11  x   ;66  x   ;639  x   ;6.360  x   ;63.806  x   ;621.691  x   ;;;;
29.;19.07.;MI;5;0;8;2;7;2;3.465.035,00   ;5  x   ;32  x   ;229  x   ;2.237  x   ;22.534  x   ;225.063  x   ;;;;
;22.07.;SA;3;9;7;6;1;6;8.699.865,00   ;8  x   ;62  x   ;673  x   ;6.521  x   ;63.246  x   ;664.211  x   ;;;;
30.;26.07.;MI;7;4;4;7;4;8;3.807.091,25   ;4  x   ;33  x   ;341  x   ;3.258  x   ;31.774  x   ;302.958  x   ;;;;
;29.07.;SA;7;8;1;0;6;1;8.517.560,00   ;3  x   ;62  x   ;501  x   ;5.299  x   ;56.280  x   ;551.368  x   ;;;;
31.;02.08.;MI;3;9;8;7;6;2;3.470.743,75   ;5  x   ;25  x   ;238  x   ;2.340  x   ;23.171  x   ;227.101  x   ;;;;
;05.08.;SA;5;8;1;7;8;6;8.848.023,75   ;5  x   ;69  x   ;659  x   ;6.796  x   ;67.073  x   ;676.476  x   ;;;;
32.;09.08.;MI;3;0;7;6;2;2;3.283.810,00   ;5  x   ;22  x   ;217  x   ;2.216  x   ;22.597  x   ;214.329  x   ;;;;
;12.08.;SA;7;0;6;6;8;7;8.431.780,00   ;9  x   ;61  x   ;712  x   ;6.933  x   ;64.380  x   ;678.308  x   ;;;;
33.;16.08.;MI;3;0;4;0;7;9;3.322.507,50   ;3  x   ;16  x   ;213  x   ;2.062  x   ;21.939  x   ;218.318  x   ;;;;
;19.08.;SA;2;7;2;4;7;8;8.332.196,25   ;7  x   ;68  x   ;681  x   ;7.410  x   ;72.129  x   ;694.759  x   ;;;;
34.;23.08.;MI;3;3;3;1;7;5;3.273.327,50   ;5  x   ;21  x   ;284  x   ;2.776  x   ;27.192  x   ;268.313  x   ;;;;
;26.08.;SA;5;9;2;4;0;7;8.642.518,75   ;4  x   ;63  x   ;618  x   ;6.042  x   ;61.981  x   ;704.922  x   ;;;;
35.;30.08.;MI;6;7;2;5;2;9;3.191.841,25   ;3  x   ;14  x   ;232  x   ;2.198  x   ;21.138  x   ;209.866  x   ;;;;
;02.09.;SA;2;5;4;8;8;4;8.568.927,50   ;6  x   ;53  x   ;591  x   ;5.694  x   ;58.433  x   ;588.081  x   ;;;;
36.;06.09.;MI;6;8;3;9;9;7;3.431.106,25   ;1  x   ;31  x   ;247  x   ;2.487  x   ;25.038  x   ;272.781  x   ;;;;
;09.09.;SA;1;8;2;3;2;9;8.944.127,50   ;7  x   ;75  x   ;654  x   ;6.311  x   ;62.357  x   ;619.608  x   ;;;;
37.;13.09.;MI;5;8;4;9;3;3;4.061.775,00   ;4  x   ;30  x   ;318  x   ;3.014  x   ;31.159  x   ;307.420  x   ;;;;
;16.09.;SA;6;3;4;6;0;8;9.985.736,25   ;5  x   ;87  x   ;737  x   ;6.939  x   ;69.428  x   ;840.058  x   ;;;;
38.;20.09.;MI;4;3;9;5;5;5;4.963.246,25   ;8  x   ;49  x   ;474  x   ;4.931  x   ;41.878  x   ;389.088  x   ;;;;
;23.09.;SA;2;7;0;8;2;7;10.976.070,00   ;12  x   ;82  x   ;904  x   ;9.168  x   ;90.770  x   ;886.609  x   ;;;;
39.;27.09.;MI;5;6;8;3;7;9;6.362.902,50   ;7  x   ;50  x   ;420  x   ;4.546  x   ;43.895  x   ;437.418  x   ;;;;
;30.09.;SA;0;6;4;6;5;7;13.651.432,50   ;11  x   ;136  x   ;1.158  x   ;11.210  x   ;111.696  x   ;1.099.048  x   ;;;;
40.;04.10.;MI;7;4;9;2;1;1;10.796.127,50   ;9  x   ;84  x   ;689  x   ;7.331  x   ;74.616  x   ;722.722  x   ;;;;
