SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2012
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
KW;2012;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
1.;04.01.;MI;6;4;5;8;0;4;2.848.067,50   ;3  x   ;14  x   ;188  x   ;1.789  x   ;17.420  x   ;196.306  x   
;07.01.;SA;4;7;8;0;0;6;6.415.565,00   ;8  x   ;38  x   ;387  x   ;3.799  x   ;42.069  x   ;487.735  x   
2.;11.01.;MI;3;1;2;6;0;9;2.833.771,25   ;1  x   ;15  x   ;166  x   ;1.672  x   ;16.265  x   ;184.237  x   
;14.01.;SA;4;3;8;1;4;4;6.822.211,25   ;9  x   ;55  x   ;519  x   ;4.624  x   ;47.513  x   ;459.818  x   
3.;18.01.;MI;4;2;6;8;5;3;3.103.122,50   ;1  x   ;29  x   ;243  x   ;2.413  x   ;24.542  x   ;235.727  x   
;21.01.;SA;6;3;4;0;9;6;6.961.883,75   ;5  x   ;48  x   ;511  x   ;5.084  x   ;51.806  x   ;524.098  x   
4.;25.01.;MI;8;9;2;6;9;8;3.680.747,50   ;4  x   ;28  x   ;261  x   ;2.719  x   ;25.965  x   ;280.803  x   
;28.01.;SA;4;8;4;9;6;8;7.866.695,00   ;12  x   ;59  x   ;724  x   ;6.627  x   ;63.619  x   ;610.020  x   
5.;01.02.;MI;4;6;4;8;1;1;4.161.502,50   ;5  x   ;35  x   ;262  x   ;2.729  x   ;28.103  x   ;264.974  x   
;04.02.;SA;8;4;6;5;2;6;8.367.302,50   ;5  x   ;60  x   ;675  x   ;6.352  x   ;63.343  x   ;631.000  x   
6.;08.02.;MI;6;2;0;4;1;5;2.991.681,25   ;2  x   ;23  x   ;289  x   ;2.667  x   ;25.824  x   ;257.790  x   
;11.02.;SA;5;4;9;4;5;0;6.519.553,75   ;2  x   ;32  x   ;417  x   ;3.798  x   ;37.962  x   ;360.767  x   
7.;15.02.;MI;4;7;1;0;5;5;2.901.481,25   ;4  x   ;28  x   ;257  x   ;2.501  x   ;27.935  x   ;250.472  x   
;18.02.;SA;4;9;5;4;5;3;6.686.178,75   ;8  x   ;55  x   ;495  x   ;5.052  x   ;50.250  x   ;485.820  x   
8.;22.02.;MI;1;4;6;8;6;9;2.739.226,25   ;1  x   ;17  x   ;191  x   ;1.816  x   ;18.736  x   ;174.713  x   
;25.02.;SA;4;5;1;1;0;4;6.422.545,00   ;8  x   ;34  x   ;371  x   ;3.926  x   ;38.453  x   ;441.312  x   
9.;29.02.;MI;3;3;5;7;4;5;2.939.192,50   ;2  x   ;26  x   ;286  x   ;2.702  x   ;26.651  x   ;255.299  x   
;03.03.;SA;4;1;5;5;5;2;6.820.310,00   ;3  x   ;52  x   ;436  x   ;4.634  x   ;47.506  x   ;436.806  x   
10.;07.03.;MI;7;7;8;0;0;0;3.287.725,00   ;3  x   ;29  x   ;277  x   ;3.073  x   ;21.397  x   ;186.130  x   
;10.03.;SA;4;0;2;9;3;2;6.562.526,25   ;2  x   ;52  x   ;420  x   ;4.161  x   ;42.450  x   ;429.886  x   
11.;14.03.;MI;7;2;0;0;0;0;2.848.556,25   ;3  x   ;38  x   ;425  x   ;2.766  x   ;18.720  x   ;158.956  x   
;17.03.;SA;2;4;1;8;8;1;6.522.520,00   ;3  x   ;46  x   ;418  x   ;3.981  x   ;40.184  x   ;403.170  x   
12.;21.03.;MI;7;1;0;4;7;8;2.677.823,75   ;4  x   ;19  x   ;238  x   ;2.158  x   ;20.734  x   ;206.252  x   
;24.03.;SA;3;1;4;2;7;6;6.148.075,00   ;6  x   ;54  x   ;443  x   ;4.628  x   ;46.696  x   ;467.616  x   
13.;28.03.;MI;3;8;0;6;6;6;2.574.675,00   ;2  x   ;37  x   ;333  x   ;3.416  x   ;21.301  x   ;197.090  x   
;31.03.;SA;4;2;1;9;5;6;6.305.387,50   ;7  x   ;77  x   ;626  x   ;5.039  x   ;50.965  x   ;477.530  x   
14.;04.04.;MI;0;5;4;7;1;2;2.693.303,75   ;3  x   ;20  x   ;161  x   ;1.885  x   ;18.494  x   ;178.391  x   
;07.04.;SA;4;5;9;9;8;8;6.336.670,00   ;9  x   ;57  x   ;525  x   ;5.122  x   ;54.214  x   ;497.781  x   
15.;11.04.;MI;1;8;3;9;4;7;2.625.005,00   ;1  x   ;26  x   ;204  x   ;2.280  x   ;22.700  x   ;218.150  x   
;14.04.;SA;6;7;9;3;8;6;6.396.385,00   ;2  x   ;46  x   ;464  x   ;4.791  x   ;47.478  x   ;491.707  x   
16.;18.04.;MI;4;8;6;6;1;8;2.853.625,00   ;5  x   ;20  x   ;214  x   ;2.177  x   ;21.342  x   ;223.081  x   
;21.04.;SA;1;7;3;2;6;6;6.633.810,00   ;7  x   ;58  x   ;526  x   ;5.450  x   ;55.979  x   ;504.278  x   
17.;25.04.;MI;9;1;9;0;9;1;3.137.171,25   ;5  x   ;17  x   ;198  x   ;1.861  x   ;18.231  x   ;195.650  x   
;28.04.;SA;4;7;2;9;3;0;6.870.976,25   ;6  x   ;32  x   ;373  x   ;3.696  x   ;37.763  x   ;383.799  x   
18.;02.05.;MI;4;9;6;0;0;6;2.638.361,25   ;2  x   ;19  x   ;210  x   ;1.643  x   ;18.264  x   ;208.832  x   
;05.05.;SA;8;3;2;6;6;9;6.266.012,50   ;3  x   ;52  x   ;487  x   ;4.539  x   ;45.355  x   ;415.057  x   
19.;09.05.;MI;9;4;7;9;5;3;2.640.500,00   ;unbesetzt;17  x   ;219  x   ;2.149  x   ;20.994  x   ;199.352  x   
;12.05.;SA;7;2;7;3;4;7;6.191.567,50   ;6  x   ;47  x   ;595  x   ;5.715  x   ;55.847  x   ;524.316  x   
20.;16.05.;MI;4;2;0;8;7;5;2.735.105,00   ;1  x   ;26  x   ;199  x   ;2.518  x   ;24.983  x   ;235.698  x   
;19.05.;SA;3;7;0;4;2;9;6.094.837,50   ;3  x   ;48  x   ;386  x   ;3.969  x   ;40.348  x   ;409.286  x   
21.;23.05.;MI;9;6;7;1;4;9;2.735.083,75   ;4  x   ;21  x   ;196  x   ;1.838  x   ;17.766  x   ;174.960  x   
;26.05.;SA;1;1;2;1;7;7;6.441.671,25   ;9  x   ;55  x   ;571  x   ;6.172  x   ;64.819  x   ;539.541  x   
22.;30.05.;MI;2;0;5;0;6;7;2.516.040,00   ;2  x   ;19  x   ;220  x   ;1.996  x   ;21.240  x   ;215.689  x   
;02.06.;SA;5;1;6;8;9;3;6.124.957,50   ;8  x   ;46  x   ;387  x   ;4.043  x   ;41.214  x   ;446.718  x   
23.;06.06.;MI;8;7;5;5;8;4;2.606.453,75   ;2  x   ;8  x   ;168  x   ;1.742  x   ;16.981  x   ;174.042  x   
;09.06.;SA;6;8;0;8;8;1;5.982.603,75   ;6  x   ;31  x   ;373  x   ;3.621  x   ;36.324  x   ;363.120  x   
24.;13.06.;MI;1;2;5;6;2;6;2.626.915,00   ;2  x   ;26  x   ;228  x   ;2.101  x   ;20.423  x   ;204.940  x   
;16.06.;SA;4;7;3;6;6;7;6.115.222,50   ;7  x   ;49  x   ;520  x   ;5.046  x   ;52.804  x   ;529.148  x   
25.;20.06.;MI;6;3;5;0;0;7;2.501.091,25   ;2  x   ;25  x   ;202  x   ;2.125  x   ;18.892  x   ;220.888  x   
;23.06.;SA;8;1;5;2;4;2;5.943.767,50   ;3  x   ;33  x   ;396  x   ;4.019  x   ;39.656  x   ;383.648  x   
26.;27.06.;MI;3;7;1;7;7;2;2.494.018,75   ;2  x   ;15  x   ;133  x   ;1.510  x   ;15.720  x   ;159.889  x   
;30.06.;SA;3;5;7;2;2;6;5.983.192,50   ;6  x   ;50  x   ;473  x   ;4.404  x   ;45.877  x   ;459.255  x   
;;;;;;;Gewinne Gesamt;;;219   ;1.863   ;18.486   ;180.538   ;1.790.117   ;17.621.543   
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2012
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
KW;2012;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
27.;04.07.;MI;3;1;1;6;9;2;2.594.365,00   ;1  x   ;9  x   ;146  x   ;1.574  x   ;15.591  x   ;167.650  x   
;07.07.;SA;7;1;1;0;1;2;6.072.210,00   ;4  x   ;47  x   ;386  x   ;3.786  x   ;40.520  x   ;393.774  x   
28.;11.07.;MI;6;3;3;2;3;3;2.685.095,00   ;1  x   ;22  x   ;218  x   ;2.037  x   ;21.851  x   ;202.549  x   
;14.07.;SA;3;4;7;0;9;3;6.368.397,50   ;6  x   ;45  x   ;402  x   ;4.090  x   ;43.681  x   ;466.299  x   
29.;18.07.;MI;7;7;6;5;6;2;2.857.005,00   ;5  x   ;18  x   ;177  x   ;1.872  x   ;18.678  x   ;185.801  x   
;21.07.;SA;8;1;5;5;3;6;6.471.248,75   ;7  x   ;55  x   ;476  x   ;5.249  x   ;50.916  x   ;492.890  x   
30.;25.07.;MI;9;3;1;1;3;1;2.525.911,25   ;2  x   ;11  x   ;158  x   ;1.562  x   ;15.794  x   ;153.802  x   
;28.07.;SA;3;9;8;1;3;6;5.900.687,50   ;5  x   ;45  x   ;454  x   ;4.700  x   ;47.125  x   ;451.240  x   
31.;01.08.;MI;7;5;3;6;7;3;2.528.747,50   ;unbesetzt;24  x   ;211  x   ;2.004  x   ;19.985  x   ;195.373  x   
;04.08.;SA;9;4;8;9;7;4;6.007.042,50   ;6  x   ;37  x   ;354  x   ;4.062  x   ;38.902  x   ;400.018  x   
32.;08.08.;MI;8;2;4;9;7;1;2.612.846,25   ;3  x   ;21  x   ;157  x   ;1.574  x   ;15.524  x   ;161.164  x   
;11.08.;SA;8;5;3;3;3;3;6.011.923,75   ;7  x   ;78  x   ;712  x   ;5.131  x   ;44.123  x   ;440.340  x   
33.;15.08.;MI;4;2;3;3;1;9;2.570.998,75   ;1  x   ;22  x   ;130  x   ;1.499  x   ;15.404  x   ;165.485  x   
;18.08.;SA;6;5;0;9;5;9;6.026.423,75   ;2  x   ;35  x   ;423  x   ;4.311  x   ;41.514  x   ;405.343  x   
34.;22.08.;MI;0;8;7;2;0;3;2.625.332,50   ;1  x   ;24  x   ;190  x   ;1.709  x   ;17.062  x   ;207.052  x   
;25.08.;SA;0;1;1;3;9;3;6.120.043,75   ;5  x   ;38  x   ;421  x   ;4.336  x   ;42.314  x   ;453.985  x   
35.;29.08.;MI;0;0;1;0;7;3;2.786.768,75   ;3  x   ;20  x   ;226  x   ;2.029  x   ;22.540  x   ;216.881  x   
;01.09.;SA;7;7;8;6;4;5;6.620.155,00   ;2  x   ;66  x   ;643  x   ;6.025  x   ;59.765  x   ;566.046  x   
