SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
1.;02.01.;MI;6;8;0;2;9;7;2.714.018,75   ;3  x   ;23  x   ;212  x   ;2.145  x   ;21.286  x   ;237.342  x   ;;;;;;;;;;;;;
;05.01.;SA;0;5;1;4;8;4;6.173.070,00   ;6  x   ;41  x   ;394  x   ;4.216  x   ;40.894  x   ;413.898  x   ;;;;;;;;;;;;;
2.;09.01.;MI;6;2;8;4;1;6;2.667.153,75   ;2  x   ;17  x   ;178  x   ;1.907  x   ;20.129  x   ;213.994  x   ;;;;;;;;;;;;;
;12.01.;SA;7;7;7;2;3;4;6.216.670,00   ;4  x   ;41  x   ;419  x   ;4.378  x   ;42.925  x   ;418.604  x   ;;;;;;;;;;;;;
3.;16.01.;MI;1;1;1;3;9;2;2.701.615,00   ;2  x   ;22  x   ;174  x   ;1.715  x   ;16.326  x   ;175.516  x   ;;;;;;;;;;;;;
;19.01.;SA;7;9;7;0;6;8;6.304.273,75   ;4  x   ;65  x   ;486  x   ;4.601  x   ;52.654  x   ;488.595  x   ;;;;;;;;;;;;;
4.;23.01.;MI;3;3;3;1;4;5;2.900.447,50   ;3  x   ;24  x   ;254  x   ;2.461  x   ;25.743  x   ;244.117  x   ;;;;;;;;;;;;;
;26.01.;SA;1;4;8;8;2;6;6.065.338,75   ;5  x   ;40  x   ;441  x   ;4.970  x   ;48.348  x   ;480.061  x   ;;;;;;;;;;;;;
5.;30.01.;MI;0;2;3;8;4;0;2.633.371,25   ;1  x   ;14  x   ;133  x   ;1.381  x   ;13.788  x   ;146.215  x   ;;;;;;;;;;;;;
;02.02.;SA;4;1;2;6;1;9;6.152.490,00   ;8  x   ;40  x   ;380  x   ;3.819  x   ;38.334  x   ;408.546  x   ;;;;;;;;;;;;;
6.;06.02.;MI;1;7;7;4;9;2;2.641.356,25   ;3  x   ;15  x   ;152  x   ;1.582  x   ;16.001  x   ;170.355  x   ;;;;;;;;;;;;;
;09.02.;SA;7;9;3;7;5;8;6.152.745,00   ;5  x   ;60  x   ;505  x   ;5.027  x   ;50.644  x   ;482.002  x   ;;;;;;;;;;;;;
