 6  7 36 39 40 |  1 10 | 7.691 0.481 0.824 0.855 0.630 0.822 0.695 0.719 0.702 0.921 0.766 0.766 (2016, 5, 13)
 1 31 40 41 45 |  5  9 | 0.000 0.000 1.063 0.496 0.674 0.645 0.643 0.699 0.722 0.757 0.815 0.779 (2015, 7, 3)
22 33 42 43 46 |  6 10 | 0.000 0.427 0.732 0.486 0.666 0.866 0.623 0.665 0.781 0.937 0.672 0.825 (2016, 8, 19)
 1 15 34 48 50 |  6 10 | 0.000 1.308 0.374 0.791 0.775 0.784 0.705 0.721 0.785 0.848 0.726 0.825 (2019, 7, 5)
22 31 43 44 50 |  1  9 | 0.000 0.567 1.134 0.665 0.751 0.800 0.724 0.767 0.769 0.843 0.812 0.827 (2019, 4, 5)
34 36 37 39 49 |  8 10 | 0.000 0.425 0.972 0.333 0.832 0.839 0.679 0.636 0.809 0.892 0.643 0.834 (2015, 12, 11)
 9 40 43 44 46 |  1  8 | 0.000 0.620 0.709 0.749 0.838 0.781 0.751 0.877 0.794 0.793 0.921 0.841 (2017, 10, 13)
 3 20 32 40 42 |  4  9 | 0.000 0.000 0.835 0.693 0.816 0.789 0.717 0.820 0.787 0.826 0.892 0.848 (2016, 1, 29)
27 30 45 47 50 |  1  9 | 0.000 0.831 0.475 0.780 0.773 0.818 0.725 0.772 0.795 0.855 0.813 0.849 (2016, 12, 30)
 6 11 38 41 44 |  9 10 | 0.000 0.489 1.397 0.713 0.825 0.898 0.655 0.720 0.824 0.966 0.742 0.854 (2019, 8, 2)
12 24 38 45 46 |  6 10 | 7.667 1.438 1.917 0.784 1.093 1.346 0.650 0.635 0.943 1.137 0.644 0.855 (2016, 5, 6)
 2  4 20 21 49 |  9 10 | 0.000 0.438 1.000 0.778 0.821 0.945 0.708 0.759 0.830 0.982 0.774 0.859 (2019, 8, 9)
25 31 38 49 50 |  5 10 | 4.449 0.834 0.318 0.890 0.777 0.821 0.851 0.874 0.829 0.861 0.896 0.861 (2019, 12, 13)
16 26 32 40 47 |  1  6 | 0.000 0.640 0.732 0.888 0.733 0.757 0.861 0.859 0.820 0.889 0.910 0.862 (2017, 12, 22)
31 36 40 42 45 |  7  9 | 0.000 0.936 0.357 0.710 0.683 0.686 0.758 0.812 0.760 0.735 0.886 0.864 (2019, 7, 12)
 2 30 34 35 45 |  1  2 | 0.000 1.379 0.657 0.654 0.684 0.743 0.708 0.754 0.777 0.795 0.813 0.865 (2019, 10, 25)
 8 22 31 32 36 |  6 10 | 3.851 0.722 0.550 0.770 0.699 0.810 0.722 0.716 0.815 0.943 0.752 0.870 (2020, 5, 29)
 6 12 21 40 49 |  8 10 | 0.000 0.441 0.504 0.533 0.810 0.953 0.597 0.640 0.823 0.939 0.655 0.871 (2016, 4, 1)
12 14 18 38 46 |  9 10 | 2.361 0.443 0.506 0.766 0.891 1.143 0.743 0.752 0.891 1.140 0.752 0.872 (2015, 5, 15)
 1 23 32 45 49 |  5 10 | 0.000 0.429 1.593 0.625 0.826 0.841 0.820 0.816 0.851 0.924 0.854 0.873 (2020, 1, 17)
 9 28 30 43 49 |  8 10 | 0.000 1.054 0.301 0.525 0.817 0.958 0.585 0.599 0.846 0.982 0.601 0.873 (2015, 2, 27)
 2 21 26 44 45 |  1  6 | 0.000 1.047 0.997 0.620 0.668 0.793 0.820 0.878 0.815 0.865 0.935 0.873 (2017, 1, 13)
19 38 40 41 50 |  1  5 | 6.854 0.428 0.245 0.640 0.723 0.707 0.818 0.857 0.796 0.783 0.924 0.874 (2015, 6, 5)
 3 21 26 40 41 |  8 10 | 0.000 0.658 0.658 0.643 0.759 0.853 0.716 0.737 0.827 0.924 0.764 0.875 (2020, 4, 3)
10 14 20 24 40 |  2 10 | 0.000 0.931 0.532 0.662 0.993 1.040 0.767 0.733 1.003 1.103 0.725 0.877 (2016, 4, 29)
 1 18 20 31 36 |  5  9 | 0.000 0.498 1.423 0.638 0.649 0.735 0.722 0.818 0.805 0.854 0.859 0.880 (2015, 11, 20)
 8 23 40 41 42 |  2 10 | 3.789 0.474 0.406 0.724 0.751 0.853 0.775 0.796 0.856 0.904 0.810 0.881 (2019, 6, 14)
14 15 16 22 50 |  2 10 | 0.000 1.171 0.892 0.722 0.696 0.808 0.696 0.758 0.800 0.884 0.763 0.887 (2016, 11, 4)
 1 10 20 43 44 |  6  9 | 0.000 0.323 0.924 0.701 0.799 0.814 0.775 0.813 0.832 0.881 0.868 0.889 (2016, 10, 7)
 4 19 21 31 42 |  5 10 | 0.000 0.952 1.813 0.609 0.807 1.081 0.784 0.765 0.867 1.013 0.791 0.890 (2016, 7, 8)
 2 35 44 45 50 |  6  7 | 0.000 0.000 0.217 0.621 0.696 0.709 0.721 0.774 0.798 0.780 0.841 0.892 (2017, 11, 3)
26 27 30 46 49 |  1  2 | 0.000 0.000 1.027 0.730 0.726 0.803 0.655 0.745 0.795 0.842 0.788 0.892 (2020, 8, 21)
15 19 35 36 41 |  5 10 | 0.000 0.447 0.383 0.827 0.773 0.812 0.775 0.848 0.843 0.925 0.850 0.892 (2020, 3, 6)
